Pivô,BPP,CONVEX,GNAT,SSS,MAXSEPARATED,MAXVARIANCE,PCA,IS,HFI,WDR,SELECTION,KMEDOIDS
BPP,1.0,0.27875257160648603,0.7358982039397366,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
CONVEX,0.27875257160648603,1.0,0.9,0.6244295988932569,0.9,0.8845173734779358,0.47469344898038857,0.05254125780591301,0.029870639508481567,0.8845173734779358,0.9,0.043773644014895474
GNAT,0.7358982039397366,0.9,1.0,0.9,0.9,0.9,0.9,0.31346745975136436,0.21629999327167726,0.9,0.9,0.27875257160648526
SSS,0.9,0.6244295988932569,0.9,1.0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
MAXSEPARATED,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.8102070144945931,0.698740872093131,0.9,0.9,0.7730518647800577
MAXVARIANCE,0.9,0.8845173734779358,0.9,0.9,0.9,1.0,0.9,0.9,0.8102070144945926,0.9,0.9,0.8845173734779356
PCA,0.9,0.47469344898038857,0.9,0.9,0.9,0.9,1.0,0.9,0.9,0.9,0.9,0.9
IS,0.9,0.05254125780591301,0.31346745975136436,0.9,0.8102070144945931,0.9,0.9,1.0,0.9,0.9,0.698740872093131,0.9
HFI,0.9,0.029870639508481567,0.21629999327167726,0.9,0.698740872093131,0.8102070144945926,0.9,0.9,1.0,0.8102070144945926,0.5872766090115007,0.9
WDR,0.9,0.8845173734779358,0.9,0.9,0.9,0.9,0.9,0.9,0.8102070144945926,1.0,0.9,0.8845173734779356
SELECTION,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.698740872093131,0.5872766090115007,0.9,1.0,0.661585760834944
KMEDOIDS,0.9,0.043773644014895474,0.27875257160648526,0.9,0.7730518647800577,0.8845173734779356,0.9,0.9,0.9,0.8845173734779356,0.661585760834944,1.0
