Pivô,BPP,CONVEX,GNAT,SSS,MAXSEPARATED,MAXVARIANCE,PCA,IS,HFI,WDR,SELECTION,KMEDOIDS
BPP,1.0,0.7730518647800573,0.8845173734779356,0.9,0.9,0.8473610027378726,0.9,0.9,0.9,0.9,0.9,0.08791795074651787
CONVEX,0.7730518647800573,1.0,0.9,0.2459581928234289,0.9,0.9,0.27875257160648526,0.07507722264179462,0.9,0.9,0.08791795074653352,0.001
GNAT,0.8845173734779356,0.9,1.0,0.3513549607780606,0.9,0.9,0.39229452094228456,0.12222297730731468,0.9,0.9,0.14129362255176459,0.001
SSS,0.9,0.2459581928234289,0.3513549607780606,1.0,0.3922945209422847,0.3134674597513605,0.9,0.9,0.9,0.9,0.9,0.5129648734331522
MAXSEPARATED,0.9,0.9,0.9,0.3922945209422847,1.0,0.9,0.43398994229441057,0.14129362255176459,0.9,0.9,0.16422401871005798,0.001
MAXVARIANCE,0.8473610027378726,0.9,0.9,0.3134674597513605,0.9,1.0,0.35135496077805983,0.10398522712316216,0.9,0.9,0.12222297730731468,0.001
PCA,0.9,0.27875257160648526,0.39229452094228456,0.9,0.43398994229441057,0.35135496077805983,1.0,0.9,0.9,0.9,0.9,0.47469344898038857
IS,0.9,0.07507722264179462,0.12222297730731468,0.9,0.14129362255176459,0.10398522712316216,0.9,1.0,0.7730518647800577,0.9,0.9,0.8102070144945931
HFI,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.7730518647800577,1.0,0.9,0.8102070144945931,0.016262221160134427
WDR,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,1.0,0.9,0.043773644014895474
SELECTION,0.9,0.08791795074653352,0.14129362255176459,0.9,0.16422401871005798,0.12222297730731468,0.9,0.9,0.8102070144945931,0.9,1.0,0.7730518647800577
KMEDOIDS,0.08791795074651787,0.001,0.001,0.5129648734331522,0.001,0.001,0.47469344898038857,0.8102070144945931,0.016262221160134427,0.043773644014895474,0.7730518647800577,1.0
