Pivô,BPP,CONVEX,GNAT,SSS,MAXSEPARATED,MAXVARIANCE,PCA,IS,HFI,WDR,SELECTION,KMEDOIDS
BPP,1.0,0.9,0.9,0.9,0.9,0.043773644014896806,0.9,0.06299796495199494,0.9,0.9,0.9,0.698740872093131
CONVEX,0.9,1.0,0.9,0.27875257160648603,0.9,0.001,0.735898203939737,0.001,0.43398994229441057,0.9,0.5872766090115011,0.08791795074651787
GNAT,0.9,0.9,1.0,0.16422401871005798,0.9,0.001,0.5872766090115016,0.001,0.27875257160648603,0.9,0.43398994229441057,0.043773644014895585
SSS,0.9,0.27875257160648603,0.16422401871005798,1.0,0.8102070144945926,0.7730518647800573,0.9,0.8473610027378731,0.9,0.9,0.9,0.9
MAXSEPARATED,0.9,0.9,0.9,0.8102070144945926,1.0,0.016262221160134427,0.9,0.02448268762354655,0.9,0.9,0.9,0.5129648734331522
MAXVARIANCE,0.043773644014896806,0.001,0.001,0.7730518647800573,0.016262221160134427,1.0,0.31346745975136303,0.9,0.6244295988932566,0.06299796495197585,0.47469344898039,0.9
PCA,0.9,0.735898203939737,0.5872766090115016,0.9,0.9,0.31346745975136303,1.0,0.39229452094228456,0.9,0.9,0.9,0.9
IS,0.06299796495199494,0.001,0.001,0.8473610027378731,0.02448268762354655,0.9,0.39229452094228456,1.0,0.698740872093131,0.08791795074653352,0.5501177802609034,0.9
HFI,0.9,0.43398994229441057,0.27875257160648603,0.9,0.9,0.6244295988932566,0.9,0.698740872093131,1.0,0.9,0.9,0.9
WDR,0.9,0.9,0.9,0.9,0.9,0.06299796495197585,0.9,0.08791795074653352,0.9,1.0,0.9,0.7730518647800577
SELECTION,0.9,0.5872766090115011,0.43398994229441057,0.9,0.9,0.47469344898039,0.9,0.5501177802609034,0.9,0.9,1.0,0.9
KMEDOIDS,0.698740872093131,0.08791795074651787,0.043773644014895585,0.9,0.5129648734331522,0.9,0.9,0.9,0.9,0.7730518647800577,0.9,1.0
