Pivô,BPP,CONVEX,GNAT,SSS,MAXSEPARATED,MAXVARIANCE,PCA,IS,HFI,WDR,SELECTION,KMEDOIDS
BPP,1.0,0.9,0.7730518647800577,0.9,0.9,0.01315462433984338,0.9,0.6244295988932566,0.9,0.9,0.9,0.9
CONVEX,0.9,1.0,0.9,0.9,0.9,0.001,0.9,0.06299796495197285,0.9,0.9,0.9,0.9
GNAT,0.7730518647800577,0.9,1.0,0.5129648734331522,0.9,0.001,0.7358982039397366,0.005389692976908389,0.8473610027378731,0.9,0.8845173734779356,0.5129648734331522
SSS,0.9,0.9,0.5129648734331522,1.0,0.735898203939737,0.05254125780592034,0.9,0.8845173734779357,0.9,0.9,0.9,0.9
MAXSEPARATED,0.9,0.9,0.9,0.735898203939737,1.0,0.001,0.9,0.020005575507549556,0.9,0.9,0.9,0.735898203939737
MAXVARIANCE,0.01315462433984338,0.001,0.001,0.05254125780592034,0.001,1.0,0.016262221160134427,0.9,0.008492687988037595,0.001,0.006782349562516554,0.05254125780592034
PCA,0.9,0.9,0.7358982039397366,0.9,0.9,0.016262221160134427,1.0,0.6615857608349445,0.9,0.9,0.9,0.9
IS,0.6244295988932566,0.06299796495197285,0.005389692976908389,0.8845173734779357,0.020005575507549556,0.9,0.6615857608349445,1.0,0.5501177802609034,0.14129362255176292,0.5129648734331522,0.8845173734779357
HFI,0.9,0.9,0.8473610027378731,0.9,0.9,0.008492687988037595,0.9,0.5501177802609034,1.0,0.9,0.9,0.9
WDR,0.9,0.9,0.9,0.9,0.9,0.001,0.9,0.14129362255176292,0.9,1.0,0.9,0.9
SELECTION,0.9,0.9,0.8845173734779356,0.9,0.9,0.006782349562516554,0.9,0.5129648734331522,0.9,0.9,1.0,0.9
KMEDOIDS,0.9,0.9,0.5129648734331522,0.9,0.735898203939737,0.05254125780592034,0.9,0.8845173734779357,0.9,0.9,0.9,1.0
