level_0,level_1,top_1,top_2,top_3,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
VPTREE,BPP,0,0,0,0.0,0.0,0.0,1.0,2.0,57.0,28.0,69.0,3.0,0.0,3.0,57.0
VPTREE,CONVEX,0,0,10,0.0,0.0,10.0,29.0,0.0,8.0,33.0,15.0,1.0,98.0,6.0,20.0
VPTREE,GNAT,0,35,44,0.0,35.0,9.0,33.0,14.0,3.0,6.0,0.0,0.0,20.0,49.0,51.0
VPTREE,SSS,0,2,20,0.0,2.0,18.0,4.0,16.0,18.0,41.0,79.0,22.0,0.0,0.0,20.0
VPTREE,MAXSEPARATED,0,7,20,0.0,7.0,13.0,2.0,18.0,0.0,14.0,0.0,3.0,5.0,107.0,51.0
VPTREE,MAXVARIANCE,118,147,186,118.0,29.0,39.0,14.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VPTREE,PCA,21,41,41,21.0,20.0,0.0,19.0,69.0,50.0,0.0,16.0,4.0,1.0,20.0,0.0
VPTREE,IS,0,19,80,0.0,19.0,61.0,20.0,26.0,32.0,24.0,9.0,26.0,3.0,0.0,0.0
VPTREE,HFI,21,50,64,21.0,29.0,14.0,16.0,0.0,0.0,0.0,3.0,129.0,8.0,0.0,0.0
VPTREE,WDR,8,20,20,8.0,12.0,0.0,56.0,4.0,19.0,38.0,7.0,3.0,48.0,13.0,12.0
VPTREE,SELECTION,0,19,75,0.0,19.0,56.0,23.0,22.0,6.0,15.0,22.0,9.0,33.0,12.0,3.0
VPTREE,KMEDOIDS,52,100,100,52.0,48.0,0.0,3.0,29.0,27.0,21.0,0.0,20.0,4.0,10.0,6.0
MVPTREE,BPP,0,0,21,0.0,0.0,21.0,0.0,20.0,38.0,1.0,27.0,59.0,11.0,43.0,0.0
MVPTREE,CONVEX,20,20,21,20.0,0.0,1.0,6.0,11.0,7.0,28.0,4.0,4.0,64.0,32.0,43.0
MVPTREE,GNAT,0,26,41,0.0,26.0,15.0,1.0,19.0,8.0,7.0,15.0,20.0,7.0,22.0,80.0
MVPTREE,SSS,0,0,2,0.0,0.0,2.0,14.0,65.0,23.0,42.0,46.0,2.0,10.0,5.0,11.0
MVPTREE,MAXSEPARATED,0,18,22,0.0,18.0,4.0,54.0,4.0,0.0,0.0,0.0,24.0,56.0,60.0,0.0
MVPTREE,MAXVARIANCE,80,100,100,80.0,20.0,0.0,21.0,40.0,9.0,24.0,2.0,6.0,6.0,6.0,6.0
MVPTREE,PCA,0,0,35,0.0,0.0,35.0,10.0,14.0,39.0,20.0,10.0,19.0,43.0,30.0,0.0
MVPTREE,IS,31,79,156,31.0,48.0,77.0,22.0,22.0,16.0,2.0,1.0,1.0,0.0,0.0,0.0
