Pivô,cities,avila,internet,card,ulcer,nasa,aloi,la,sift,mnist_s,cophir
BPP,374.07454545454544,2737.016770483948,1352.1103918824354,7625.981629926519,6334.4141234127865,20574.55591531756,7166.8868493150685,8788.052260295035,25045.143666666667,6481.928571428572,26768.043
CONVEX,201.04181818181817,4595.319597508385,1869.2797410776766,10427.560454241817,12427.727779015371,27613.798505603983,9175.851780821919,9024.093626816017,26895.280333333332,6559.557142857143,26837.458666666666
GNAT,235.5909090909091,4205.223287014854,3180.5195941217635,8118.3810955243825,9631.700378703497,29135.169613947695,5842.049132420091,8743.0390740758,26710.211,6559.335714285714,27166.450666666668
SSS,250.98727272727274,2882.1298514614277,1354.8038838348496,8982.521042084169,6592.202049454221,21274.483437110834,7774.313150684931,8896.5608383267,24334.132,6373.0,27020.58
MAXSEPARATED,228.93272727272728,4502.721130809775,1452.964310706788,10307.29759519038,9106.404321675205,27401.12179327522,6662.891872146119,8638.389370882218,26177.913333333334,6559.12,26731.438
MAXVARIANCE,367.3,4284.637757546718,2460.2757172848146,8606.328657314629,10527.669859656939,16598.735491905354,9716.951324200912,10136.902822689615,20859.984333333334,6072.934285714286,26049.699
PCA,219.59272727272727,5092.076185912793,1700.6058432470259,7939.028390113561,5479.0581421251945,21286.834122042343,6450.0224657534245,8909.92907398261,24489.108333333334,6279.434285714286,27123.787666666667
IS,288.25272727272727,2400.7048394825106,1118.3362491252624,8315.08784235137,6079.881042548452,17765.005479452055,6204.321643835617,9067.39764605019,23011.457,6438.16,26936.771333333334
HFI,179.28181818181818,2629.485385721131,1349.414100769769,6626.965931863728,7440.7821341055915,26254.253300124532,5638.086392694064,8671.725316609045,25102.566,6533.742857142857,26693.272
WDR,290.62363636363636,2578.8998562529946,1979.997900629811,7389.706746826987,6771.699042102919,23560.969364881694,7961.979269406393,8843.4539973348,24456.124333333333,6514.734285714286,27122.195666666667
SELECTION,208.99272727272728,2937.0028749401054,3146.304233729881,8756.724448897796,8149.169525506794,22169.06301369863,7456.238630136986,9100.862639666757,23478.455666666665,6454.701428571429,27104.216333333334
KMEDOIDS,247.4309090909091,2431.6842357450887,1485.1331350594821,7716.465597862391,5636.683671196258,20222.868493150683,6593.293607305936,9011.149530794248,23364.482,6310.847142857143,26888.656333333332
