Pivô,cities,avila,internet,card,ulcer,nasa,aloi,la,sift,mnist_s,cophir
BPP,559.72,6533.729276473407,8123.377711686494,15664.796927187708,12378.820227222099,26013.430136986302,31248.370410958905,52692.226849565275,26234.932666666668,6434.927142857143,27252.965666666667
CONVEX,1228.5272727272727,9660.062290368951,6937.464135759272,12865.458917835671,16236.957451548229,32483.064508094645,38186.2,110823.50678880616,26873.753,6631.0028571428575,27168.429
GNAT,535.7236363636364,8911.951126018208,6509.114940517845,12548.642618570475,17854.361104923144,32963.94943960149,38186.23114155251,77658.92036082715,27020.624,6622.185714285714,27257.838666666667
SSS,427.46909090909094,7218.916147580258,6417.101294611616,12146.987975951904,12798.435731788817,27360.29190535492,26814.119360730594,64721.26544837805,24657.540333333334,6391.23,27268.825
MAXSEPARATED,549.810909090909,8957.649736463824,7290.903603918824,12889.213426853707,18031.09601247494,32572.305603985056,35808.97506849315,118342.44677520059,26630.553666666667,6635.644285714286,27050.493333333332
MAXVARIANCE,840.1636363636363,13771.390991854336,25560.346920923723,18224.558116232463,28228.868567609712,30163.533748443337,59109.118356164385,413949.2894466461,25239.200666666668,6294.818571428571,27090.631
PCA,551.5181818181818,8398.81887877336,5939.567704688593,10395.753173012692,12361.916239697037,28559.754669987546,31339.428401826484,52788.099423161155,25358.38266666667,6394.581428571429,27255.717666666667
IS,365.16727272727275,7805.357450886439,7308.038138558432,11097.020374081496,12664.358877255514,24954.096637608967,23399.8801826484,63099.619854811805,24691.542,6464.372857142857,27240.227
HFI,549.670909090909,8824.634403449929,7847.466060181945,12152.798931195724,14787.449766094898,31744.482689912827,35297.09479452055,65488.890857244034,26409.865333333335,6610.85,27111.230666666666
WDR,527.3254545454546,9017.363679923335,6344.259972008397,13615.931195724783,15696.753842726665,27762.97210460772,33916.67369863014,80259.40636852453,25377.674666666666,6357.562857142857,27240.129666666668
SELECTION,412.72,6688.867752755151,5323.005948215536,10535.585504342018,9940.626865671642,25978.272727272728,26099.27205479452,74412.0515706977,24390.161333333333,6650.182857142857,27262.125666666667
KMEDOIDS,311.4581818181818,5735.4590321034975,4966.849545136459,11557.741482965932,8358.222989529962,25094.624159402243,17787.551506849315,29846.22899290833,22701.699666666667,6206.114285714286,27194.377333333334
