Pivô,cities,avila,internet,card,ulcer,nasa,aloi,la,sift,mnist_s,cophir
BPP,498.8218181818182,4027.825107810254,2722.3336249125264,10666.41816967268,9757.057251058142,25722.372104607723,15874.936438356164,58834.308632081185,24684.075666666668,6095.135714285714,26894.501333333334
CONVEX,329.18363636363637,6000.019645424054,4204.699790062981,12008.592518370073,14057.125863221207,30429.589290161894,13567.911506849316,32809.052064598494,26480.693333333333,6304.6,26814.3
GNAT,379.0945454545455,5326.876377575467,4644.954863540937,11731.461923847695,13949.954555580307,27920.356662515565,13186.664840182648,32290.84687211697,26244.59,6307.0,26749.700333333334
SSS,424.88545454545454,4013.421178725443,3100.8843596920924,10819.502004008016,10041.24860770773,25177.360647571608,12277.02091324201,46869.15572785134,25184.977333333332,6074.778571428571,26873.20633333333
MAXSEPARATED,393.23454545454547,5300.163392429325,3585.682120363891,12631.529058116232,12192.952996212965,30534.6298879203,11335.313789954338,36734.19162418809,26373.288666666667,6214.3,26678.402666666665
MAXVARIANCE,530.4818181818182,5455.668423574509,4856.5689293212035,9528.209752839011,12409.653820449988,17744.05927770859,14396.083196347032,56384.09729845586,21142.533,5869.465714285714,25984.979
PCA,350.35636363636365,5751.370388116914,2800.079951014696,9653.192050768203,10403.320784139007,27898.455541718555,10711.13105022831,32419.291084624776,24536.984333333334,6104.987142857143,26945.999666666667
IS,407.25272727272727,4427.787254432199,2763.129636109167,3350.248162992652,9782.195589218089,20610.604483188046,10230.772237442923,33367.41583650952,23674.471333333335,6086.44,26841.49133333333
HFI,310.2327272727273,4677.0776233828465,2864.0748775367388,8708.021376085504,11708.263533080864,28693.10386052304,9915.037716894978,31439.028152345098,25544.460333333333,6307.0,26630.293333333335
WDR,414.0272727272727,3595.633924293244,3456.0661301609516,11105.331663326653,8918.441300957897,24542.725280199254,12433.694611872146,34551.655145421166,24526.050666666666,5877.7185714285715,26907.4
SELECTION,366.9236363636364,8581.376137997126,7184.32032890133,9666.66466265865,11395.922477166407,27004.969613947695,10401.653515981736,48437.78079191867,24662.695333333333,6307.0,26787.8
KMEDOIDS,406.91636363636366,3552.742213703881,3172.117389783065,9281.029392117569,10156.595232791267,24789.03586550436,10762.383744292238,35174.16345320523,22227.643333333333,6101.897142857143,26853.8
