Pivô,cities,avila,internet,card,ulcer,nasa,aloi,la,sift,mnist_s,cophir
BPP,172.35090909090908,2234.6291327264016,967.1210636808958,5322.361055444222,3868.250835375362,18535.541469489413,5527.677077625571,8552.557679225414,23506.778666666665,6355.41,26852.114
CONVEX,164.52,2617.2568279827506,1180.9678096571029,7571.581830327321,7528.251726442415,24984.16886674969,5103.716803652968,8508.814703333364,25808.047,6419.894285714286,26875.645333333334
GNAT,167.38181818181818,3217.5884044082413,1285.3390482855143,7674.63126252505,6666.955669414124,25946.556662515566,4705.236255707762,8525.283191531,26133.419666666665,6421.891428571428,27002.535333333333
SSS,178.21818181818182,2144.5927168184,928.4805808257523,5071.49832999332,4036.0474493205616,19012.111332503115,5389.723561643836,8604.742099917063,23447.159666666666,6346.692857142857,26846.615
MAXSEPARATED,153.05272727272728,3303.5927168184,1252.805633310007,7840.730460921844,6709.442414791713,25915.055790784558,4816.970410958904,8455.986217372261,26294.642,6419.22,26892.975666666665
MAXVARIANCE,146.54545454545453,1867.2405366554863,810.37088873338,4230.541082164329,3079.26531521497,14179.764383561644,4357.377168949772,8387.423049324847,21250.577333333335,6007.9457142857145,26319.553666666667
PCA,178.03272727272727,2233.963584091998,933.4139258222533,5234.759519038076,3419.464914234796,17556.55890410959,5399.9963470319635,8614.023092191708,23434.667333333335,6374.63,26896.198333333334
IS,175.95636363636365,2058.6147580258744,846.1292862141357,4883.669004676019,3145.525284027623,16874.3496886675,5081.032237442922,8530.544623470538,23097.966333333334,6314.457142857143,26770.113666666668
HFI,151.46545454545455,2313.654528030666,1025.0153953813856,5837.434201736807,4601.611717531744,22540.55516811955,4674.814703196347,8442.359885936874,25911.609333333334,6403.072857142857,26868.295
WDR,190.28181818181818,2274.528030666028,1005.3290762771169,5223.918837675351,3228.6665181554913,19684.885180572852,5503.37205479452,8667.197429852109,23893.143666666667,6146.062857142857,26951.457
SELECTION,183.98,2239.702922855774,898.8623163051085,4986.301603206412,4009.951659612386,18554.43088418431,5402.434794520548,8614.590015748912,23162.502333333334,6387.821428571428,26885.47
KMEDOIDS,199.52545454545455,2112.333972208912,962.8192792162351,4509.294923179693,3210.429939852974,17656.382316313822,5806.8802739726025,8772.769031488506,21384.59766666667,6246.565714285714,26879.225
