VPTREE,EUCLIDEAN,BPP,1,5501,1054
k,time,count,disk
5,346970,348,1
10,355753,348,1
15,367492,348,1
20,382500,348,1
25,388865,348,1
30,384054,348,1
35,397491,348,1
40,420082,348,1
45,418164,348,1
50,433911,348,1
55,443482,348,1
60,772576,692,2
65,781156,692,2
70,769247,692,2
75,777373,692,2
80,796042,692,2
85,805418,692,2
90,820889,692,2
95,849015,692,2
100,853587,692,2
5,669073,691,2
10,680127,691,2
15,704225,691,2
20,712269,691,2
25,716485,691,2
30,727761,691,2
35,733679,691,2
40,755546,691,2
45,779554,691,2
50,793605,691,2
55,792340,691,2
60,808500,691,2
65,822558,691,2
70,821896,691,2
75,826244,691,2
80,836969,691,2
85,852279,691,2
90,858579,691,2
95,903945,691,2
100,910048,691,2
5,690168,695,2
10,714073,695,2
15,712884,695,2
20,728062,695,2
25,738902,695,2
30,754315,695,2
35,759735,695,2
40,771651,695,2
45,774510,695,2
50,767306,695,2
55,773733,695,2
60,781490,695,2
65,815586,695,2
70,831936,695,2
75,833059,695,2
80,840714,695,2
85,854013,695,2
90,861467,695,2
95,869114,695,2
100,878457,695,2
5,345634,347,1
10,362956,347,1
15,668399,691,2
20,707273,691,2
25,712890,691,2
30,721531,691,2
35,729202,691,2
40,740306,691,2
45,739486,691,2
50,768042,691,2
55,780577,691,2
60,1053342,1036,3
65,1114286,1036,3
70,1119418,1036,3
75,1152586,1036,3
80,1157565,1036,3
85,1161662,1036,3
90,1144530,1036,3
95,1130442,1036,3
100,1152072,1036,3
5,336772,348,1
10,354114,348,1
15,371211,348,1
20,379977,348,1
25,400319,348,1
30,398150,348,1
35,418986,348,1
40,429260,348,1
45,430683,348,1
50,447571,348,1
55,459418,348,1
60,466005,348,1
65,488494,348,1
70,483468,348,1
75,483249,348,1
80,497098,348,1
85,506604,348,1
90,527707,348,1
95,535782,348,1
100,1134563,1036,3
5,360444,348,1
10,371182,348,1
15,722311,691,2
20,730826,691,2
25,744922,691,2
30,749725,691,2
35,725994,691,2
40,746795,691,2
45,738790,691,2
50,752606,691,2
55,766120,691,2
60,758503,691,2
65,764278,691,2
70,782579,691,2
75,784889,691,2
80,813839,691,2
85,852411,691,2
90,865987,691,2
95,881116,691,2
100,884033,691,2
5,341034,348,1
10,349704,348,1
