VPTREE,EUCLIDEAN,CONVEX,1,5501,1054
k,time,count,disk
5,386950,347,1
10,356925,347,1
15,361879,347,1
20,374038,347,1
25,385762,347,1
30,399420,347,1
35,402781,347,1
40,399184,347,1
45,417903,347,1
50,428857,347,1
55,431428,347,1
60,446289,347,1
65,460519,347,1
70,464635,347,1
75,488155,347,1
80,506745,347,1
85,496818,347,1
90,508217,347,1
95,513617,347,1
100,521562,347,1
5,329265,348,1
10,339723,348,1
15,344790,348,1
20,358137,348,1
25,720429,692,2
30,718476,692,2
35,724591,692,2
40,730001,692,2
45,738881,692,2
50,769374,692,2
55,771503,692,2
60,787841,692,2
65,803507,692,2
70,818864,692,2
75,822761,692,2
80,802506,692,2
85,808965,692,2
90,818163,692,2
95,1509588,1384,4
100,1519331,1384,4
5,336802,348,1
10,344469,348,1
15,353927,348,1
20,364702,348,1
25,373280,348,1
30,382747,348,1
35,407338,348,1
40,405413,348,1
45,416148,348,1
50,421668,348,1
55,431154,348,1
60,434051,348,1
65,776238,694,2
70,1057734,1038,3
75,1040583,1038,3
80,1034365,1038,3
85,1059779,1038,3
90,1090322,1038,3
95,1060796,1038,3
100,1088246,1038,3
5,340463,348,1
10,349093,348,1
15,361329,348,1
20,371735,348,1
25,382203,348,1
30,379439,348,1
35,391906,348,1
40,408567,348,1
45,760727,694,2
50,768917,694,2
55,777534,694,2
60,796731,694,2
65,789794,694,2
70,805842,694,2
75,1097130,1038,3
80,1120540,1038,3
85,1072317,1038,3
90,1090199,1038,3
95,1108649,1038,3
100,1173264,1038,3
5,343855,348,1
10,350772,348,1
15,360461,348,1
20,980731,1038,3
25,974689,1038,3
30,980763,1038,3
35,1003658,1038,3
40,1029505,1038,3
45,1045728,1038,3
50,1034338,1038,3
55,1052579,1038,3
60,1050845,1038,3
65,1073162,1038,3
70,1096460,1038,3
75,1108794,1038,3
80,1136314,1038,3
85,1149313,1038,3
90,1163727,1038,3
95,1172830,1038,3
100,1186631,1038,3
5,331606,348,1
10,341248,348,1
15,347598,348,1
20,360786,348,1
25,371883,348,1
30,383894,348,1
35,393517,348,1
40,404771,348,1
45,418142,348,1
50,423021,348,1
55,441729,348,1
60,449769,348,1
65,466936,348,1
70,482018,348,1
75,488249,348,1
80,504722,348,1
85,508417,348,1
90,515385,348,1
95,525687,348,1
100,523497,348,1
5,328998,348,1
10,341191,348,1
15,347109,348,1
20,359449,348,1
25,370941,348,1
30,382825,348,1
35,719160,692,2
40,737279,692,2
45,781116,692,2
50,761461,692,2
55,762843,692,2
60,781576,692,2
65,815598,692,2
70,824664,692,2
75,831366,692,2
80,849497,692,2
85,855234,692,2
90,872415,692,2
95,873460,692,2
100,889646,692,2
5,674062,692,2
10,669422,692,2
15,706175,692,2
20,1060321,1038,3
25,1060315,1038,3
30,1078450,1038,3
35,1419032,1382,4
40,1435462,1382,4
45,1507289,1382,4
50,1401432,1382,4
55,1448732,1382,4
60,1508229,1382,4
65,1492891,1382,4
70,1479945,1382,4
75,1539798,1382,4
80,1530286,1382,4
85,1571879,1382,4
90,1558707,1382,4
95,1591181,1382,4
100,1606282,1382,4
5,1020319,1037,3
10,1021329,1037,3
15,1064476,1037,3
20,1086695,1037,3
25,1066115,1037,3
30,1083283,1037,3
35,1112925,1037,3
40,1184384,1037,3
45,1176668,1037,3
50,1194988,1037,3
55,1159158,1037,3
60,1163334,1037,3
65,1200586,1037,3
70,1221892,1037,3
75,1239318,1037,3
80,1262434,1037,3
85,1263547,1037,3
90,1273812,1037,3
95,1296600,1037,3
100,1314872,1037,3
5,348675,348,1
10,356197,348,1
15,361473,348,1
20,380274,348,1
25,389437,348,1
30,397869,348,1
35,428111,348,1
40,437080,348,1
45,447001,348,1
50,459147,348,1
55,472312,348,1
60,483848,348,1
65,503535,348,1
70,508846,348,1
75,516115,348,1
80,527142,348,1
85,543611,348,1
90,540414,348,1
95,519919,348,1
100,529556,348,1
5,337808,348,1
10,671621,691,2
15,686943,691,2
20,692306,691,2
25,698256,691,2
30,702120,691,2
35,711040,691,2
40,729415,691,2
45,734229,691,2
50,742874,691,2
55,788369,691,2
60,792668,691,2
65,799615,691,2
70,815434,691,2
75,858873,691,2
80,815000,691,2
85,825094,691,2
90,828046,691,2
95,847631,691,2
100,867677,691,2
5,333481,348,1
10,664049,693,2
15,668986,693,2
20,679794,693,2
25,679345,693,2
30,696890,693,2
35,725840,693,2
40,726746,693,2
45,741406,693,2
50,750182,693,2
55,755582,693,2
60,786591,693,2
65,802691,693,2
70,823280,693,2
75,825369,693,2
80,838497,693,2
85,802798,693,2
90,828168,693,2
95,846703,693,2
100,845556,693,2
5,341812,348,1
10,677929,694,2
15,672110,694,2
20,688735,694,2
25,948060,1038,3
30,973329,1038,3
35,980627,1038,3
40,994787,1038,3
45,1363444,1382,4
50,1379250,1382,4
55,1452958,1382,4
60,1487316,1382,4
65,1465758,1382,4
70,1408477,1382,4
75,1417139,1382,4
80,1434256,1382,4
85,1455419,1382,4
90,1471020,1382,4
95,1537119,1382,4
100,1516889,1382,4
5,337293,347,1
10,348332,347,1
15,349900,347,1
20,716892,694,2
25,728775,694,2
30,727530,694,2
35,750239,694,2
40,759220,694,2
45,790781,694,2
50,771947,694,2
55,785491,694,2
60,789873,694,2
65,798555,694,2
70,814176,694,2
75,1128822,1038,3
80,1137523,1038,3
85,1151120,1038,3
90,1160077,1038,3
95,1141429,1038,3
100,1159094,1038,3
5,346361,347,1
10,677369,692,2
15,670431,692,2
20,703985,692,2
