VPTREE,EUCLIDEAN,GNAT,1,5501,1054
k,time,count,disk
5,370484,347,1
10,357441,347,1
15,386119,347,1
20,372692,347,1
25,385440,347,1
30,393442,347,1
35,407277,347,1
40,417765,347,1
45,421080,347,1
50,431499,347,1
55,443999,347,1
60,478267,347,1
65,470473,347,1
70,479835,347,1
75,485107,347,1
80,495025,347,1
85,506255,347,1
90,517532,347,1
95,528091,347,1
100,560132,347,1
5,344887,348,1
10,690865,694,2
15,717293,694,2
20,729788,694,2
25,739316,694,2
30,761822,694,2
35,771680,694,2
40,779646,694,2
45,792570,694,2
50,802609,694,2
55,811249,694,2
60,764209,694,2
65,781984,694,2
70,794232,694,2
75,797026,694,2
80,874584,694,2
85,854006,694,2
90,861993,694,2
95,1569515,1386,4
100,1530225,1386,4
5,348450,348,1
10,354081,348,1
15,364411,348,1
20,376512,348,1
25,373465,348,1
30,384206,348,1
35,395833,348,1
40,402422,348,1
45,440241,348,1
50,446489,348,1
55,456805,348,1
60,456414,348,1
65,788825,695,2
70,791777,695,2
75,817186,695,2
80,796402,695,2
85,807892,695,2
90,855830,695,2
95,861617,695,2
100,871033,695,2
5,335492,348,1
10,348567,348,1
15,357987,348,1
20,372193,348,1
25,388540,348,1
30,401680,348,1
35,412590,348,1
40,419698,348,1
45,775440,694,2
50,748804,694,2
55,752090,694,2
60,767472,694,2
65,786585,694,2
70,801020,694,2
75,807788,694,2
80,823074,694,2
85,834039,694,2
90,844582,694,2
95,861690,694,2
100,876600,694,2
5,351596,348,1
10,360903,348,1
15,370330,348,1
20,729872,692,2
25,736281,692,2
30,749760,692,2
35,753131,692,2
40,761371,692,2
45,774315,692,2
50,780693,692,2
55,846031,692,2
60,824619,692,2
65,830929,692,2
70,842136,692,2
75,851790,692,2
80,871788,692,2
85,878262,692,2
90,890189,692,2
95,899888,692,2
100,925620,692,2
5,346210,348,1
10,352545,348,1
15,359723,348,1
20,364960,348,1
25,379637,348,1
30,389952,348,1
35,397655,348,1
40,412028,348,1
45,430275,348,1
50,445605,348,1
55,440785,348,1
60,455234,348,1
65,466218,348,1
70,476252,348,1
75,486961,348,1
80,495656,348,1
85,503618,348,1
90,519227,348,1
95,556618,348,1
100,557435,348,1
5,352009,348,1
10,365452,348,1
15,375750,348,1
20,383603,348,1
25,395694,348,1
30,404901,348,1
35,421347,348,1
40,427801,348,1
45,417090,348,1
50,425106,348,1
55,438087,348,1
60,443516,348,1
65,457079,348,1
70,470444,348,1
75,472945,348,1
80,489662,348,1
85,520872,348,1
90,524431,348,1
95,538294,348,1
100,542132,348,1
5,337364,348,1
10,350223,348,1
15,359009,348,1
20,371527,348,1
25,381324,348,1
30,400174,348,1
35,401065,348,1
40,412271,348,1
45,421455,348,1
50,433197,348,1
55,444195,348,1
60,452907,348,1
65,470649,348,1
70,481617,348,1
75,807310,694,2
80,830206,694,2
85,829169,694,2
90,867031,694,2
95,844266,694,2
100,885404,694,2
5,345295,348,1
10,354629,348,1
15,360659,348,1
20,369707,348,1
25,384958,348,1
30,396966,348,1
35,412583,348,1
40,429975,348,1
45,439970,348,1
50,446138,348,1
55,454504,348,1
60,463356,348,1
65,479904,348,1
70,484638,348,1
75,504950,348,1
80,510576,348,1
85,548154,348,1
90,597720,348,1
95,591571,348,1
100,601649,348,1
5,376844,348,1
10,388540,348,1
15,397890,348,1
20,413219,348,1
25,424235,348,1
30,418768,348,1
35,442359,348,1
40,461435,348,1
45,470968,348,1
50,490923,348,1
55,508421,348,1
60,516752,348,1
65,535524,348,1
70,543204,348,1
75,531841,348,1
80,540355,348,1
85,890014,691,2
90,918355,691,2
95,942789,691,2
100,984482,691,2
5,394521,348,1
10,390371,348,1
15,412893,348,1
20,425695,348,1
25,436362,348,1
30,434961,348,1
35,449773,348,1
40,741772,693,2
45,764316,693,2
50,771063,693,2
55,782722,693,2
60,800073,693,2
65,823969,693,2
70,834198,693,2
75,841260,693,2
80,849460,693,2
85,859612,693,2
90,842930,693,2
95,845409,693,2
100,860356,693,2
5,343572,348,1
10,357562,348,1
15,376598,348,1
20,400003,348,1
25,399910,348,1
30,416117,348,1
35,431655,348,1
40,417848,348,1
45,428795,348,1
50,436147,348,1
55,444489,348,1
60,467108,348,1
65,513320,348,1
70,507496,348,1
75,486363,348,1
80,489044,348,1
85,516933,348,1
90,521551,348,1
95,535816,348,1
100,884620,691,2
5,350511,348,1
10,356996,348,1
15,376324,348,1
20,383198,348,1
25,396143,348,1
30,402669,348,1
35,416208,348,1
40,429804,348,1
45,436375,348,1
50,454708,348,1
55,442602,348,1
60,454466,348,1
65,783003,694,2
70,792358,694,2
75,806639,694,2
80,837713,694,2
85,815632,694,2
90,826065,694,2
95,832460,694,2
100,842347,694,2
5,342831,348,1
10,346024,348,1
15,352424,348,1
20,701378,695,2
25,709294,695,2
30,713711,695,2
35,734415,695,2
40,764355,695,2
45,767831,695,2
50,773601,695,2
55,789689,695,2
60,800395,695,2
65,817961,695,2
70,806336,695,2
75,821945,695,2
80,858693,695,2
85,873615,695,2
90,865831,695,2
95,860644,695,2
100,876699,695,2
5,331076,347,1
10,331784,347,1
15,341113,347,1
20,354294,347,1
25,377116,347,1
30,387870,347,1
35,393464,347,1
40,406070,347,1
45,418985,347,1
50,424315,347,1
55,441431,347,1
60,449511,347,1
65,465341,347,1
70,478438,347,1
75,494095,347,1
80,550322,347,1
85,519354,347,1
90,509553,347,1
95,527901,347,1
100,544827,347,1
5,333565,347,1
10,351145,347,1
15,365888,347,1
20,374887,347,1
25,380842,347,1
30,397343,347,1
35,410327,347,1
40,424840,347,1
45,430968,347,1
50,442054,347,1
55,441010,347,1
60,447888,347,1
65,486762,347,1
70,478167,347,1
75,512431,347,1
80,496303,347,1
85,510163,347,1
90,545626,347,1
95,558052,347,1
100,564348,347,1
5,680690,694,2
10,683667,694,2
15,694452,694,2
20,702649,694,2
25,710210,694,2
30,730904,694,2
35,725564,694,2
40,719904,694,2
45,730666,694,2
50,739443,694,2
55,783906,694,2
60,810970,694,2
65,834813,694,2
70,851791,694,2
75,865542,694,2
80,875295,694,2
85,829945,694,2
90,837111,694,2
95,848539,694,2
100,861160,694,2
5,678741,693,2
10,690235,693,2
15,703904,693,2
20,724041,693,2
25,733567,693,2
30,743054,693,2
35,762222,693,2
40,760991,693,2
45,775017,693,2
50,784820,693,2
55,786658,693,2
60,814554,693,2
65,879140,693,2
70,826092,693,2
75,839003,693,2
80,845893,693,2
85,867567,693,2
90,869520,693,2
95,875226,693,2
100,887032,693,2
5,344465,347,1
10,375834,347,1
15,375377,347,1
20,388031,347,1
25,400051,347,1
30,407989,347,1
35,422150,347,1
40,428326,347,1
45,441521,347,1
50,451140,347,1
55,459309,347,1
60,454928,347,1
65,479220,347,1
70,485836,347,1
75,494196,347,1
80,508306,347,1
85,520380,347,1
90,526934,347,1
95,544097,347,1
100,541099,347,1
5,348920,348,1
10,356871,348,1
15,365259,348,1
20,384506,348,1
25,393929,348,1
30,405356,348,1
35,411147,348,1
40,430611,348,1
45,447263,348,1
50,446132,348,1
55,458499,348,1
60,464714,348,1
65,482565,348,1
70,491021,348,1
75,504908,348,1
80,512073,348,1
85,535158,348,1
90,519043,348,1
95,527691,348,1
100,533229,348,1
5,358514,348,1
10,699075,693,2
15,708501,693,2
20,742653,693,2
25,723966,693,2
30,729752,693,2
35,746767,693,2
40,752988,693,2
45,766052,693,2
50,782916,693,2
55,790422,693,2
60,796278,693,2
65,789787,693,2
70,778993,693,2
75,832578,693,2
80,820113,693,2
85,826899,693,2
90,914655,693,2
95,889736,693,2
100,887363,693,2
5,360443,348,1
10,366599,348,1
15,376893,348,1
20,386721,348,1
25,397987,348,1
30,745856,693,2
35,744795,693,2
40,753746,693,2
45,788229,693,2
50,808059,693,2
55,780149,693,2
60,792140,693,2
65,790236,693,2
70,811078,693,2
75,1130776,1039,3
80,1146857,1039,3
85,1131097,1039,3
90,1123024,1039,3
95,1165500,1039,3
100,1200946,1039,3
5,330717,347,1
10,346061,347,1
15,364546,347,1
20,364699,347,1
25,370497,347,1
30,386355,347,1
35,400969,347,1
40,410399,347,1
45,450008,347,1
50,444820,347,1
55,452949,347,1
60,469386,347,1
65,468938,347,1
70,470159,347,1
75,481896,347,1
80,486958,347,1
85,854670,691,2
90,842401,691,2
95,857404,691,2
100,871443,691,2
5,344445,347,1
10,355542,347,1
15,378089,347,1
20,367257,347,1
25,371706,347,1
30,389808,347,1
35,404580,347,1
40,414446,347,1
45,423698,347,1
50,779164,691,2
55,811464,691,2
60,791953,691,2
65,817252,691,2
70,831618,691,2
75,841987,691,2
80,871903,691,2
85,880972,691,2
90,866341,691,2
95,874765,691,2
100,883461,691,2
5,357559,348,1
10,348893,348,1
15,358482,348,1
20,373655,348,1
25,389522,348,1
30,392361,348,1
35,731208,693,2
40,745356,693,2
45,775185,693,2
50,798545,693,2
55,806053,693,2
60,817163,693,2
65,835752,693,2
70,849253,693,2
75,828666,693,2
80,845048,693,2
85,876245,693,2
90,895426,693,2
95,907088,693,2
100,1569254,1384,4
5,362871,348,1
10,363158,348,1
15,372735,348,1
20,389011,348,1
25,397264,348,1
30,387812,348,1
35,405327,348,1
40,755561,692,2
45,749345,692,2
50,735862,692,2
55,760637,692,2
60,757769,692,2
65,781672,692,2
70,802207,692,2
75,816798,692,2
80,832337,692,2
85,808032,692,2
90,814013,692,2
95,828055,692,2
100,1124077,1038,3
5,345864,348,1
10,694979,694,2
15,697896,694,2
20,705855,694,2
25,713733,694,2
30,725386,694,2
35,767524,694,2
40,814854,694,2
45,754677,694,2
50,774028,694,2
55,787676,694,2
60,1082690,1039,3
65,1069594,1039,3
70,1077735,1039,3
75,1086603,1039,3
80,1121630,1039,3
85,1118138,1039,3
90,1129895,1039,3
95,1146841,1039,3
100,1153799,1039,3
5,332770,348,1
10,356231,348,1
15,362188,348,1
20,370988,348,1
25,385595,348,1
30,394199,348,1
35,414018,348,1
40,406908,348,1
45,417850,348,1
50,432751,348,1
55,437900,348,1
60,446897,348,1
65,469003,348,1
70,478548,348,1
75,488915,348,1
80,514192,348,1
85,514400,348,1
90,522564,348,1
95,529864,348,1
100,542024,348,1
5,358101,347,1
10,367185,347,1
15,376725,347,1
20,389054,347,1
25,396591,347,1
30,391235,347,1
35,408540,347,1
40,416434,347,1
45,428292,347,1
50,434592,347,1
55,449399,347,1
60,466541,347,1
65,482807,347,1
70,493160,347,1
75,476111,347,1
80,490079,347,1
85,807371,691,2
90,815917,691,2
95,841379,691,2
100,873702,691,2
5,356615,347,1
10,367352,347,1
15,375894,347,1
20,387116,347,1
25,400248,347,1
30,406708,347,1
35,420694,347,1
40,432410,347,1
45,452080,347,1
50,458257,347,1
55,445311,347,1
60,454825,347,1
65,474716,347,1
70,482174,347,1
75,493059,347,1
80,512166,347,1
85,535651,347,1
90,845946,691,2
95,855671,691,2
100,849866,691,2
5,340701,348,1
10,351832,348,1
15,372677,348,1
20,392753,348,1
25,394873,348,1
30,387632,348,1
35,410513,348,1
40,425688,348,1
45,436545,348,1
50,446437,348,1
55,462231,348,1
60,477129,348,1
65,496168,348,1
70,498631,348,1
75,499064,348,1
80,509426,348,1
85,517809,348,1
90,527303,348,1
95,532657,348,1
100,545735,348,1
5,356100,347,1
10,367814,347,1
15,361872,347,1
20,376420,347,1
25,391233,347,1
30,407147,347,1
35,415895,347,1
40,422012,347,1
45,432848,347,1
50,448387,347,1
55,456036,347,1
60,452183,347,1
65,482055,347,1
70,487216,347,1
75,495262,347,1
80,503228,347,1
85,832367,691,2
90,861897,691,2
95,870728,691,2
100,911912,691,2
5,362125,347,1
10,370429,347,1
15,376450,347,1
20,396423,347,1
25,400509,347,1
30,392818,347,1
35,390907,347,1
40,707763,691,2
45,717376,691,2
50,734363,691,2
55,747222,691,2
60,810826,691,2
65,837007,691,2
70,848048,691,2
75,859844,691,2
80,874518,691,2
85,867198,691,2
90,852632,691,2
95,863088,691,2
100,873655,691,2
5,348191,348,1
10,360304,348,1
15,371100,348,1
20,382829,348,1
25,392405,348,1
30,402705,348,1
35,416905,348,1
40,424206,348,1
45,426228,348,1
50,436868,348,1
55,450320,348,1
60,467594,348,1
65,471664,348,1
70,483325,348,1
75,490904,348,1
80,499900,348,1
85,511405,348,1
90,524281,348,1
95,536982,348,1
100,570411,348,1
5,657181,692,2
10,662896,692,2
15,671332,692,2
20,682653,692,2
25,690859,692,2
30,714906,692,2
35,727186,692,2
40,731480,692,2
45,764059,692,2
50,774115,692,2
55,784703,692,2
60,760332,692,2
65,792687,692,2
70,830455,692,2
75,847025,692,2
80,856645,692,2
85,843361,692,2
90,862553,692,2
95,871661,692,2
