VPTREE,EUCLIDEAN,MAXSEPARATED,1,5501,1054
k,time,count,disk
5,383833,348,1
10,368467,348,1
15,378424,348,1
20,388454,348,1
25,399411,348,1
30,409250,348,1
35,492365,348,1
40,432971,348,1
45,451228,348,1
50,456644,348,1
55,469650,348,1
60,492730,348,1
65,507739,348,1
70,522976,348,1
75,538520,348,1
80,530121,348,1
85,539864,348,1
90,561387,348,1
95,574516,348,1
100,577403,348,1
5,366629,348,1
10,374128,348,1
15,398027,348,1
20,414105,348,1
25,407180,348,1
30,418140,348,1
35,427164,348,1
40,443706,348,1
45,449581,348,1
50,821608,693,2
55,805104,693,2
60,791946,693,2
65,811333,693,2
70,815273,693,2
75,834594,693,2
80,880380,693,2
85,916719,693,2
90,874818,693,2
95,1924266,1728,5
100,1875992,1728,5
5,371904,348,1
10,387198,348,1
15,398316,348,1
20,390693,348,1
25,405998,348,1
30,425565,348,1
35,438803,348,1
40,427451,348,1
45,444443,348,1
50,458027,348,1
55,471667,348,1
60,476570,348,1
65,1121939,1039,3
70,1123533,1039,3
75,1117709,1039,3
80,1133836,1039,3
85,1161643,1039,3
90,1232497,1039,3
95,1161204,1039,3
100,1169758,1039,3
5,356136,348,1
10,363912,348,1
15,379551,348,1
20,394462,348,1
25,400943,348,1
30,409526,348,1
35,424117,348,1
40,434875,348,1
45,788674,694,2
50,809187,694,2
55,819668,694,2
60,830505,694,2
65,848440,694,2
70,867692,694,2
75,875380,694,2
80,875935,694,2
85,896908,694,2
90,901856,694,2
95,875958,694,2
100,894958,694,2
5,399934,347,1
10,374561,347,1
15,384601,347,1
20,400072,347,1
25,413007,347,1
30,415969,347,1
35,432747,347,1
40,792290,692,2
45,797853,692,2
50,786811,692,2
55,803850,692,2
60,839319,692,2
65,875588,692,2
70,874100,692,2
75,889346,692,2
80,893287,692,2
85,862131,692,2
90,871984,692,2
95,885797,692,2
100,907951,692,2
5,357717,348,1
10,369517,348,1
15,383111,348,1
20,389493,348,1
25,413406,348,1
30,423939,348,1
35,433595,348,1
40,494536,348,1
45,469062,348,1
50,490717,348,1
55,827559,693,2
60,837249,693,2
65,865254,693,2
70,858559,693,2
75,866898,693,2
80,867040,693,2
85,901170,693,2
90,912278,693,2
95,936660,693,2
100,911557,693,2
5,702888,692,2
10,711641,692,2
15,735617,692,2
20,750229,692,2
25,773509,692,2
30,794680,692,2
35,795746,692,2
40,819018,692,2
45,818121,692,2
50,784023,692,2
55,790593,692,2
60,808784,692,2
65,844579,692,2
70,834003,692,2
75,1563180,1380,4
80,1576030,1380,4
85,1581280,1380,4
90,1567391,1380,4
95,1584527,1380,4
100,1594533,1380,4
5,360061,347,1
10,382224,347,1
15,395672,347,1
20,417382,347,1
25,417915,347,1
30,420337,347,1
35,481007,347,1
40,444654,347,1
45,462341,347,1
50,480020,347,1
55,481486,347,1
60,1263929,1036,3
65,1291893,1036,3
70,1300151,1036,3
75,1255613,1036,3
80,1323866,1036,3
85,1382511,1036,3
90,1244317,1036,3
95,1289670,1036,3
100,1292533,1036,3
5,382254,347,1
10,776044,691,2
15,806297,691,2
20,816590,691,2
25,838488,691,2
30,811713,691,2
35,834766,691,2
40,844546,691,2
45,844196,691,2
50,866864,691,2
55,866644,691,2
60,871536,691,2
65,910991,691,2
70,923003,691,2
75,935964,691,2
80,943629,691,2
85,954344,691,2
90,993776,691,2
95,970779,691,2
100,996992,691,2
5,386958,347,1
10,394049,347,1
15,414651,347,1
20,387177,347,1
25,396640,347,1
30,437360,347,1
35,443190,347,1
40,440630,347,1
45,446064,347,1
50,455765,347,1
55,463275,347,1
60,505081,347,1
65,528411,347,1
70,520924,347,1
75,537583,347,1
80,547403,347,1
85,540172,347,1
90,557067,347,1
95,568117,347,1
100,601721,347,1
5,372193,348,1
10,366739,348,1
15,377447,348,1
20,394740,348,1
25,405193,348,1
30,436402,348,1
35,436136,348,1
40,441434,348,1
45,471483,348,1
50,466786,348,1
55,482047,348,1
60,495188,348,1
65,495153,348,1
70,519034,348,1
75,846486,692,2
80,892913,692,2
85,893754,692,2
90,923944,692,2
95,895075,692,2
100,907031,692,2
5,374449,348,1
10,371220,348,1
15,381948,348,1
20,396856,348,1
25,407082,348,1
30,417418,348,1
35,431063,348,1
40,440633,348,1
45,799647,692,2
50,796479,692,2
55,808239,692,2
60,818689,692,2
65,812983,692,2
70,851429,692,2
75,856761,692,2
80,888863,692,2
85,897756,692,2
90,899196,692,2
95,916803,692,2
100,907254,692,2
5,365064,347,1
10,374494,347,1
15,403508,347,1
20,389159,347,1
25,397962,347,1
30,411859,347,1
35,443895,347,1
40,449838,347,1
45,461021,347,1
50,1142134,1036,3
55,1154802,1036,3
60,1145245,1036,3
65,1143022,1036,3
70,1146458,1036,3
75,1180648,1036,3
80,1349378,1036,3
85,1258949,1036,3
90,1321479,1036,3
95,1289725,1036,3
100,1283227,1036,3
5,406609,348,1
10,436357,348,1
15,434335,348,1
20,1111734,1039,3
25,1147063,1039,3
30,1162704,1039,3
35,1199009,1039,3
40,1173736,1039,3
45,1217505,1039,3
50,1189845,1039,3
55,1144394,1039,3
60,1237232,1039,3
65,1209260,1039,3
70,1246679,1039,3
75,1233612,1039,3
80,1282276,1039,3
85,1284809,1039,3
90,1284626,1039,3
95,1305185,1039,3
100,1316358,1039,3
5,386425,348,1
10,777488,693,2
