VPTREE,EUCLIDEAN,MAXVARIANCE,1,5501,1054
k,time,count,disk
5,396584,348,1
10,375090,348,1
15,383927,348,1
20,400410,348,1
25,398520,348,1
30,409897,348,1
35,425604,348,1
40,435061,348,1
45,443787,348,1
50,458383,348,1
55,481963,348,1
60,874477,691,2
65,867730,691,2
70,869450,691,2
75,865655,691,2
80,891856,691,2
85,913582,691,2
90,926743,691,2
95,936624,691,2
100,964097,691,2
5,436097,348,1
10,390236,348,1
15,404158,348,1
20,429473,348,1
25,443477,348,1
30,453387,348,1
35,464097,348,1
40,447602,348,1
45,507705,348,1
50,510948,348,1
55,507053,348,1
60,535811,348,1
65,555333,348,1
70,559129,348,1
75,554812,348,1
80,579115,348,1
85,997237,695,2
90,989504,695,2
95,989475,695,2
100,998736,695,2
5,417582,348,1
10,392935,348,1
15,405305,348,1
20,417171,348,1
25,440772,348,1
30,445319,348,1
35,465487,348,1
40,481604,348,1
45,484188,348,1
50,488726,348,1
55,903251,695,2
60,866914,695,2
65,898213,695,2
70,908516,695,2
75,912491,695,2
80,899871,695,2
85,926058,695,2
90,914241,695,2
95,899698,695,2
100,943630,695,2
5,383937,348,1
10,387319,348,1
15,400183,348,1
20,422707,348,1
25,427394,348,1
30,438161,348,1
35,447331,348,1
40,469254,348,1
45,501894,348,1
50,480419,348,1
55,495455,348,1
60,499464,348,1
65,518451,348,1
70,886062,692,2
75,915526,692,2
80,866921,692,2
85,880435,692,2
90,890893,692,2
95,913025,692,2
100,901754,692,2
5,369115,348,1
10,374726,348,1
15,397964,348,1
20,792668,693,2
25,774847,693,2
30,792203,693,2
35,795577,693,2
40,797538,693,2
45,816930,693,2
50,809428,693,2
55,877059,693,2
60,870236,693,2
65,877949,693,2
70,881204,693,2
75,918319,693,2
80,1225623,1036,3
85,1207046,1036,3
90,1232585,1036,3
95,1286193,1036,3
100,1287442,1036,3
5,375838,348,1
10,376740,348,1
15,387049,348,1
20,406571,348,1
25,403433,348,1
30,414912,348,1
35,432899,348,1
40,440120,348,1
45,449824,348,1
50,458319,348,1
55,467875,348,1
60,486088,348,1
65,512313,348,1
70,517296,348,1
75,521027,348,1
80,532161,348,1
85,876631,692,2
90,895014,692,2
95,917258,692,2
100,910025,692,2
5,355477,348,1
10,368417,348,1
15,376557,348,1
20,722133,692,2
25,730461,692,2
30,771581,692,2
35,778193,692,2
40,795955,692,2
45,794169,692,2
50,811208,692,2
55,794464,692,2
60,793303,692,2
65,817088,692,2
70,825389,692,2
75,831425,692,2
80,878017,692,2
85,873096,692,2
90,889387,692,2
95,850928,692,2
100,894221,692,2
5,339603,347,1
10,350712,347,1
15,365151,347,1
20,374712,347,1
25,382882,347,1
30,393155,347,1
35,1409303,1380,4
40,1361367,1380,4
45,1454761,1380,4
50,1482211,1380,4
55,1501000,1380,4
60,1477092,1380,4
65,1574745,1380,4
70,1619460,1380,4
75,1696007,1380,4
80,1739900,1380,4
85,1664907,1380,4
90,1735328,1380,4
95,1662163,1380,4
100,1693467,1380,4
5,389841,348,1
10,400526,348,1
15,411731,348,1
20,421266,348,1
25,430610,348,1
30,441764,348,1
35,457958,348,1
40,483700,348,1
45,856751,691,2
50,878148,691,2
55,885197,691,2
60,890033,691,2
65,888121,691,2
70,887018,691,2
75,905199,691,2
80,918878,691,2
85,942221,691,2
90,994202,691,2
95,1006274,691,2
100,1004844,691,2
5,402576,347,1
10,414624,347,1
15,421455,347,1
20,429467,347,1
25,441568,347,1
30,446926,347,1
35,842046,692,2
40,851585,692,2
45,843502,692,2
50,832417,692,2
55,848702,692,2
60,863958,692,2
65,898612,692,2
70,902307,692,2
75,909562,692,2
80,916115,692,2
85,875269,692,2
90,897077,692,2
95,913352,692,2
100,924026,692,2
5,384671,348,1
10,381740,348,1
15,391892,348,1
20,404034,348,1
25,416741,348,1
30,427338,348,1
35,441392,348,1
40,465303,348,1
45,463986,348,1
50,473607,348,1
55,476222,348,1
60,489034,348,1
65,505276,348,1
70,506884,348,1
75,523197,348,1
80,534718,348,1
85,543972,348,1
90,578704,348,1
95,571173,348,1
100,572084,348,1
5,373583,348,1
10,352930,348,1
15,369546,348,1
20,384516,348,1
25,386280,348,1
30,399504,348,1
35,404545,348,1
40,422637,348,1
45,435382,348,1
50,444583,348,1
55,465015,348,1
60,474437,348,1
65,493329,348,1
70,502289,348,1
75,512900,348,1
80,553602,348,1
85,544521,348,1
90,889241,694,2
95,857778,694,2
100,877533,694,2
5,345869,347,1
10,350767,347,1
15,370986,347,1
20,713296,692,2
25,987850,1036,3
30,977168,1036,3
35,1005912,1036,3
40,992848,1036,3
45,1041483,1036,3
50,1039308,1036,3
55,1061776,1036,3
60,1047993,1036,3
65,1452974,1380,4
70,1442903,1380,4
75,1456823,1380,4
80,1497817,1380,4
85,1505106,1380,4
90,1505618,1380,4
95,1484879,1380,4
100,1519896,1380,4
5,347613,348,1
10,354976,348,1
15,361089,348,1
20,384141,348,1
25,715860,695,2
30,729911,695,2
35,737679,695,2
40,748677,695,2
45,749212,695,2
50,765768,695,2
55,787325,695,2
60,796040,695,2
65,828149,695,2
70,868549,695,2
75,1013620,695,2
80,891369,695,2
85,896429,695,2
90,927628,695,2
95,929923,695,2
100,930082,695,2
5,373340,348,1
10,360415,348,1
15,372364,348,1
20,401123,348,1
25,398828,348,1
30,417432,348,1
35,425899,348,1
40,436383,348,1
45,448351,348,1
50,456590,348,1
55,466127,348,1
60,476051,348,1
65,497625,348,1
70,503627,348,1
75,523537,348,1
80,522634,348,1
85,531738,348,1
90,556049,348,1
95,562185,348,1
100,575791,348,1
5,405535,348,1
10,389527,348,1
15,396298,348,1
20,414610,348,1
25,416283,348,1
30,432264,348,1
35,443111,348,1
40,458037,348,1
45,471290,348,1
50,490805,348,1
55,513762,348,1
60,478909,348,1
65,484409,348,1
70,498298,348,1
75,514701,348,1
80,513712,348,1
85,527248,348,1
90,549471,348,1
95,560078,348,1
100,572971,348,1
5,705178,691,2
10,718080,691,2
15,703209,691,2
20,726623,691,2
25,743451,691,2
30,754257,691,2
35,1059635,1036,3
40,1067954,1036,3
45,1018175,1036,3
50,1025411,1036,3
55,1058035,1036,3
60,1153787,1036,3
65,1114808,1036,3
70,1119159,1036,3
75,1161016,1036,3
80,1176165,1036,3
85,1278483,1036,3
90,1156830,1036,3
95,1191124,1036,3
100,1194920,1036,3
5,367985,348,1
10,377431,348,1
15,380616,348,1
20,397015,348,1
25,408246,348,1
30,422604,348,1
35,432483,348,1
40,436860,348,1
45,457935,348,1
50,471002,348,1
55,481911,348,1
60,479063,348,1
65,497758,348,1
70,504309,348,1
75,519376,348,1
80,533209,348,1
85,541210,348,1
90,558300,348,1
95,577121,348,1
100,586181,348,1
5,376434,348,1
10,386215,348,1
15,397113,348,1
20,399117,348,1
25,410531,348,1
30,407774,348,1
35,432562,348,1
40,440168,348,1
45,448560,348,1
50,458602,348,1
55,471893,348,1
60,820791,691,2
65,831615,691,2
70,832140,691,2
75,852272,691,2
80,861745,691,2
85,870072,691,2
90,878269,691,2
95,902607,691,2
100,901719,691,2
5,357042,348,1
10,360137,348,1
15,366142,348,1
20,379157,348,1
25,396630,348,1
30,422372,348,1
35,433318,348,1
40,447379,348,1
45,460772,348,1
50,467211,348,1
55,475581,348,1
60,472665,348,1
65,503434,348,1
70,505321,348,1
75,504189,348,1
80,538775,348,1
85,543045,348,1
90,523696,348,1
95,576249,348,1
100,551993,348,1
5,358739,348,1
10,370682,348,1
15,379899,348,1
20,391814,348,1
25,408071,348,1
30,463202,348,1
35,482935,348,1
40,439323,348,1
45,442888,348,1
50,450917,348,1
55,475883,348,1
60,477286,348,1
65,487813,348,1
70,523248,348,1
75,530514,348,1
80,543872,348,1
85,525294,348,1
90,530466,348,1
95,543725,348,1
100,556203,348,1
5,350281,348,1
10,360996,348,1
15,368759,348,1
20,1031994,1039,3
25,1037152,1039,3
30,1049160,1039,3
35,1071139,1039,3
40,1102600,1039,3
45,1104521,1039,3
50,1102298,1039,3
55,1106622,1039,3
60,1129288,1039,3
65,1824245,1728,5
70,1772970,1728,5
75,1812932,1728,5
80,1846034,1728,5
85,1819780,1728,5
90,1868814,1728,5
95,1801708,1728,5
100,1854886,1728,5
5,365755,348,1
10,374416,348,1
15,389608,348,1
20,400693,348,1
25,409653,348,1
30,405637,348,1
35,419027,348,1
40,435966,348,1
45,447931,348,1
50,450448,348,1
55,483228,348,1
60,491853,348,1
65,583271,348,1
70,524451,348,1
75,521463,348,1
80,527450,348,1
85,543001,348,1
90,573129,348,1
95,571194,348,1
100,567266,348,1
5,362954,348,1
10,375274,348,1
15,381572,348,1
20,401727,348,1
25,403349,348,1
30,415551,348,1
35,449457,348,1
40,464530,348,1
45,463237,348,1
50,461308,348,1
55,477486,348,1
60,487929,348,1
65,487518,348,1
70,504139,348,1
75,542690,348,1
80,537655,348,1
85,555486,348,1
90,581465,350,1
95,591674,350,1
100,949814,694,2
5,366080,348,1
10,384120,348,1
15,399292,348,1
20,389964,348,1
25,397928,348,1
30,410002,348,1
35,425312,348,1
40,771949,692,2
45,791092,692,2
50,800665,692,2
55,795812,692,2
60,839132,692,2
65,852503,692,2
70,867758,692,2
75,861635,692,2
80,865777,692,2
85,1546643,1380,4
90,1566939,1380,4
95,1581300,1380,4
100,1573879,1380,4
5,391793,347,1
10,371160,347,1
15,383306,347,1
20,392275,347,1
25,403010,347,1
30,410623,347,1
35,434787,347,1
40,443274,347,1
45,448231,347,1
50,453718,347,1
55,488351,347,1
60,491002,347,1
65,501683,347,1
70,842564,691,2
75,992247,691,2
80,876389,691,2
85,872332,691,2
90,894843,691,2
95,903296,691,2
100,888962,691,2
5,372337,348,1
10,379678,348,1
15,734119,694,2
20,754084,694,2
25,766941,694,2
30,748278,694,2
35,763529,694,2
40,775242,694,2
45,787788,694,2
50,809799,694,2
55,819089,694,2
60,831212,694,2
65,836225,694,2
70,850606,694,2
75,858657,694,2
80,875272,694,2
85,877432,694,2
90,884930,694,2
95,882638,694,2
100,875930,694,2
5,353507,347,1
10,365298,347,1
15,379764,347,1
20,395219,347,1
25,408034,347,1
30,412777,347,1
35,425981,347,1
40,440193,347,1
45,455474,347,1
50,472987,347,1
55,474507,347,1
60,491386,347,1
65,497924,347,1
70,503660,347,1
75,502529,347,1
80,854875,691,2
85,853287,691,2
90,867796,691,2
95,889380,691,2
100,912814,691,2
5,355701,347,1
10,366365,347,1
15,380479,347,1
20,389533,347,1
25,397440,347,1
30,404668,347,1
35,424272,347,1
40,416970,347,1
45,434803,347,1
50,448314,347,1
55,463966,347,1
60,463549,347,1
65,492416,347,1
70,506363,347,1
75,521571,347,1
80,510705,347,1
85,521102,347,1
90,527946,347,1
95,650224,347,1
100,552937,347,1
5,720135,691,2
10,740154,691,2
15,741083,691,2
20,739022,691,2
25,743495,691,2
30,745018,691,2
35,800757,691,2
40,814924,691,2
45,816298,691,2
50,832777,691,2
55,853332,691,2
60,838821,691,2
65,841687,691,2
70,864787,691,2
75,868588,691,2
80,876167,691,2
85,895997,691,2
90,909038,691,2
95,928362,691,2
100,952431,691,2
5,369031,348,1
10,375401,348,1
15,381326,348,1
20,394093,348,1
25,402779,348,1
30,413301,348,1
35,437977,348,1
40,431617,348,1
45,441632,348,1
50,461602,348,1
55,479950,348,1
60,496335,348,1
65,495651,348,1
70,506518,348,1
75,527209,348,1
80,536999,348,1
85,546470,348,1
90,557737,348,1
95,543594,348,1
100,584366,348,1
5,362974,348,1
10,372673,348,1
15,385237,348,1
20,403351,348,1
25,408881,348,1
30,427950,348,1
35,434376,348,1
40,444606,348,1
45,451335,348,1
50,462258,348,1
55,475600,348,1
60,487083,348,1
65,500291,348,1
70,511652,348,1
75,532796,348,1
80,536637,348,1
85,550436,348,1
90,566060,348,1
95,569657,348,1
100,583187,348,1
5,354350,348,1
10,357481,348,1
15,701519,692,2
20,702999,692,2
25,956635,692,2
30,726838,692,2
35,737147,692,2
40,759605,692,2
45,798198,692,2
50,788291,692,2
55,774999,692,2
60,781302,692,2
65,800771,692,2
70,837307,692,2
75,848960,692,2
80,873755,692,2
85,884284,692,2
90,884618,692,2
95,877928,692,2
100,895051,692,2
5,381080,348,1
10,372279,348,1
15,383567,348,1
20,394260,348,1
25,397068,348,1
30,414556,348,1
35,426214,348,1
40,438056,348,1
45,438482,348,1
50,459853,348,1
55,469256,348,1
60,474818,348,1
65,489412,348,1
70,528261,348,1
75,534206,348,1
80,544646,348,1
85,557196,348,1
90,574357,348,1
95,581831,348,1
100,590760,348,1
5,685228,691,2
10,679246,691,2
15,690361,691,2
20,698884,691,2
25,737687,691,2
30,785478,691,2
35,789299,691,2
40,765577,691,2
45,815340,691,2
50,840879,691,2
55,840951,691,2
60,831193,691,2
65,855422,691,2
70,869486,691,2
75,877258,691,2
80,876499,691,2
85,878972,691,2
90,865701,691,2
95,925283,691,2
100,907123,691,2
5,356024,348,1
10,396768,348,1
15,499033,348,1
20,387405,348,1
25,396963,348,1
30,413989,348,1
35,418407,348,1
40,429377,348,1
45,441188,348,1
50,450150,348,1
55,465950,348,1
60,477021,348,1
65,489911,348,1
70,499639,348,1
75,516552,348,1
80,837817,693,2
85,859219,693,2
90,872858,693,2
95,850817,693,2
100,867146,693,2
5,350860,347,1
10,354168,347,1
15,372778,347,1
20,393645,347,1
25,395188,347,1
30,742006,691,2
35,754977,691,2
40,797021,691,2
45,782272,691,2
50,784619,691,2
55,786362,691,2
60,817867,691,2
65,836824,691,2
70,855083,691,2
75,875448,691,2
80,863062,691,2
85,855267,691,2
90,858126,691,2
95,890910,691,2
100,899057,691,2
5,362405,348,1
10,370403,348,1
15,378706,348,1
20,393538,348,1
25,402822,348,1
30,419713,348,1
35,429838,348,1
40,431187,348,1
45,440475,348,1
50,462949,348,1
55,484364,348,1
60,497002,348,1
65,521193,348,1
70,519101,348,1
75,530206,348,1
80,877297,692,2
85,873624,692,2
90,1532850,1383,4
95,1560741,1383,4
100,1533129,1383,4
5,380665,348,1
10,368392,348,1
15,429762,348,1
20,438334,348,1
25,411519,348,1
30,407591,348,1
35,412365,348,1
40,433287,348,1
45,448371,348,1
50,461149,348,1
55,473650,348,1
60,479722,348,1
65,499922,348,1
70,504175,348,1
75,502062,348,1
80,534429,348,1
85,548171,348,1
90,566983,350,1
95,911895,694,2
100,914942,694,2
5,707315,692,2
10,714206,692,2
15,720058,692,2
20,752674,692,2
25,772976,692,2
30,782388,692,2
35,796992,692,2
40,810298,692,2
45,824895,692,2
50,825857,692,2
55,830296,692,2
60,840163,692,2
65,862611,692,2
70,871009,692,2
75,844845,692,2
80,872896,692,2
85,893132,692,2
90,908990,692,2
95,915696,692,2
100,913774,692,2
5,362480,348,1
10,705354,694,2
15,712131,694,2
20,729831,694,2
25,747535,694,2
30,757189,694,2
35,768262,694,2
40,794822,694,2
45,791286,694,2
50,806160,694,2
55,806544,694,2
60,815756,694,2
65,832498,694,2
70,856507,694,2
75,884169,694,2
80,890605,694,2
85,997854,694,2
90,899608,694,2
95,904123,694,2
100,931353,694,2
5,362858,348,1
10,690458,694,2
15,709428,694,2
20,711864,694,2
25,739991,694,2
30,763078,694,2
35,1086582,1038,3
40,1099533,1038,3
45,1107011,1038,3
50,1083817,1038,3
55,1095062,1038,3
60,1120043,1038,3
65,1127600,1038,3
70,1148831,1038,3
75,1167748,1038,3
80,1164820,1038,3
85,1206177,1038,3
90,1211022,1038,3
95,1612731,1382,4
100,1624558,1382,4
5,369646,348,1
10,390882,348,1
15,391225,348,1
20,403210,348,1
25,411274,348,1
30,411667,348,1
35,770893,695,2
40,786502,695,2
45,790137,695,2
50,786580,695,2
55,815169,695,2
60,805731,695,2
65,855263,695,2
70,863957,695,2
75,868461,695,2
80,885105,695,2
85,900614,695,2
90,902801,695,2
95,915119,695,2
100,918326,695,2
5,363332,347,1
10,409985,347,1
15,459578,347,1
20,730615,691,2
25,730933,691,2
30,743821,691,2
35,771331,691,2
40,778606,691,2
45,793524,691,2
50,801638,691,2
55,812822,691,2
60,826580,691,2
65,856737,691,2
70,867413,691,2
75,875229,691,2
80,863708,691,2
85,889808,691,2
90,884972,691,2
95,890208,691,2
100,902481,691,2
5,364372,348,1
10,378359,348,1
15,380107,348,1
20,389276,348,1
25,396458,348,1
30,410800,348,1
35,437467,348,1
40,446390,348,1
45,459768,348,1
50,462029,348,1
55,474614,348,1
60,480519,348,1
65,490245,348,1
70,501105,348,1
75,512891,348,1
80,515353,348,1
85,528865,348,1
90,537304,348,1
95,566071,348,1
100,576655,348,1
5,371859,348,1
10,379456,348,1
15,387874,348,1
20,402346,348,1
25,410624,348,1
30,415760,348,1
35,417689,348,1
40,439532,348,1
45,461710,348,1
50,460106,348,1
55,464865,348,1
60,479206,348,1
65,489308,348,1
70,507270,348,1
75,521159,348,1
80,530768,348,1
85,537975,348,1
90,552130,348,1
95,562214,348,1
100,569752,348,1
5,364951,348,1
10,376731,348,1
15,392551,348,1
20,407402,348,1
25,410622,348,1
30,409234,348,1
35,421917,348,1
40,434294,348,1
45,566849,348,1
50,448883,348,1
55,464886,348,1
60,805114,692,2
65,842425,692,2
70,860802,692,2
75,856729,692,2
80,871425,692,2
85,874710,692,2
90,868648,692,2
95,884301,692,2
100,895823,692,2
5,352511,348,1
10,364704,348,1
15,371519,348,1
20,411911,348,1
25,415830,348,1
30,426418,348,1
35,446679,348,1
40,456923,348,1
45,469035,348,1
50,480305,348,1
55,487684,348,1
60,504052,348,1
65,495353,348,1
70,497655,348,1
75,508411,348,1
80,525705,348,1
85,537644,348,1
90,551827,348,1
95,556295,348,1
100,576969,348,1
5,358449,348,1
10,368938,348,1
15,392722,348,1
20,407618,348,1
25,413628,348,1
30,417061,348,1
35,427826,348,1
40,441071,348,1
45,446619,348,1
50,461162,348,1
55,467349,348,1
60,479624,348,1
65,497187,348,1
70,503033,348,1
75,521887,348,1
80,520573,348,1
85,531464,348,1
90,539770,348,1
95,559766,348,1
100,581254,348,1
5,341181,348,1
10,351266,348,1
15,362943,348,1
20,372782,348,1
25,383929,348,1
30,398961,348,1
35,433516,348,1
40,440130,348,1
45,454221,348,1
50,463818,348,1
55,474769,348,1
60,482483,348,1
65,510766,348,1
70,519694,348,1
75,525144,348,1
80,519941,348,1
85,526959,348,1
90,540001,348,1
95,547035,348,1
100,557762,348,1
5,787608,692,2
10,690009,692,2
15,704956,692,2
20,717823,692,2
25,727193,692,2
30,726817,692,2
35,761450,692,2
40,781196,692,2
45,800264,692,2
50,805189,692,2
55,806133,692,2
60,831599,692,2
65,821069,692,2
70,867798,692,2
75,871303,692,2
80,881232,692,2
85,921296,692,2
90,899329,692,2
95,913332,692,2
100,925304,692,2
5,366497,348,1
10,375889,348,1
15,372565,348,1
20,375952,348,1
25,388661,348,1
30,400153,348,1
35,410135,348,1
40,422138,348,1
45,443137,348,1
50,456913,348,1
55,465305,348,1
60,483579,348,1
65,493003,348,1
70,502386,348,1
75,511878,348,1
80,523914,348,1
85,533667,348,1
90,543347,348,1
95,568314,348,1
100,551706,348,1
5,346058,348,1
10,355229,348,1
15,686334,695,2
20,727030,695,2
25,743414,695,2
30,740584,695,2
35,746690,695,2
40,773155,695,2
45,791296,695,2
50,815269,695,2
55,823294,695,2
60,797029,695,2
65,818726,695,2
70,828629,695,2
75,855499,695,2
80,890166,695,2
85,874130,695,2
90,896249,695,2
95,1045521,695,2
100,917157,695,2
5,352050,348,1
10,359232,348,1
15,368668,348,1
20,376612,348,1
25,384608,348,1
30,393680,348,1
35,419760,348,1
40,431361,348,1
45,436187,348,1
50,458302,348,1
55,473643,348,1
60,485830,348,1
