VPTREE,EUCLIDEAN,RANDOM,1,5501,1054
k,time,count,disk
5,789778,692,2
10,747776,692,2
15,766227,692,2
20,706687,692,2
25,715457,692,2
30,720362,692,2
35,728426,692,2
40,741521,692,2
45,790741,692,2
50,811285,692,2
55,815292,692,2
60,829317,692,2
65,840883,692,2
70,875238,692,2
75,843510,692,2
80,903729,692,2
85,916695,692,2
90,917874,692,2
95,941273,692,2
100,913242,692,2
5,380977,348,1
10,699287,694,2
15,713109,694,2
20,714532,694,2
25,704894,694,2
30,712798,694,2
35,731539,694,2
40,1064921,1041,3
45,1170905,1041,3
50,1170811,1041,3
55,1182440,1041,3
60,1161532,1041,3
65,1168815,1041,3
70,1203895,1041,3
75,1190603,1041,3
80,1164709,1041,3
85,1179145,1041,3
90,1202721,1041,3
95,1185231,1041,3
100,1577070,1387,4
5,351152,347,1
10,355109,347,1
15,367459,347,1
20,378781,347,1
25,387107,347,1
30,394692,347,1
35,425322,347,1
40,437879,347,1
45,431913,347,1
50,446806,347,1
55,454691,347,1
60,471827,347,1
65,485556,347,1
70,495046,347,1
75,491186,347,1
80,505185,347,1
85,517188,347,1
90,526339,347,1
95,552283,347,1
100,632275,347,1
5,590401,348,1
10,366807,348,1
15,366227,348,1
20,386640,348,1
25,398102,348,1
30,418834,348,1
35,454591,348,1
40,477690,348,1
45,478456,348,1
50,522466,348,1
55,470475,348,1
60,475111,348,1
65,493185,348,1
70,498374,348,1
75,505241,348,1
80,514287,348,1
85,850470,694,2
90,903614,694,2
95,911117,694,2
100,921666,694,2
5,735854,693,2
10,1146304,1036,3
15,1125391,1036,3
20,1089287,1036,3
25,1146977,1036,3
30,1414078,1036,3
35,1172486,1036,3
40,1205590,1036,3
45,1294889,1036,3
50,1322504,1036,3
55,1325450,1036,3
60,1262183,1036,3
65,1247581,1036,3
70,1257062,1036,3
75,1230336,1036,3
80,1211836,1036,3
85,1254685,1036,3
90,1303403,1036,3
95,1275226,1036,3
100,1263878,1036,3
5,349286,348,1
10,358206,348,1
15,484290,348,1
20,376253,348,1
25,391670,348,1
30,388743,348,1
35,400436,348,1
40,409254,348,1
45,421628,348,1
50,434426,348,1
55,440692,348,1
60,445647,348,1
65,507254,348,1
70,511152,348,1
75,522732,348,1
80,531013,348,1
85,542280,348,1
90,547633,348,1
95,562646,348,1
100,575833,348,1
5,355736,348,1
10,349519,348,1
15,358939,348,1
20,368593,348,1
25,376943,348,1
30,387760,348,1
35,398228,348,1
40,407552,348,1
45,417061,348,1
50,447398,348,1
55,447642,348,1
60,480017,348,1
65,498745,348,1
70,498082,348,1
75,510344,348,1
80,521934,348,1
85,526874,348,1
90,543153,348,1
95,540079,348,1
100,545566,348,1
5,700567,692,2
10,828640,692,2
15,1210373,692,2
20,1257584,692,2
25,1307178,692,2
30,1364031,692,2
35,1342166,692,2
40,1221356,692,2
45,994157,692,2
50,898265,692,2
55,821617,692,2
60,853494,692,2
65,877166,692,2
70,1134313,692,2
75,900394,692,2
80,947551,692,2
85,948984,692,2
90,915721,692,2
95,915935,692,2
100,917480,692,2
5,355094,348,1
10,370745,348,1
15,692139,694,2
20,704714,694,2
25,717469,694,2
30,733695,694,2
35,764348,694,2
40,752572,694,2
45,763750,694,2
50,778430,694,2
55,767629,694,2
60,808535,694,2
65,864830,694,2
70,871550,694,2
75,875019,694,2
80,896101,694,2
85,920864,694,2
90,910482,694,2
95,925393,694,2
100,866152,694,2
5,350437,348,1
10,358906,348,1
15,684129,692,2
20,701816,692,2
25,700346,692,2
30,724217,692,2
35,737655,692,2
40,748391,692,2
45,750545,692,2
50,762665,692,2
55,796421,692,2
60,807521,692,2
65,817062,692,2
70,827990,692,2
75,914384,692,2
80,870366,692,2
85,862351,692,2
90,858203,692,2
95,873678,692,2
100,893231,692,2
5,355986,348,1
10,369526,348,1
15,380773,348,1
20,391966,348,1
25,404445,348,1
30,413066,348,1
35,427720,348,1
40,430960,348,1
45,448501,348,1
50,438990,348,1
55,477999,348,1
60,816364,691,2
65,789033,691,2
70,811029,691,2
75,846845,691,2
80,848883,691,2
85,830068,691,2
90,882231,691,2
95,880114,691,2
100,904783,691,2
5,334573,347,1
10,377090,347,1
15,344559,347,1
20,385967,347,1
25,376147,347,1
30,379685,347,1
35,394076,347,1
40,406745,347,1
45,422341,347,1
50,437929,347,1
55,449704,347,1
60,460904,347,1
65,479127,347,1
70,488763,347,1
75,495568,347,1
80,503510,347,1
85,507125,347,1
90,525675,347,1
95,508700,347,1
100,533655,347,1
5,337701,348,1
10,642738,692,2
15,661059,692,2
20,689765,692,2
25,699779,692,2
30,681961,692,2
35,709054,692,2
40,706711,692,2
45,719292,692,2
50,731433,692,2
55,775486,692,2
60,747095,692,2
65,758228,692,2
70,763509,692,2
75,780645,692,2
80,789681,692,2
85,788553,692,2
90,793222,692,2
95,813323,692,2
100,822203,692,2
5,334168,347,1
10,339233,347,1
15,349066,347,1
20,359096,347,1
25,372906,347,1
30,390152,347,1
35,406046,347,1
40,417953,347,1
45,722083,691,2
50,745662,691,2
55,754855,691,2
60,771655,691,2
65,787800,691,2
70,795726,691,2
75,786992,691,2
80,813307,691,2
85,857186,691,2
90,850539,691,2
95,908095,691,2
100,915403,691,2
5,327694,347,1
10,338652,347,1
15,355310,347,1
20,367449,347,1
