VPTREE,EUCLIDEAN,SELECTION,1,5501,1054
k,time,count,disk
5,390980,348,1
10,367969,348,1
15,377614,348,1
20,764880,692,2
25,770225,692,2
30,790304,692,2
35,794069,692,2
40,812029,692,2
45,846037,692,2
50,863137,692,2
55,860952,692,2
60,874389,692,2
65,882167,692,2
70,880300,692,2
75,911179,692,2
80,881036,692,2
85,903861,692,2
90,931798,692,2
95,942899,692,2
100,849855,692,2
5,339236,348,1
10,351621,348,1
15,357322,348,1
20,394124,348,1
25,410202,348,1
30,419479,348,1
35,777720,694,2
40,738085,694,2
45,740023,694,2
50,765034,694,2
55,1065939,1038,3
60,1065451,1038,3
65,1083781,1038,3
70,1110171,1038,3
75,1145977,1038,3
80,1131468,1038,3
85,1110764,1038,3
90,1120002,1038,3
95,1160136,1038,3
100,1130591,1038,3
5,343616,348,1
10,349885,348,1
15,366037,348,1
20,381450,348,1
25,409927,348,1
30,777232,691,2
35,773606,691,2
40,757733,691,2
45,778711,691,2
50,786756,691,2
55,806571,691,2
60,760348,691,2
65,786955,691,2
70,777946,691,2
75,785157,691,2
80,808343,691,2
85,845823,691,2
90,828410,691,2
95,865214,691,2
100,858445,691,2
5,344930,347,1
10,357932,347,1
15,368594,347,1
20,353883,347,1
25,356709,347,1
30,369671,347,1
35,381311,347,1
40,391382,347,1
45,714361,692,2
50,746156,692,2
55,811978,692,2
60,828166,692,2
65,803887,692,2
70,811631,692,2
75,821937,692,2
80,815858,692,2
85,1064625,1036,3
90,1071400,1036,3
95,1147876,1036,3
100,1135117,1036,3
5,1001721,1036,3
10,1297350,1383,4
15,1294081,1383,4
20,1357883,1383,4
25,1357610,1383,4
30,1404220,1383,4
35,1416797,1383,4
40,1602392,1727,5
45,1582078,1727,5
50,1582388,1727,5
55,1685359,1727,5
60,1665938,1727,5
65,1683167,1727,5
70,1711148,1727,5
75,1701595,1727,5
80,1753413,1727,5
85,1742997,1727,5
90,1745288,1727,5
95,1708637,1727,5
100,1770349,1727,5
5,348908,348,1
10,327266,348,1
15,337081,348,1
20,364576,348,1
25,701394,694,2
30,689834,694,2
35,712399,694,2
40,723560,694,2
45,712244,694,2
50,734522,694,2
55,773052,694,2
60,755876,694,2
65,789578,694,2
70,1047116,1038,3
75,1061874,1038,3
80,1068423,1038,3
85,1089204,1038,3
90,1074751,1038,3
95,1114094,1038,3
100,1178388,1038,3
5,358524,348,1
10,363158,348,1
15,360222,348,1
20,370641,348,1
25,377430,348,1
30,389297,348,1
35,394975,348,1
40,418579,348,1
45,415538,348,1
50,408827,348,1
55,444938,348,1
60,435796,348,1
65,448695,348,1
70,453689,348,1
75,467073,348,1
80,478703,348,1
85,490162,348,1
90,519667,348,1
95,536410,348,1
100,575130,348,1
5,351346,348,1
10,356492,348,1
15,357262,348,1
20,365310,348,1
25,394102,348,1
30,396337,348,1
35,375501,348,1
40,387594,348,1
45,411549,348,1
50,443890,348,1
55,431310,348,1
60,451003,348,1
65,457846,348,1
70,462939,348,1
75,492211,348,1
80,490360,348,1
85,482845,348,1
90,535790,348,1
95,533898,348,1
100,875843,695,2
5,363585,348,1
10,363918,348,1
15,359261,348,1
20,364624,348,1
25,387762,348,1
30,387761,348,1
35,416405,348,1
40,410094,348,1
45,424306,348,1
50,424319,348,1
55,436278,348,1
60,449018,348,1
65,774245,694,2
70,818479,694,2
75,804846,694,2
80,806125,694,2
85,818231,694,2
90,819071,694,2
95,847632,694,2
100,877968,694,2
5,349663,348,1
10,353843,348,1
15,368512,348,1
20,705808,692,2
25,731990,692,2
30,722522,692,2
35,695478,692,2
40,695397,692,2
45,713968,692,2
50,739509,692,2
55,752468,692,2
60,743323,692,2
65,744492,692,2
70,791123,692,2
75,768124,692,2
80,780550,692,2
