MVPTREE,EUCLIDEAN,CONVEX,25,1000,108169
k,time,count,disk
5,304769934,8999,256
5,307126404,8999,256
5,312373262,8719,248
5,314058351,8999,256
5,305152808,8999,256
5,323118127,8999,256
5,310445249,8999,256
5,305652086,8999,256
5,294951101,8999,256
5,315837945,8999,256
5,286789956,8999,256
5,281892666,8999,256
5,323232775,8896,253
5,322525761,8999,256
5,321396006,8999,256
5,325432523,8999,256
5,313587223,8999,256
5,308059296,8999,256
5,303086071,8999,256
5,308914155,8999,256
5,291285281,8999,256
5,306816301,8999,256
5,279437587,8689,247
5,300253910,8999,256
5,322224659,8999,256
5,327293013,8999,256
5,321631137,8999,256
5,317521646,8999,256
5,282359877,8999,256
5,319169950,8999,256
5,299112966,8999,256
5,311987281,8999,256
5,308261905,8999,256
5,289327614,8999,256
5,284053651,8999,256
5,318109679,8999,256
5,324355634,8999,256
5,316198491,8792,250
5,327475695,8999,256
5,321770160,8999,256
5,298437750,8792,250
5,306487511,8689,247
5,299793367,8999,256
5,302752351,8999,256
5,309985362,8999,256
5,289389991,8930,254
5,285107054,8999,256
5,283999069,8999,256
5,288030116,8999,256
5,269020296,8999,256
5,285449473,8999,256
5,285081872,8999,256
5,287504385,8999,256
5,285408996,8999,256
5,281264430,8930,254
5,284237927,8999,256
5,285567188,8999,256
5,279300866,8999,256
5,270427685,8689,247
5,270983256,8999,256
5,281894905,8861,252
5,295473518,8999,256
5,293068916,8999,256
5,298743416,8999,256
5,292161019,8999,256
5,279725391,8999,256
5,284043908,8689,247
5,277127343,8999,256
5,275209513,8999,256
5,286426589,8999,256
5,271555086,8999,256
5,288452380,8999,256
5,297184761,8999,256
5,296392691,8999,256
5,288439756,8758,249
5,292181505,8999,256
5,285223522,8999,256
5,283607395,8999,256
5,284669368,8999,256
5,278631685,8999,256
5,269620823,8999,256
5,277403092,8999,256
5,297087749,8999,256
5,297085112,8999,256
5,298524202,8999,256
5,283223457,8689,247
5,282678352,8999,256
5,283900759,8999,256
5,285276099,8999,256
5,271070703,8999,256
5,273324577,8999,256
5,264003002,8999,256
5,289590437,8689,247
5,296326698,8999,256
5,296068011,8999,256
5,298585788,8999,256
5,280205810,8999,256
5,285715458,8999,256
5,269216429,8999,256
5,278949580,8999,256
5,283167161,8999,256
5,261702368,8792,250
5,271002632,8999,256
5,265590863,8999,256
5,267496627,8999,256
5,266557961,8999,256
5,271186467,8999,256
5,267362327,8999,256
5,267531958,8999,256
5,266356613,8999,256
5,271852939,8999,256
5,266189989,8999,256
5,267605990,8999,256
5,265184472,8895,253
5,276568343,8999,256
5,268761345,8999,256
5,263789587,8792,250
5,269692125,8999,256
5,273052946,8999,256
5,272143879,8999,256
5,271296978,8999,256
5,276427202,8999,256
5,271248782,8999,256
5,272349398,8999,256
5,272217654,8999,256
5,277974384,8999,256
5,272491387,8999,256
5,269350906,8896,253
5,274848345,8999,256
5,277072238,8999,256
5,274050682,8999,256
5,274224969,8999,256
5,277529253,8999,256
5,273855916,8999,256
5,271004705,8999,256
5,268646727,8999,256
5,274680924,8999,256
5,271639848,8999,256
5,271817827,8999,256
5,271580766,8999,256
5,275676141,8999,256
5,272673688,8999,256
5,262220413,8620,245
5,272497281,8999,256
5,275074272,8999,256
5,271433821,8999,256
5,271466096,8999,256
5,276927153,8999,256
5,271533199,8999,256
5,270812887,8999,256
5,273196772,8999,256
5,274661538,8999,256
5,273027745,8999,256
5,273937904,8999,256
5,271963549,8999,256
5,277909443,8999,256
5,269102112,8895,253
5,272078818,8999,256
5,272304935,8999,256
5,276158349,8999,256
5,271146841,8930,254
5,272833727,8999,256
5,269446269,8758,249
5,266785526,8758,249
5,266567624,8758,249
5,272438443,8999,256
5,276403006,8999,256
5,271815324,8999,256
5,271435363,8999,256
5,274139708,8999,256
5,279083690,8999,256
5,274137603,8999,256
5,276231307,8999,256
5,272665173,8999,256
5,275596113,8999,256
5,268116519,8930,254
5,272190416,8999,256
5,276184592,8999,256
5,271828527,8999,256
5,271304756,8999,256
5,270914260,8999,256
5,276040527,8999,256
5,274577745,8999,256
5,273268899,8999,256
5,275367818,8999,256
5,279008226,8999,256
5,268574558,8861,252
5,276543089,8999,256
5,279262137,8999,256
5,276167114,8999,256
5,277279886,8999,256
5,275058908,8999,256
5,277895935,8999,256
5,271289540,8999,256
5,270234709,8999,256
5,270486058,8999,256
5,275431726,8999,256
5,271737742,8999,256
5,273064463,8999,256
5,271424163,8999,256
5,276527757,8999,256
5,271551237,8999,256
5,271943279,8999,256
5,276761465,8999,256
5,271804912,8999,256
5,272788710,8999,256
5,275976217,8999,256
5,280338613,8999,256
5,271343249,8999,256
5,270915369,8999,256
5,272242522,8999,256
5,274656591,8999,256
5,269086930,8930,254
5,273385723,8999,256
5,275069909,8999,256
5,271486382,8999,256
5,272834951,8999,256
5,273245712,8999,256
5,274447094,8999,256
5,264655329,8895,253
5,261587149,8689,247
5,270819742,8999,256
5,276148137,8999,256
5,273593293,8999,256
5,270851821,8999,256
5,271693102,8999,256
5,279283839,8999,256
5,274677085,8999,256
5,275453788,8999,256
5,279937466,8999,256
5,275223686,8999,256
5,275181647,8999,256
5,275509187,8999,256
5,277230033,8999,256
5,273879897,8999,256
5,265333741,8689,247
5,274059543,8999,256
5,279666225,8999,256
5,273596687,8999,256
5,275470664,8999,256
5,272657105,8930,254
5,276744426,8999,256
5,272478539,8999,256
5,272879629,8999,256
5,275207149,8930,254
5,272352908,8999,256
5,270714361,8895,253
5,271991542,8999,256
5,278424819,8999,256
5,266725785,8758,249
5,274298317,8999,256
5,272519551,8999,256
5,277600739,8999,256
5,275520912,8999,256
5,276110456,8999,256
5,273118856,8758,249
5,276121282,8999,256
5,274664249,8965,255
5,271641502,8999,256
5,275643153,8999,256
5,273779151,8999,256
5,273201328,8999,256
5,273556360,8999,256
5,274884951,8999,256
5,272792221,8999,256
5,273455991,8999,256
5,272345321,8999,256
5,264524428,8689,247
5,273573763,8999,256
5,270364601,8999,256
5,276355406,8999,256
5,271475632,8999,256
5,271717009,8999,256
5,272705268,8999,256
5,276911040,8999,256
5,271785106,8999,256
5,274242363,8999,256
5,270534970,8930,254
5,277020911,8999,256
5,271081068,8999,256
5,272322248,8999,256
5,274843293,8999,256
5,276026662,8999,256
5,272132209,8999,256
5,272584607,8999,256
5,277671582,8999,256
5,273907116,8999,256
5,273831515,8999,256
5,274232035,8999,256
5,274619927,8999,256
5,271081452,8999,256
5,271774010,8999,256
5,271861057,8999,256
5,275870209,8999,256
5,270571345,8999,256
5,270241607,8999,256
5,275324932,8999,256
5,271023743,8999,256
5,270973947,8999,256
5,264789605,8723,248
5,276576096,8999,256
5,270701564,8999,256
5,272781463,8999,256
5,272381536,8999,256
5,267507321,8689,247
5,272302079,8999,256
5,272002740,8999,256
5,271609094,8999,256
5,277315066,8999,256
5,271724984,8999,256
5,267388824,8861,252
5,265204087,8861,252
5,273775214,8999,256
5,270897435,8895,253
5,270733168,8999,256
5,272786778,8999,256
5,271741335,8999,256
5,266212190,8861,252
5,267566711,8861,252
5,277368448,8999,256
5,267935911,8930,254
5,273368681,8999,256
5,261781294,8620,245
5,272194719,8895,253
5,271454369,8999,256
5,263607414,8758,249
5,269479607,8999,256
5,274276757,8999,256
5,270518198,8999,256
5,270183379,8999,256
5,273207247,8999,256
5,267626640,8999,256
5,270427497,8999,256
5,271383303,8999,256
5,274831827,8999,256
5,269835050,8999,256
5,270370452,8999,256
5,267680872,8999,256
5,275045666,8999,256
5,271265091,8999,256
5,268922669,8999,256
5,260562116,8689,247
