MVPTREE,EUCLIDEAN,FFT,25,1000,364177
k,time,count,disk
5,229953414,8999,256
5,230843256,8999,256
5,230644107,8930,254
5,230053725,8999,256
5,231743276,8999,256
5,232785996,8999,256
5,230649277,8999,256
5,233019610,8999,256
5,230285770,8999,256
5,231650212,8999,256
5,230457277,8999,256
5,235240966,8999,256
5,230218018,8999,256
5,231207973,8999,256
5,229496642,8999,256
5,230629882,8999,256
5,233024188,8999,256
5,230994374,8999,256
5,231774000,8999,256
5,230790605,8999,256
5,233276157,8999,256
5,230979134,8999,256
5,224170866,8757,249
5,231572200,8999,256
5,233840949,8999,256
5,232740085,8999,256
5,230009442,8999,256
5,231397891,8999,256
5,232509337,8999,256
5,235863912,8999,256
5,231795410,8999,256
5,230283095,8999,256
5,231326363,8999,256
5,233746949,8999,256
5,232228073,8999,256
5,230845300,8999,256
5,230063736,8999,256
5,225253700,8792,250
5,234075160,8999,256
5,231982880,8999,256
5,226295887,8861,252
5,217641156,8479,241
5,235014306,8999,256
5,231463382,8999,256
5,231189813,8999,256
5,228805769,8999,256
5,232672668,8999,256
5,229740978,8999,256
5,231337294,8999,256
5,231452195,8999,256
5,230402061,8999,256
5,233958886,8999,256
5,230675599,8999,256
5,230528437,8999,256
5,229545582,8999,256
5,234588204,8999,256
5,231742659,8999,256
5,229798219,8999,256
5,219766564,8548,243
5,230072162,8999,256
5,232872181,8999,256
5,232430421,8999,256
5,229160221,8999,256
5,233774084,8999,256
5,234587696,8999,256
5,231097365,8999,256
5,223205672,8688,247
5,230700739,8999,256
5,230288112,8999,256
5,235005085,8999,256
5,230458401,8999,256
5,231602361,8999,256
5,230751447,8999,256
5,233257329,8999,256
5,222319047,8688,247
5,231385723,8999,256
5,230580803,8999,256
5,235071611,8999,256
5,231737135,8999,256
5,232274800,8999,256
5,230928524,8999,256
5,231785603,8999,256
5,234452544,8999,256
5,230549570,8999,256
5,230096979,8999,256
5,219938355,8619,245
5,236208015,8999,256
5,231658366,8999,256
5,231022322,8999,256
5,232026391,8999,256
5,231220790,8999,256
5,234306911,8999,256
5,223335346,8688,247
5,230187261,8999,256
5,230972080,8999,256
5,234983525,8999,256
5,230827358,8999,256
5,230448269,8999,256
5,231797931,8999,256
5,235264526,8999,256
5,230361046,8999,256
5,223506161,8757,249
5,229930894,8999,256
5,229669416,8999,256
5,234626159,8999,256
5,231138153,8999,256
5,231329285,8999,256
5,230662222,8999,256
5,234446540,8999,256
5,230483098,8999,256
5,231672696,8999,256
5,231143512,8999,256
5,231035981,8999,256
5,232814467,8999,256
5,230992882,8999,256
5,230802593,8999,256
5,226148145,8861,252
5,235750108,8999,256
5,231460431,8999,256
5,231138164,8999,256
5,231045990,8999,256
5,235182318,8999,256
5,232313184,8999,256
5,232727208,8999,256
5,231000730,8999,256
5,231164913,8999,256
5,233387826,8999,256
5,225754779,8792,250
5,231666741,8999,256
5,232863916,8999,256
5,234362595,8999,256
5,230816226,8999,256
5,230336097,8999,256
5,230620484,8999,256
5,231727224,8999,256
5,234553027,8999,256
5,230532986,8999,256
5,230898726,8999,256
5,231444935,8999,256
5,234603223,8999,256
5,231859843,8999,256
5,230224036,8999,256
5,214938790,8306,236
5,231588351,8999,256
5,235498282,8999,256
5,231677042,8999,256
5,231747240,8999,256
5,230414704,8999,256
5,234588593,8999,256
5,229977167,8999,256
5,230863067,8999,256
5,230266052,8999,256
5,236444933,8999,256
5,231517126,8999,256
5,230241443,8999,256
5,232788640,8999,256
5,229942333,8999,256
5,233638832,8999,256
5,230766155,8999,256
5,230016035,8999,256
5,230853384,8999,256
5,234420010,8999,256
5,222133230,8688,247
5,224313640,8792,250
5,221797619,8619,245
5,230257920,8999,256
5,234245468,8999,256
5,230284714,8999,256
5,229404506,8999,256
5,230880058,8999,256
5,233862494,8999,256
5,230272603,8999,256
5,231502539,8999,256
5,231784406,8999,256
5,235644510,8999,256
5,228272062,8930,254
5,232292103,8999,256
5,231721454,8999,256
5,229371611,8999,256
5,234079928,8999,256
5,231234742,8999,256
5,230663257,8999,256
5,230256992,8999,256
5,234594162,8999,256
5,230506570,8999,256
5,234192480,8999,256
5,226142962,8861,252
5,230914740,8999,256
5,233591161,8999,256
5,230683076,8999,256
5,233461720,8999,256
5,231531149,8999,256
5,233730586,8999,256
5,230384549,8999,256
5,230492807,8999,256
5,231203663,8999,256
5,235910811,8999,256
5,231038610,8999,256
5,232912581,8999,256
5,230354513,8999,256
5,232629178,8999,256
5,234896174,8999,256
5,230415065,8999,256
5,231621189,8999,256
5,229942623,8999,256
5,234447199,8999,256
5,230442711,8999,256
5,233359823,8999,256
5,231513778,8999,256
5,229944246,8999,256
5,233181901,8999,256
5,230921124,8999,256
5,230639723,8999,256
5,230631749,8999,256
5,234883189,8999,256
5,229988398,8999,256
5,232322849,8999,256
5,231902019,8999,256
5,234885176,8999,256
5,228794307,8999,256
5,219794370,8548,243
5,230563167,8999,256
5,231425953,8999,256
5,233134294,8999,256
5,231097804,8999,256
5,229669254,8999,256
5,230356562,8999,256
5,235304409,8999,256
5,230689925,8999,256
5,229459309,8999,256
5,229363431,8999,256
5,231033152,8999,256
5,234579763,8999,256
5,231572207,8999,256
5,230761650,8999,256
5,221280954,8617,245
5,235534949,8999,256
5,231874687,8999,256
5,230989608,8999,256
5,232098443,8999,256
5,235025027,8999,256
5,231154853,8999,256
5,228365598,8999,256
5,230879291,8999,256
5,229469466,8999,256
5,236160612,8999,256
5,230211393,8999,256
5,230008325,8999,256
5,230749389,8999,256
5,227045483,8688,247
5,231644310,8999,256
5,230276023,8999,256
5,229756299,8999,256
5,231573504,8999,256
5,234841339,8999,256
5,223978120,8757,249
5,231415430,8999,256
5,231268149,8999,256
5,233513017,8999,256
5,231446172,8999,256
5,230304375,8999,256
5,232002905,8999,256
5,231111979,8999,256
5,233522608,8999,256
5,231251790,8999,256
5,231542450,8999,256
5,230671719,8999,256
5,224710596,8548,243
5,231650305,8999,256
5,229536213,8999,256
5,231237696,8999,256
5,234173381,8999,256
5,231346894,8999,256
5,229161521,8999,256
5,231457685,8999,256
5,230695534,8999,256
5,234290990,8999,256
5,229110818,8999,256
5,232271697,8999,256
5,229641745,8999,256
5,235442262,8999,256
5,230776934,8999,256
5,230508223,8999,256
5,230524171,8999,256
5,232728495,8999,256
5,234051928,8999,256
5,232008457,8999,256
5,229445037,8999,256
5,230260293,8999,256
5,235824232,8999,256
5,233631530,8999,256
5,231154793,8999,256
5,231773285,8999,256
5,235689618,8999,256
5,232262479,8999,256
5,230265912,8999,256
5,230796106,8999,256
5,230700199,8999,256
5,233589393,8999,256
5,224942478,8757,249
5,231054548,8999,256
5,230703473,8999,256
5,234586511,8999,256
5,230980657,8999,256
5,221729486,8619,245
5,230178772,8999,256
5,231802877,8999,256
5,233278458,8999,256
5,232865878,8999,256
5,230017293,8999,256
5,226416750,8861,252
5,229577924,8861,252
5,230810374,8999,256
5,230856194,8999,256
5,231551418,8999,256
5,232895763,8999,256
5,232342956,8999,256
5,226503335,8827,251
5,226645471,8861,252
5,231557355,8999,256
5,232371501,8999,256
5,231528706,8999,256
5,218019974,8479,241
5,230963281,8999,256
5,236292996,8999,256
5,220629490,8584,244
5,230463399,8999,256
5,231212269,8999,256
5,232502478,8999,256
5,233351691,8999,256
5,231235535,8999,256
5,229949227,8999,256
5,230856758,8999,256
5,235369326,8999,256
5,231725389,8999,256
5,231045413,8999,256
5,232001957,8999,256
5,230906327,8999,256
5,234147408,8999,256
5,231063114,8999,256
5,231203363,8999,256
5,219234046,8479,241
5,234796488,8999,256
5,229997872,8999,256
5,231626610,8999,256
5,232028229,8999,256
5,235191788,8999,256
5,233109588,8999,256
5,232290677,8999,256
5,230491938,8999,256
5,230794823,8999,256
5,234669010,8999,256
5,232463266,8999,256
5,230914389,8999,256
5,231767886,8999,256
5,232135325,8930,254
5,231787582,8999,256
5,230798284,8999,256
5,231647194,8999,256
5,231319469,8999,256
5,228032405,8757,249
5,219996763,8479,241
5,230746887,8999,256
5,218221502,8479,241
5,233065494,8999,256
5,230825745,8999,256
5,229855338,8999,256
5,230975522,8999,256
5,230076018,8999,256
5,232853182,8999,256
5,231730957,8999,256
5,232011256,8999,256
5,231351267,8999,256
5,235251046,8999,256
5,231296299,8999,256
5,231808315,8999,256
5,230859530,8999,256
5,237136255,8999,256
5,231342546,8999,256
5,231748128,8999,256
5,229715715,8999,256
5,219418489,8548,243
5,237669997,8999,256
5,231272749,8999,256
5,227206843,8861,252
5,230304136,8999,256
5,236116953,8999,256
5,231885259,8999,256
5,230937859,8999,256
5,233301700,8999,256
5,226668399,8861,252
5,234368764,8999,256
5,225203416,8792,250
5,232456880,8999,256
5,230828325,8999,256
5,233511793,8999,256
5,231235245,8999,256
5,231384510,8999,256
5,220793575,8548,243
5,235106472,8999,256
5,230395007,8999,256
5,225004371,8792,250
5,229752545,8999,256
5,230891122,8999,256
5,234089333,8999,256
5,230277601,8999,256
5,221703223,8548,243
5,230027133,8999,256
5,235637573,8999,256
5,231561392,8999,256
5,232591721,8999,256
5,231312998,8999,256
5,233230300,8999,256
5,235231942,8999,256
5,230524094,8999,256
5,232426480,8999,256
5,231531792,8999,256
5,234749655,8999,256
5,230758316,8999,256
5,230466282,8999,256
5,230690968,8999,256
5,229192444,8792,250
5,230177157,8999,256
