MVPTREE,EUCLIDEAN,GNAT,25,1000,262034
k,time,count,disk
5,300825871,8999,256
5,306039020,8999,256
5,320331662,8999,256
5,316726352,8999,256
5,312890579,8999,256
5,318454194,8999,256
5,316737788,8999,256
5,303631739,8999,256
5,299329026,8999,256
5,317393109,8999,256
5,290532650,8999,256
5,281035917,8999,256
5,324820849,8999,256
5,326702946,8999,256
5,323252916,8999,256
5,327461514,8999,256
5,319507423,8999,256
5,311730384,8999,256
5,301263251,8999,256
5,310234142,8999,256
5,293036398,8999,256
5,310537015,8999,256
5,280230967,8650,246
5,294545532,8999,256
5,322335587,8999,256
5,329911735,8999,256
5,322316553,8999,256
5,319859820,8999,256
5,283577064,8999,256
5,320350852,8999,256
5,300330243,8999,256
5,311649747,8999,256
5,305199627,8999,256
5,292452515,8999,256
5,285858513,8999,256
5,316745789,8999,256
5,324160526,8999,256
5,323913600,8999,256
5,329329075,8999,256
5,322220516,8999,256
5,304538665,8999,256
5,297902669,8337,237
5,296401607,8999,256
5,305335352,8999,256
5,310806803,8999,256
5,290796972,8999,256
5,284677582,8999,256
5,284003634,8999,256
5,287966194,8999,256
5,269964470,8999,256
5,284031040,8999,256
5,284952916,8999,256
5,288037625,8999,256
5,283352301,8999,256
5,283432574,8999,256
5,285731698,8999,256
5,287220020,8999,256
5,279862378,8999,256
5,262947056,8406,239
5,273495433,8999,256
5,285193659,8999,256
5,294176882,8999,256
5,292734277,8999,256
5,298219449,8999,256
5,291670902,8999,256
5,279749503,8999,256
5,281898663,8509,242
5,277061319,8999,256
5,274466215,8999,256
5,285582911,8999,256
5,272291614,8999,256
5,286590264,8999,256
5,295988831,8999,256
5,295460845,8999,256
5,289555069,8649,246
5,293348480,8999,256
5,285988788,8999,256
5,283339428,8999,256
5,284806048,8999,256
5,278589849,8999,256
5,268773726,8999,256
5,274679504,8999,256
5,296888742,8999,256
5,297484083,8999,256
5,298169437,8999,256
5,284158252,8684,247
5,283473171,8999,256
5,285141582,8999,256
5,285072306,8999,256
5,270115259,8999,256
5,273208447,8999,256
5,262726742,8999,256
5,289413277,8684,247
5,296366802,8999,256
5,296633960,8999,256
5,299618699,8999,256
5,281836083,8999,256
5,287365219,8999,256
5,268746354,8999,256
5,277785641,8999,256
5,282509902,8999,256
5,265836012,8999,256
5,270746400,8999,256
5,265252390,8999,256
5,267337497,8999,256
5,267088436,8999,256
5,271661830,8999,256
5,267810827,8999,256
5,267834797,8999,256
5,265596245,8999,256
5,271562304,8999,256
5,266949372,8999,256
5,267255145,8999,256
5,266167437,8999,256
5,275797380,8999,256
5,268936551,8999,256
5,268344782,8999,256
5,274945875,8999,256
5,269714767,8999,256
5,271203169,8999,256
5,272037206,8999,256
5,275241837,8999,256
5,271990153,8999,256
5,271266514,8999,256
5,270333365,8999,256
5,275992245,8999,256
5,271692308,8999,256
5,271865036,8999,256
5,273574401,8999,256
5,278278890,8999,256
5,275209282,8999,256
5,273514277,8999,256
5,277320325,8999,256
5,273521785,8999,256
5,271098272,8999,256
5,270285222,8999,256
5,273922531,8999,256
5,271552835,8999,256
5,272176551,8999,256
5,270911008,8999,256
5,274709487,8999,256
5,271923405,8999,256
5,255617825,8408,239
5,271971982,8999,256
5,276388026,8999,256
5,271316401,8999,256
5,272476836,8999,256
5,276341417,8999,256
5,273549550,8999,256
5,272635710,8999,256
5,272962274,8999,256
5,275607961,8999,256
5,273520742,8999,256
5,274056594,8999,256
5,271661501,8999,256
5,277309750,8999,256
5,270646833,8999,256
5,272071890,8999,256
5,271310340,8999,256
5,275572049,8999,256
5,272501390,8999,256
5,271927645,8999,256
5,269049849,8719,248
5,264907610,8685,247
5,264392551,8684,247
5,272199433,8999,256
5,275739360,8999,256
5,271414939,8999,256
5,272321687,8999,256
5,275565359,8999,256
5,278896611,8999,256
5,274248491,8999,256
5,275572485,8999,256
5,273893789,8999,256
5,277802411,8999,256
5,268278944,8930,254
5,272476839,8999,256
5,276184759,8999,256
5,271909612,8999,256
5,271702266,8999,256
5,271669459,8999,256
5,275359813,8999,256
5,275233316,8999,256
5,273976698,8999,256
5,272849014,8999,256
5,279053180,8999,256
5,272869715,8999,256
5,275057496,8999,256
5,278764960,8999,256
5,275583770,8999,256
5,275597444,8999,256
5,275112739,8999,256
5,278457162,8999,256
5,271647725,8999,256
5,269049967,8999,256
5,270665245,8999,256
5,275199531,8999,256
5,271713839,8999,256
5,270586203,8999,256
5,270741262,8999,256
5,276201178,8999,256
5,272409127,8999,256
5,270800553,8999,256
5,275371270,8999,256
5,271627811,8999,256
5,271697771,8999,256
5,274792525,8999,256
5,281451670,8999,256
5,271528881,8999,256
5,271687197,8999,256
5,270929656,8999,256
5,274267021,8999,256
5,269922566,8999,256
5,271490713,8999,256
5,275212261,8999,256
5,271295172,8999,256
5,270961942,8999,256
5,272421422,8999,256
5,274337910,8999,256
5,266655951,8999,256
5,254642926,8406,239
5,270277130,8999,256
5,275282843,8999,256
5,272532200,8999,256
5,270714879,8999,256
5,271476571,8999,256
5,280059135,8999,256
5,275068506,8999,256
5,274954815,8999,256
5,279957069,8999,256
5,275558724,8999,256
5,275023158,8999,256
5,274523858,8999,256
