MVPTREE,EUCLIDEAN,HFI,25,1000,126152
k,time,count,disk
5,239286935,8999,256
5,229415731,8481,241
5,178794838,8129,231
5,236106371,8757,249
5,243012296,8999,256
5,242904126,8999,256
5,237732894,8757,249
5,239665021,8999,256
5,241461960,8999,256
5,242613652,8999,256
5,242648334,8999,256
5,242398728,8999,256
5,225265789,8304,236
5,241834362,8999,256
5,239938781,8999,256
5,228258018,8373,238
5,239752724,8999,256
5,240485216,8930,254
5,243674334,8999,256
5,242443722,8999,256
5,239389045,8999,256
5,240775802,8999,256
5,60130452,2642,75
5,241295111,8999,256
5,238151787,8999,256
5,240660250,8999,256
5,239088314,8999,256
5,242044047,8861,252
5,232909303,8550,243
5,240788785,8999,256
5,241731933,8999,256
5,235656870,8757,249
5,228851135,8480,241
5,229673248,8480,241
5,240661720,8999,256
5,238977210,8999,256
5,231128927,8480,241
5,71888260,3379,96
5,233742125,8619,245
5,237331744,8895,253
5,60455838,2642,75
5,61280445,2677,76
5,240475820,8930,254
5,241548241,8999,256
5,240053385,8999,256
5,239622385,8861,252
5,242145034,8999,256
5,240239763,8999,256
5,239450683,8861,252
5,240330652,8999,256
5,238960524,8999,256
5,240534454,8999,256
5,239744054,8999,256
5,230022711,8480,241
5,231837403,8655,246
5,239720460,8999,256
5,237776761,8861,252
5,224611283,8304,236
5,60388015,2642,75
5,237221950,8999,256
5,62635446,2746,78
5,240831015,8930,254
5,113959195,4501,128
5,237308554,8861,252
5,227958987,8373,238
5,241393180,8999,256
5,61375595,2711,77
5,238394358,8999,256
5,238507915,8930,254
5,231361550,8550,243
5,235182497,8930,254
5,239368505,8999,256
5,237734321,8930,254
5,228782928,8480,241
5,61477133,2746,78
5,236242111,8792,250
5,239645314,8999,256
5,240735987,8999,256
5,240424956,8999,256
5,241518936,8930,254
5,225239170,8304,236
5,235439585,8688,247
5,239491757,8999,256
5,241223867,8999,256
5,236946859,8999,256
5,56934127,2466,70
5,242058468,8999,256
5,239433818,8930,254
5,239981295,8930,254
5,243546407,8999,256
5,240646236,8999,256
5,241381769,8999,256
5,61037763,2675,76
5,238313400,8861,252
5,240558221,8930,254
5,239567924,8861,252
5,240940572,8999,256
5,239763096,8930,254
5,230226250,8445,240
5,242975978,8999,256
5,236380922,8757,249
5,63248827,2815,80
5,240082390,8999,256
5,227191875,8373,238
5,240530734,8999,256
5,238651905,8930,254
5,239703461,8999,256
5,241395342,8999,256
5,239811407,8999,256
5,237848408,8999,256
5,240412649,8999,256
5,239798010,8999,256
5,228981308,8480,241
5,180436784,8126,231
5,240799363,8930,254
5,240067471,8930,254
5,62156022,2746,78
5,238845603,8999,256
5,238470179,8999,256
5,239610374,8999,256
5,240273684,8930,254
5,240207646,8999,256
5,238135548,8999,256
5,242174769,8999,256
5,231050015,8515,242
5,240125442,8999,256
5,234998058,8792,250
5,70056957,3204,91
5,234608762,8688,247
5,233908686,8653,246
5,237998180,8999,256
5,234888685,8757,249
5,236663659,8930,254
5,238316986,8999,256
5,239303617,8999,256
5,229875557,8550,243
5,229240287,8480,241
5,242506255,8930,254
5,238606080,8999,256
5,233560802,8792,250
5,225250273,8411,239
5,233047671,8757,249
5,54233248,2328,66
5,238772993,8930,254
5,240998526,8999,256
5,238310763,8861,252
5,242083598,8999,256
5,237981715,8861,252
5,237692206,8757,249
5,240369515,8999,256
5,229076624,8373,238
5,238618993,8999,256
5,243508743,8999,256
5,239647593,8861,252
5,238556775,8999,256
5,244375134,8999,256
5,225570722,8337,237
5,237220506,8792,250
5,238261290,8999,256
5,231832580,8550,243
5,230024799,8446,240
5,241664113,8895,253
5,58171209,2502,71
5,58815421,2573,73
5,61415339,2746,78
5,230517970,8480,241
5,234102736,8688,247
5,240019749,8999,256
5,226762220,8337,237
5,240443270,8999,256
5,230832734,8550,243
5,238764486,8999,256
5,241574061,8999,256
5,241925631,8999,256
5,243320673,8792,250
5,74379622,3486,99
5,239668654,8999,256
5,238122352,8861,252
5,227471435,8411,239
5,237979678,8895,253
5,241069872,8999,256
5,239763091,8999,256
5,230492278,8550,243
5,240491148,8999,256
