MVPTREE,EUCLIDEAN,IS,25,1000,225520
k,time,count,disk
5,239253229,8999,256
5,236556418,8930,254
5,231058411,8653,246
5,244046062,8999,256
5,240391054,8999,256
5,239923124,8999,256
5,239507645,8930,254
5,239798306,8999,256
5,242426042,8999,256
5,239251045,8999,256
5,240154680,8999,256
5,242020171,8999,256
5,241561633,8861,252
5,239868824,8999,256
5,237890665,8999,256
5,234572614,8757,249
5,242869441,8999,256
5,239671403,8999,256
5,240330995,8999,256
5,240456452,8999,256
5,242953475,8999,256
5,239983239,8999,256
5,176585940,8025,228
5,239333059,8999,256
5,237246858,8999,256
5,243379059,8999,256
5,237098479,8999,256
5,240271763,8999,256
5,237832398,8930,254
5,246054354,8999,256
5,239569832,8999,256
5,239166517,8999,256
5,239249297,8930,254
5,242849580,8930,254
5,241772477,8999,256
5,239915967,8999,256
5,241780741,8999,256
5,227001026,8408,239
5,241116839,8930,254
5,239494048,8999,256
5,224228285,8232,234
5,220800056,8236,234
5,243264072,8999,256
5,238857847,8999,256
5,239436395,8999,256
5,238058996,8930,254
5,242105851,8999,256
5,239021466,8999,256
5,238813724,8930,254
5,241035924,8999,256
5,242931352,8999,256
5,240585881,8999,256
5,240450259,8999,256
5,239658495,8930,254
5,151451742,6750,192
5,243744468,8999,256
5,239760102,8999,256
5,238946970,8930,254
5,175225917,8025,228
5,236290976,8999,256
5,232769448,8579,244
5,240564422,8999,256
5,236779431,8999,256
5,237445530,8999,256
5,241919437,8861,252
5,238802571,8999,256
5,225366219,8374,238
5,240473116,8999,256
5,244507764,8999,256
5,241212301,8999,256
5,238799762,8999,256
5,237480941,8999,256
5,242764363,8999,256
5,239868807,8999,256
5,224516661,8443,240
5,237263191,8930,254
5,240274092,8999,256
5,243995694,8999,256
5,238594748,8999,256
5,238750727,8999,256
5,239443268,8930,254
5,244271577,8999,256
5,241969143,8999,256
5,241480524,8999,256
5,237727108,8999,256
5,231422310,8477,241
5,241648834,8999,256
5,241902776,8999,256
5,240102362,8999,256
5,244787992,8999,256
5,239920096,8999,256
5,238435049,8999,256
5,226901767,8477,241
5,238061460,8999,256
5,244666455,8999,256
5,238402982,8999,256
5,240412730,8999,256
5,238574283,8999,256
5,240943625,8861,252
5,240289107,8999,256
5,239442188,8999,256
5,228143898,8512,242
5,244036771,8999,256
5,237059460,8861,252
5,239471812,8999,256
5,240143371,8999,256
5,238964695,8999,256
5,244556712,8999,256
5,237405435,8999,256
5,240402986,8999,256
5,240404302,8999,256
5,243440857,8999,256
5,238421169,8930,254
5,231872498,8653,246
5,240018052,8999,256
5,244335146,8999,256
5,223626082,8232,234
5,240370448,8999,256
5,237623350,8999,256
5,244670490,8999,256
5,241158927,8999,256
5,238193057,8999,256
5,240696197,8999,256
5,241357424,8999,256
5,244292105,8999,256
5,239994050,8999,256
5,237141089,8999,256
5,230007076,8581,244
5,242233643,8930,254
5,239013623,8999,256
