MVPTREE,EUCLIDEAN,KMEDOIDS,25,1000,284722
k,time,count,disk
5,254380740,8999,256
5,244513879,8514,242
5,189916291,7917,225
5,257900176,8653,246
5,259744546,8999,256
5,259751651,8999,256
5,252329040,8618,245
5,261879675,8999,256
5,253656981,8895,253
5,253928792,8861,252
5,255732206,8999,256
5,260741527,8930,254
5,247674971,8583,244
5,255493004,8999,256
5,254377333,8999,256
5,250068023,8514,242
5,255779253,8999,256
5,253734529,8757,249
5,258948798,8999,256
5,264089370,8930,254
5,253045444,8999,256
5,251962962,8757,249
5,170114453,7178,204
5,267204846,8999,256
5,258190113,8999,256
5,260292613,8999,256
5,258278858,8999,256
5,263313371,8826,251
5,250550238,8583,244
5,259820078,8999,256
5,260981930,8999,256
5,258900603,8757,249
5,249004330,8583,244
5,249712673,8618,245
5,251916155,8687,247
5,261527620,8999,256
5,248029606,8618,245
5,161624525,6689,190
5,248969908,8618,245
5,257912988,8791,250
5,177703115,7494,213
5,162296776,6762,192
5,258132407,8999,256
5,257129618,8999,256
5,263019335,8999,256
5,250519145,8618,245
5,258662094,8999,256
5,258498701,8999,256
5,256483792,8618,245
5,258325017,8999,256
5,258214325,8999,256
5,258602226,8999,256
5,261011423,8861,252
5,249160450,8583,244
5,247841496,8618,245
5,257096945,8999,256
5,257472218,8688,247
5,248949885,8583,244
5,171086130,7108,202
5,251562070,8999,256
5,252537752,8688,247
5,251219702,8653,246
5,251418596,8826,251
5,253154600,8757,249
5,255534311,8514,242
5,255105327,8999,256
5,132199984,5177,147
5,253841947,8861,252
5,256663072,8999,256
5,255722000,8618,245
5,117985163,4363,124
5,257333440,8999,256
5,256410048,8999,256
5,256413298,8618,245
5,175971199,7422,211
5,248389946,8653,246
5,251876755,8999,256
5,254085116,8999,256
5,261209317,8999,256
5,254840711,8999,256
5,242681138,8410,239
5,248746430,8618,245
5,260644698,8999,256
5,254731942,8895,253
5,252322231,8999,256
5,167161256,6969,198
5,264291391,8930,254
5,252819252,8757,249
5,258093390,8999,256
5,259787718,8999,256
5,264419030,8999,256
5,259314351,8999,256
5,135326423,5315,151
5,249974835,8757,249
5,262253431,8895,253
5,250501197,8653,246
5,258912589,8999,256
5,257604430,8999,256
5,256306991,8583,244
5,258057123,8930,254
5,249513126,8618,245
5,179607134,7598,216
5,254008757,8999,256
5,252448081,8583,244
5,256454874,8999,256
5,254959107,8930,254
5,253217428,8999,256
5,259476614,8930,254
5,251939059,8999,256
5,252935082,8999,256
5,256421377,8999,256
5,262611830,8999,256
5,245093118,8583,244
5,186031201,7884,224
5,255838137,8826,251
5,260280451,8791,250
5,179340111,7598,216
5,256214493,8999,256
5,252966686,8999,256
5,258607728,8826,251
5,254559028,8861,252
5,256424758,8999,256
5,255245202,8999,256
5,267397594,8999,256
5,249382189,8618,245
5,257856228,8999,256
5,253097030,8895,253
5,183366399,7494,213
5,250477824,8618,245
5,252219081,8653,246
5,256434325,8999,256
5,258046812,8757,249
5,254927607,8930,254
5,256692154,8999,256
5,252459116,8792,250
5,250936981,8479,241
5,244558826,8445,240
5,252003487,8792,250
5,254387993,8930,254
5,258401400,8930,254
5,247271617,8583,244
5,249917962,8756,249
5,159686730,6587,187
5,255271099,8999,256
5,260217810,8930,254
5,250701279,8688,247
5,257395690,8999,256
5,252143203,8861,252
5,255897135,8722,248
5,256090861,8999,256
5,242219279,8304,236
5,255481620,8999,256
5,264947156,8999,256
5,253152129,8757,249
5,254208607,8999,256
5,260584403,8999,256
5,199069745,8126,231
5,250275331,8757,249
5,252536835,8999,256
5,247458377,8618,245
5,254227848,8514,242
5,252906293,8791,250
5,136422461,5384,153
5,175469444,7352,209
5,167742295,7038,200
5,255458928,8583,244
5,248257947,8618,245
5,255375970,8999,256
5,249331963,8583,244
5,264598176,8999,256
5,245905324,8514,242
5,252017932,8999,256
5,255715604,8999,256
5,263426724,8999,256
5,252178917,8757,249
5,185744202,7885,224
5,257325652,8999,256
5,260248525,8895,253
5,169291072,7007,199
5,251228117,8791,250
5,255679900,8999,256
5,254283581,8999,256
5,250600629,8549,243
5,253901283,8999,256
5,247217583,8583,244
5,257735712,8999,256
5,184528488,7564,215
5,256322713,8861,252
5,254078209,8999,256
5,253908954,8999,256
5,258150640,8722,248
5,255274762,8999,256
5,237619055,8234,234
5,256697483,8999,256
5,252478706,8583,244
5,253898914,8999,256
5,256319213,8999,256
5,247955273,8653,246
5,264393409,8999,256
5,249024896,8791,250
5,257620727,8999,256
5,248257117,8618,245
5,255201429,8583,244
5,254740550,8826,251
5,249880519,8618,245
5,258378530,8999,256
5,253958513,8514,242
5,258661858,8999,256
5,253637386,8999,256
5,244319574,8549,243
5,253591233,8583,244
5,250451522,8999,256
5,246095814,8653,246
5,255137055,8999,256
5,262608137,8999,256
5,256152977,8999,256
5,258062692,8999,256
5,258813582,8999,256
5,266656544,8999,256
5,185103946,7849,223
5,129088370,5033,143
5,246241802,8514,242
5,255544785,8999,256
5,253558687,8618,245
5,254503702,8999,256
5,254737809,8999,256
5,255185581,8930,254
5,260668550,8930,254
5,245006838,8618,245
5,243770579,8442,240
5,254745044,8999,256
5,258968765,8861,252
5,251656083,8687,247
5,258299609,8999,256
5,257195118,8999,256
5,180886699,7283,207
5,259159265,8999,256
5,255074661,8826,251
5,255686375,8861,252
5,266259861,8999,256
5,244458153,8410,239
5,249857278,8583,244
5,246153796,8550,243
5,259616902,8861,252
5,254068458,8895,253
5,261474843,8999,256
5,245200029,8444,240
5,262187404,8999,256
5,256238165,8999,256
5,171540433,7145,203
5,246331479,8618,245
5,255904923,8722,248
5,256955706,8999,256
5,258994114,8999,256
5,260027228,8999,256
5,177429371,7460,212
5,250201025,8514,242
5,251850748,8722,248
5,247321175,8514,242
5,247807081,8583,244
5,261311893,8999,256
5,249262166,8583,244
5,255823447,8999,256
5,255023980,8999,256
5,257323199,8583,244
5,259476363,8999,256
5,253210035,8653,246
5,127801673,5001,142
5,258223169,8757,249
5,243547697,8549,243
5,250205239,8653,246
5,247600661,8583,244
5,262792195,8999,256
5,252404782,8999,256
5,253395243,8826,251
5,254986952,8999,256
5,256157646,8618,245
5,241908971,8444,240
5,248413408,8618,245
5,251005073,8861,252
5,254929352,8583,244
5,251948884,8757,249
5,241774779,8442,240
5,252656647,8999,256
5,253903709,8583,244
5,258137079,8999,256
5,254689807,8930,254
5,254911833,8999,256
5,262232782,8999,256
5,249931509,8618,245
