MVPTREE,EUCLIDEAN,MAXSEPARETED,25,1000,269161
k,time,count,disk
5,319103468,8999,256
5,317440535,8930,254
5,311065850,8930,254
5,311910853,8999,256
5,319906979,8999,256
5,307473260,8999,256
5,302403251,8999,256
5,311792685,8999,256
5,293823993,8999,256
5,285495950,8999,256
5,318294272,8999,256
5,327866779,8999,256
5,324141496,8930,254
5,325538229,8999,256
5,320095520,8999,256
5,310963224,8930,254
5,298241204,8999,256
5,309936939,8999,256
5,296148398,8999,256
5,312134751,8999,256
5,287660255,8999,256
5,297767410,8999,256
5,307021782,8444,240
5,324451757,8999,256
5,324001807,8999,256
5,323130854,8999,256
5,283317207,8999,256
5,318489489,8999,256
5,305652708,8930,254
5,312562808,8999,256
5,301982890,8999,256
5,296230598,8999,256
5,284174952,8930,254
5,308451112,8999,256
5,327578029,8999,256
5,327605377,8999,256
5,324682691,8999,256
5,320097297,8861,252
5,309565979,8999,256
5,320944687,8999,256
5,291331438,8930,254
5,292900053,8551,243
5,311389813,8999,256
5,289290183,8999,256
5,286353469,8999,256
5,285655261,8999,256
5,284954439,8999,256
5,272060060,8999,256
5,285447867,8999,256
5,287166948,8999,256
5,284892933,8999,256
5,286482312,8999,256
5,284295904,8999,256
5,285063121,8999,256
5,283564114,8999,256
5,282841916,8999,256
5,282839875,8999,256
5,267828955,8930,254
5,270248592,8306,236
5,295827513,8999,256
5,294665847,8999,256
5,295310135,8999,256
5,292256650,8999,256
5,287085751,8999,256
5,288455868,8930,254
5,277654391,8999,256
5,266508802,8585,244
5,287404000,8999,256
5,270986895,8999,256
5,286527046,8999,256
5,297235197,8999,256
5,297024666,8999,256
5,295372732,8999,256
5,293064169,8999,256
5,270272880,8306,236
5,280966881,8999,256
5,286520635,8999,256
5,279253734,8999,256
5,269559657,8999,256
5,270382182,8999,256
5,294874361,8930,254
5,298587910,8999,256
5,296497678,8999,256
5,297898410,8999,256
5,283190933,8999,256
5,277484646,8654,246
5,281677665,8999,256
5,272459851,8999,256
5,276687840,8999,256
5,265456521,8999,256
5,295999831,8999,256
5,296979714,8999,256
5,288774819,8723,248
5,295272323,8999,256
5,284694756,8999,256
5,288753976,8999,256
5,268959070,8999,256
5,274373882,8999,256
5,286554749,8999,256
5,269910880,8999,256
5,268460966,8999,256
5,266073090,8930,254
5,268025213,8999,256
5,264834516,8930,254
5,268000234,8999,256
5,268847795,8999,256
5,270295083,8999,256
5,268671874,8999,256
5,267694040,8999,256
5,267220668,8999,256
5,269239642,8999,256
5,269439078,8999,256
5,271925849,8999,256
5,266923041,8930,254
5,271911090,8999,256
5,268836444,8999,256
5,270065336,8999,256
5,273293950,8999,256
5,271660080,8999,256
5,270460391,8999,256
5,272744163,8999,256
5,271796339,8999,256
5,273155920,8999,256
5,273918426,8999,256
5,273071639,8999,256
5,273709576,8999,256
5,274734053,8999,256
5,272444600,8930,254
5,274151148,8999,256
5,275803320,8999,256
5,273350984,8999,256
5,274529717,8999,256
5,271070682,8999,256
5,272172845,8999,256
5,272684565,8999,256
5,268313064,8720,248
5,276963106,8930,254
5,272116534,8999,256
5,272726112,8999,256
5,272937421,8999,256
5,272057121,8999,256
5,267327501,8720,248
5,261847093,8550,243
5,273533013,8999,256
5,273771353,8999,256
5,274170582,8999,256
5,275299763,8999,256
5,273767046,8999,256
5,274843622,8999,256
5,271334447,8999,256
5,271884109,8930,254
5,275223674,8999,256
5,275210513,8999,256
5,272678605,8999,256
5,272976364,8999,256
5,276128598,8999,256
5,272372338,8930,254
5,272524001,8999,256
5,274671986,8999,256
5,273281588,8999,256
5,271352704,8930,254
5,273167815,8999,256
5,263832252,8582,244
5,261724089,8513,242
5,265980868,8792,250
5,273393838,8999,256
5,271295167,8999,256
5,279057168,8999,256
5,274910366,8930,254
5,277971853,8999,256
5,276282763,8930,254
5,272975890,8999,256
5,276101665,8999,256
5,272461638,8999,256
5,272547423,8999,256
5,268706034,8930,254
5,272801070,8999,256
5,272548995,8999,256
5,265465346,8582,244
5,271515092,8999,256
5,275330867,8999,256
5,274399161,8999,256
5,276664781,8999,256
5,275496435,8999,256
5,276082245,8930,254
5,279186868,8999,256
5,273848342,8930,254
5,277262994,8999,256
5,277165839,8999,256
5,276998606,8999,256
5,276640022,8999,256
5,271742621,8999,256
5,271824791,8930,254
5,272934464,8999,256
5,271629547,8999,256
5,273608822,8999,256
5,273246990,8999,256
5,272487418,8999,256
5,274331151,8999,256
5,272971857,8999,256
5,272880617,8999,256
5,271491451,8999,256
5,273397135,8999,256
5,273699849,8999,256
5,276483001,8999,256
5,276356884,8999,256
5,272567421,8930,254
5,274401266,8999,256
5,274355089,8999,256
5,272618682,8999,256
5,272332095,8999,256
5,273633548,8999,256
5,272566925,8999,256
5,272077100,8999,256
5,272533555,8999,256
5,272365047,8999,256
5,272245433,8999,256
5,271786654,8999,256
5,270986855,8999,256
5,268140854,8930,254
5,252498789,8203,233
5,270793375,8930,254
5,272864467,8999,256
5,273307720,8999,256
5,276375838,8999,256
5,275260793,8999,256
5,277512077,8999,256
5,278413189,8999,256
5,276628303,8999,256
5,274166769,8930,254
5,277451948,8999,256
5,275310794,8999,256
5,277088097,8999,256
5,277146830,8999,256
5,277055604,8999,256
5,268287923,8654,246
5,275997448,8999,256
5,277637747,8999,256
5,274846474,8999,256
5,275364804,8999,256
5,273882596,8930,254
5,273767683,8930,254
5,272545759,8999,256
5,273993604,8999,256
5,273120720,8999,256
5,274947746,8999,256
5,275035322,8999,256
5,274192533,8999,256
5,274889586,8999,256
5,272224216,8930,254
5,276793792,8999,256
5,274681727,8999,256
5,276594443,8999,256
5,277004992,8999,256
5,277025224,8999,256
5,273564001,8930,254
5,270901871,8930,254
5,271345468,8999,256
5,272912750,8930,254
5,274445786,8999,256
5,272975107,8999,256
5,273219121,8930,254
5,273817267,8999,256
5,274712614,8999,256
5,272463921,8930,254
5,270423065,8999,256
5,272083324,8999,256
5,263656170,8585,244
5,272836285,8999,256
5,272951668,8999,256
5,273020095,8999,256
5,273327385,8930,254
5,274840223,8999,256
5,273688480,8999,256
5,275005788,8999,256
5,272782719,8999,256
5,273934035,8999,256
5,271792622,8999,256
5,275237175,8999,256
5,273610504,8999,256
5,274530510,8999,256
5,273866595,8999,256
5,277149344,8930,254
5,273719745,8999,256
5,273402702,8930,254
5,275187244,8999,256
5,275955150,8999,256
5,270718475,8999,256
5,271265862,8999,256
5,273411623,8999,256
5,274300802,8999,256
5,272321466,8999,256
5,273228539,8999,256
5,272742153,8999,256
5,271245548,8999,256
5,270707478,8999,256
5,271043245,8999,256
5,270789885,8930,254
5,271955520,8999,256
5,266378045,8792,250
5,273813871,8999,256
5,272062584,8999,256
5,272138474,8999,256
5,272943345,8999,256
5,265063013,8654,246
5,272957842,8999,256
5,273753273,8999,256
5,271114587,8930,254
5,273262286,8999,256
5,269031562,8999,256
5,271636022,8999,256
5,268831997,8827,251
5,271439386,8999,256
5,268802638,8930,254
5,271663981,8999,256
5,270473492,8999,256
5,272882452,8999,256
5,263315746,8651,246
5,268762742,8930,254
5,273222508,8999,256
5,272206766,8999,256
5,273748338,8999,256
5,253086830,8203,233
5,268894192,8930,254
5,273902610,8999,256
5,255529452,8375,238
5,272270473,8999,256
5,270019096,8930,254
