MVPTREE,EUCLIDEAN,MAXVARIANCE,25,1000,325449
k,time,count,disk
5,278806214,8999,256
5,259769658,8550,243
5,214848197,7883,224
5,290502949,8723,248
5,297111750,8999,256
5,304623233,8999,256
5,286079161,8654,246
5,279739876,8999,256
5,295205067,8930,254
5,277047053,8930,254
5,277010250,8999,256
5,288514031,8999,256
5,261598822,8445,240
5,287381495,8999,256
5,295112810,8999,256
5,278981264,8269,235
5,302306225,8999,256
5,289747946,8792,250
5,290157336,8999,256
5,289039278,8999,256
5,282552572,8999,256
5,278103697,8930,254
5,30414614,1241,35
5,269387565,8999,256
5,277584343,8999,256
5,295610579,8999,256
5,294192190,8999,256
5,303135977,8999,256
5,281744925,8550,243
5,281253798,8999,256
5,286620159,8999,256
5,280259765,8654,246
5,252105132,8200,233
5,264104155,8480,241
5,262745635,8826,251
5,301225569,8999,256
5,287621508,8515,242
5,20087347,955,27
5,289590900,8619,245
5,299758273,8826,251
5,36523996,1556,44
5,14118668,604,17
5,279600794,8999,256
5,283461600,8999,256
5,266729915,8999,256
5,269526030,8861,252
5,278450679,8930,254
5,263014648,8999,256
5,267166092,8723,248
5,266249838,8999,256
5,264598269,8999,256
5,267003437,8999,256
5,270418095,8930,254
5,257430504,8515,242
5,262020560,8792,250
5,266754685,8999,256
5,270202534,8792,250
5,255085061,8480,241
5,19393726,995,28
5,265717641,8999,256
5,89208636,3874,110
5,273138159,8861,252
5,58302898,2183,62
5,262642689,8723,248
5,255285195,8376,238
5,268755735,8999,256
5,39328152,1625,46
5,274486688,8861,252
5,273060338,8999,256
5,262203037,8515,242
5,267381932,8930,254
5,277191571,8999,256
5,269017677,8930,254
5,260236512,8480,241
5,45167151,1972,56
5,273169948,8654,246
5,272690571,8999,256
5,276648636,8999,256
5,274956482,8999,256
5,286046858,8999,256
5,261385130,8411,239
5,267330941,8550,243
5,277896906,8999,256
5,283313004,8930,254
5,270918703,8999,256
5,19277508,848,24
5,277649890,8999,256
5,277922596,8930,254
5,272162905,8930,254
5,276329411,8999,256
5,272324156,8999,256
5,278895590,8999,256
5,32457638,1414,40
5,269429771,8930,254
5,269435943,8861,252
5,267413821,8723,248
5,277552927,8999,256
5,272148984,8999,256
5,261578299,8480,241
5,276327776,8930,254
5,272816903,8792,250
5,37216419,1694,48
5,268273077,8999,256
5,261116279,8480,241
5,280136438,8999,256
5,271789283,8930,254
5,271604930,8999,256
5,273215858,8930,254
5,276570086,8999,256
5,269395588,8999,256
5,272256871,8999,256
5,273633443,8999,256
5,265184499,8515,242
5,207326484,8162,232
5,271339969,8861,252
5,271352824,8895,253
5,43563604,1694,48
5,272702540,8999,256
5,271335043,8999,256
5,270458853,8930,254
