MVPTREE,EUCLIDEAN,PCA,25,1000,11426
k,time,count,disk
5,268692941,8999,256
5,265465504,8757,249
5,246443563,8338,237
5,263987939,8861,252
5,267446313,8999,256
5,274235744,8999,256
5,263886301,8861,252
5,266990561,8999,256
5,265563692,8999,256
5,274519020,8999,256
5,265906594,8930,254
5,267363067,8999,256
5,258379688,8618,245
5,274390861,8999,256
5,264667625,8999,256
5,258478614,8549,243
5,270158662,8999,256
5,273887247,8861,252
5,271919677,8999,256
5,271558149,8999,256
5,273882314,8999,256
5,268714501,8930,254
5,184172629,7571,215
5,272268759,8999,256
5,275481035,8999,256
5,271981700,8999,256
5,269719153,8999,256
5,270498521,8930,254
5,271606157,8757,249
5,269239775,8999,256
5,271540451,8999,256
5,266108355,8861,252
5,270432017,8688,247
5,262507580,8688,247
5,270444381,8930,254
5,269560750,8999,256
5,271906731,8792,250
5,100375531,3941,112
5,263440631,8861,252
5,272412591,8999,256
5,188586160,7886,224
5,75803412,2542,72
5,272238310,8999,256
5,270846148,8999,256
5,268320123,8999,256
5,271048953,8861,252
5,268005242,8930,254
5,270276564,8999,256
5,268699640,8861,252
5,278146261,8999,256
5,268769148,8999,256
5,270189526,8999,256
5,271070834,8999,256
5,270648427,8757,249
5,267803027,8861,252
5,272984836,8999,256
5,274910847,8861,252
5,262263198,8618,245
5,165554296,6519,185
5,265268367,8930,254
5,182174910,7004,199
5,280094880,8930,254
5,266958575,8895,253
5,272304526,8861,252
5,261179139,8618,245
5,277358222,8999,256
5,161089849,6589,187
5,268893365,8999,256
5,267360607,8930,254
5,272507410,8861,252
5,267231945,8999,256
5,267061907,8999,256
5,267532169,8999,256
5,266105168,8722,248
5,203117548,8131,231
5,270012645,8861,252
5,267880868,8999,256
5,274239191,8999,256
5,269746986,8999,256
5,269835708,8861,252
5,271346286,8653,246
5,272371835,8861,252
5,274657502,8999,256
5,273877913,8999,256
5,275446581,8999,256
5,172561991,7153,203
5,273131147,8999,256
5,267879385,8999,256
5,273422630,8861,252
5,270657395,8999,256
5,268587282,8999,256
5,267663113,8999,256
5,177795942,6693,190
5,266894474,8930,254
5,265883270,8930,254
5,265918386,8861,252
5,274129297,8999,256
5,266286867,8930,254
5,262373044,8653,246
5,273202117,8999,256
5,273728447,8861,252
5,168674590,6797,193
5,270104349,8999,256
5,259460191,8653,246
5,278853992,8999,256
5,267523068,8861,252
5,269810754,8999,256
5,270843015,8999,256
5,273378622,8930,254
5,267282397,8999,256
5,270749634,8999,256
5,270956192,8930,254
5,269098407,8757,249
5,248864993,8266,235
5,268128237,8930,254
5,267765489,8999,256
5,179123372,6831,194
5,266076102,8999,256
5,266978873,8999,256
5,267048559,8999,256
5,274672047,8930,254
5,270779843,8999,256
5,268508309,8999,256
5,279905914,8999,256
5,267097515,8792,250
5,273483623,8999,256
5,267870350,8861,252
5,257122943,8200,233
5,275603195,8930,254
5,268780591,8757,249
5,273637958,8999,256
5,274597181,8861,252
5,269850560,8930,254
5,272346893,8999,256
5,271763331,8930,254
5,275698513,8861,252
5,266502136,8653,246
5,271529776,8930,254
5,278336195,8999,256
5,268274530,8930,254
5,262228015,8653,246
5,267874606,8861,252
5,77788904,3211,91
5,277974145,8861,252
5,270192134,8999,256
5,269546821,8861,252
5,272053893,8999,256
5,273187690,8861,252
5,269368362,8792,250
5,272407893,8999,256
5,263675957,8618,245
5,277294438,8930,254
5,275383905,8999,256
5,270100246,8930,254
5,274338168,8999,256
5,274343635,8999,256
5,257605011,8479,241
5,270277192,8930,254
5,275887162,8999,256
5,265770100,8826,251
5,263944103,8653,246
5,271673789,8930,254
5,198115498,7920,225
5,188635907,7571,215
5,195874208,7711,219
5,267837511,8792,250
5,274706178,8861,252
5,269469444,8999,256
5,260452001,8549,243
5,272681550,8999,256
5,272712252,8861,252
5,269583066,8999,256
5,272409325,8999,256
5,271653319,8999,256
5,275688115,8861,252
5,90467172,4049,115
5,267012534,8999,256
5,265383030,8930,254
5,267490914,8757,249
5,268023660,8999,256
5,268607944,8999,256
5,268229689,8999,256
5,272354515,8826,251
5,270181719,8999,256
5,265184285,8618,245
5,275530961,8999,256
5,172484950,6761,192
5,267695812,8861,252
5,267913117,8999,256
5,269924847,8999,256
5,277656203,8930,254
5,267798810,8999,256
5,264213300,8861,252
5,270935008,8999,256
5,267943630,8653,246
5,270352254,8999,256
5,267727444,8999,256
5,265975039,8861,252
5,277603087,8999,256
5,264438829,8861,252
5,271475849,8999,256
5,275324773,8930,254
5,266560297,8757,249
5,268480959,8930,254
5,265484239,8826,251
5,277968778,8999,256
5,260882026,8618,245
5,270612480,8999,256
5,266266651,8999,256
5,268010118,8861,252
5,260289686,8722,248
5,266529574,8930,254
5,261686037,8861,252
5,271458943,8999,256
5,267416984,8999,256
5,266987758,8999,256
5,268942899,8999,256
5,273754974,8999,256
5,267004856,8999,256
5,250245268,8338,237
5,169739329,6589,187
5,270147127,8618,245
5,270000316,8930,254
5,266242648,8861,252
5,269080653,8999,256
5,273743353,8999,256
5,267346636,8930,254
5,269503224,8999,256
5,264360369,8861,252
5,259965248,8514,242
5,269556107,8930,254
5,267432940,8999,256
5,272851860,8930,254
5,266650137,8999,256
5,270105874,8999,256
5,164848257,6658,189
5,268418851,8999,256
5,271844030,8999,256
5,262892592,8999,256
5,265130084,8999,256
5,265095710,8653,246
5,262897271,8757,249
5,128667249,4501,128
5,267193723,8930,254
5,267584949,8999,256
5,279402785,8999,256
5,260999583,8757,249
5,267070642,8999,256
5,274701439,8999,256
5,192670274,7920,225
5,263874698,8757,249
5,266926537,8999,256
5,264456374,8999,256
5,272836678,8999,256
5,268306131,8999,256
5,172774143,6727,191
5,262071281,8618,245
5,275132141,8930,254
5,258260043,8549,243
5,264651388,8653,246
5,269053313,8999,256
5,265752094,8618,245
5,267926802,8999,256
5,267507379,8999,256
5,272277039,8757,249
5,269761294,8999,256
5,267551656,8930,254
5,159760575,6486,184
5,269325984,8895,253
5,267186848,8826,251
5,265775566,8861,252
5,261943299,8757,249
5,271897901,8999,256
5,265662729,8999,256
5,265843224,8930,254
5,264683132,8930,254
5,272685224,8930,254
5,259724165,8757,249
5,266668244,8930,254
5,263544230,8930,254
5,267931600,8792,250
5,264333415,8861,252
5,255331725,8514,242
5,265794152,8930,254
5,265643774,8653,246
5,267355738,8861,252
5,267045454,8861,252
5,268540391,8999,256
5,275332927,8999,256
5,268091414,8861,252
5,273444139,8999,256
5,269373446,8999,256
5,274963107,8999,256
5,270820148,8930,254
5,271790710,8999,256
5,274870779,8999,256
5,271335372,8930,254
5,268394601,8757,249
5,269666819,8930,254
5,91099388,4083,116
5,268827338,8999,256
5,264825325,8861,252
5,267666628,8999,256
5,272705366,8930,254
5,83092410,3769,107
5,261383408,8861,252
5,263916272,8826,251
5,258400075,8549,243
5,275463320,8999,256
5,264161708,8861,252
5,256190357,8722,248
5,257195507,8722,248
5,269496601,8999,256
5,251432077,8410,239
5,265945412,8930,254
5,264015801,8999,256
5,271812967,8895,253
5,171567048,6623,188
5,253630141,8407,239
5,272761341,8930,254
5,178542713,6935,197
5,268630015,8999,256
5,167383014,6447,183
5,257644617,8549,243
5,278732819,8999,256
5,187979969,7782,221
5,268341896,8999,256
5,258847095,8653,246
5,268791110,8999,256
5,258452903,8549,243
5,268397384,8930,254
5,263966732,8861,252
5,259217904,8653,246
5,270273657,8999,256
5,270106042,8999,256
5,261145038,8722,248
5,274133670,8999,256
5,266715226,8999,256
5,264438334,8861,252
5,263155734,8826,251
5,260203198,8722,248
5,85906537,3700,105
5,262017001,8999,256
5,182167357,7287,207
5,268141962,8999,256
5,271193571,8930,254
5,264257664,8930,254
5,261478649,8722,248
5,267056258,8930,254
5,261912812,8757,249
5,264719413,8861,252
5,264222765,8999,256
5,271328047,8930,254
5,266069022,8999,256
5,264354054,8999,256
5,114995003,4118,117
5,266408380,8930,254
5,255632548,8549,243
5,266316140,8930,254
5,267057654,8999,256
5,166401341,6727,191
5,86018146,3629,103
5,272916331,8861,252
5,173149618,7013,199
5,256521613,8514,242
5,267701678,8999,256
5,255264778,8549,243
5,260753213,8618,245
5,267118230,8999,256
5,264257724,8999,256
5,271205094,8930,254
5,264575894,8861,252
5,268820360,8999,256
5,257863043,8549,243
5,266790923,8999,256
5,266926343,8930,254
5,255700034,8549,243
5,278149948,8999,256
5,264525699,8930,254
5,260233290,8688,247
5,265513375,8930,254
5,187258050,7610,216
5,271875159,8999,256
5,260216651,8653,246
5,164768007,6450,183
5,267126078,8999,256
5,270874283,8861,252
5,266922882,8930,254
5,252956673,8479,241
5,266045267,8861,252
5,245412629,8235,234
5,270628583,8999,256
5,169540007,6796,193
5,263566413,8861,252
5,267458985,8861,252
5,267983629,8999,256
5,266533251,8930,254
5,261783288,8757,249
5,165566349,6589,187
5,267785236,8930,254
5,260363378,8757,249
5,165580301,6554,186
5,265255352,8549,243
5,260553100,8618,245
5,261731164,8653,246
5,263070944,8861,252
5,165450289,6624,188
5,262762854,8722,248
5,265914942,8861,252
5,256647760,8584,244
5,272130398,8826,251
5,266416170,8999,256
5,264965818,8999,256
5,264882332,8999,256
5,263891974,8861,252
5,267083586,8999,256
5,265311560,8930,254
5,262794051,8826,251
5,267122386,8757,249
5,257508387,8549,243
5,265388604,8861,252
5,170310080,6761,192
5,263464020,8861,252
5,267908034,8999,256
5,265096612,8999,256
5,266014052,8861,252
5,274097734,8999,256
5,263397338,8792,250
5,167990606,6693,190
5,264193814,8757,249
5,261864146,8757,249
5,267075573,8999,256
5,263113690,8999,256
5,258152184,8618,245
5,272925475,8999,256
5,262536680,8999,256
5,262073009,8826,251
5,259622497,8964,255
5,262737638,8861,252
5,265343532,8999,256
5,262969296,8792,250
5,170129518,6692,190
5,274928417,8999,256
5,264774731,8861,252
5,268155071,8999,256
5,268553481,8999,256
5,263622147,8861,252
5,260488450,8688,247
