MVPTREE,EUCLIDEAN,RANDOM,25,1000,351858
k,time,count,disk
5,249297624,8999,256
5,239790577,8757,249
5,240756935,8411,239
5,260238167,8999,256
5,257055486,8999,256
5,252515689,8999,256
5,270317881,8999,256
5,274243878,8999,256
5,273592354,8999,256
5,272654866,8999,256
5,261518134,8999,256
5,264216412,8999,256
5,249320333,8653,246
5,257941062,8999,256
5,256435474,8999,256
5,245751256,8653,246
5,261691871,8999,256
5,272568209,8999,256
5,273347542,8999,256
5,273184457,8999,256
5,265082728,8999,256
5,265401788,8999,256
5,84277027,3630,103
5,259612593,8999,256
5,256903121,8999,256
5,258958481,8999,256
5,250347545,8999,256
5,267786022,8999,256
5,272714515,8895,253
5,274856024,8999,256
5,274755975,8999,256
5,261471040,8930,254
5,256349017,8722,248
5,251251161,8722,248
5,256902449,8999,256
5,259772776,8999,256
5,249434850,8791,250
5,168665592,7077,201
5,252494838,8895,253
5,252819402,8999,256
5,187301140,8024,228
5,160974488,6762,192
5,255343629,8999,256
5,256546497,8999,256
5,255466508,8999,256
5,248659516,8719,248
5,252206679,8999,256
5,252375291,8999,256
5,252604032,8930,254
5,254461430,8999,256
5,256405483,8999,256
5,260028386,8999,256
5,262939600,8999,256
5,257773553,8791,250
5,259120173,8999,256
5,259339092,8999,256
5,261084565,8999,256
5,246124465,8374,238
5,177656911,7470,212
5,257006993,8999,256
5,247132730,8510,242
5,259184681,8999,256
5,255321577,8999,256
5,261192826,8965,255
5,253786652,8653,246
5,259230895,8999,256
5,85018746,3699,105
5,260266980,8999,256
5,259391193,8999,256
5,255523774,8791,250
5,260103606,8999,256
5,258254648,8999,256
5,257076871,8999,256
5,253857207,8791,250
5,171279905,6969,198
5,257692514,8930,254
5,261238505,8999,256
5,260277701,8999,256
5,259410412,8999,256
5,262060286,8999,256
5,252307175,8653,246
5,256987554,8791,250
5,260280891,8999,256
5,262059660,8999,256
5,258713012,8999,256
5,172694650,7215,205
5,260950444,8999,256
5,259318432,8999,256
5,255900848,8999,256
5,259626544,8999,256
5,257179028,8999,256
5,258737760,8999,256
5,89619197,3908,111
5,258046683,8999,256
5,260425236,8999,256
5,261687322,8999,256
5,260894967,8999,256
5,257404448,8999,256
5,254049117,8722,248
5,260147772,8999,256
5,257786446,8999,256
5,90027119,4048,115
5,257623855,8999,256
5,250842283,8722,248
5,259105542,8999,256
5,259784557,8999,256
5,257546021,8999,256
5,260087681,8999,256
5,255657884,8999,256
5,259410134,8999,256
5,258549047,8999,256
5,257396654,8999,256
5,251787830,8722,248
5,247126979,8549,243
5,257050484,8999,256
5,257540450,8999,256
5,88597694,3977,113
5,258180279,8999,256
5,257172699,8999,256
5,257734281,8999,256
5,259792655,8999,256
5,256323573,8999,256
5,259487197,8999,256
5,260358132,8999,256
5,254232940,8791,250
5,257185788,8999,256
5,255742164,8999,256
5,181311263,7529,214
5,257455594,8826,251
5,259914763,8895,253
5,260480994,8999,256
5,259422762,8930,254
5,258121896,8999,256
5,257777193,8999,256
5,259762623,8999,256
5,253095310,8826,251
5,254437718,8722,248
5,259444146,8999,256
5,259038290,8999,256
5,257588924,8999,256
5,252488018,8722,248
5,256557424,8999,256
5,158098566,6450,183
5,258989732,8999,256
5,257286187,8999,256
5,257793573,8999,256
5,258035777,8999,256
5,257592472,8999,256
5,255747666,8930,254
5,257339305,8999,256
5,251790163,8653,246
5,257551614,8999,256
5,261107529,8999,256
5,260265934,8999,256
5,258123608,8999,256
5,262270674,8999,256
5,250232593,8653,246
5,259824991,8999,256
5,259527828,8999,256
5,259627912,8999,256
5,251801010,8584,244
5,259730178,8895,253
5,189916675,8022,228
5,172967549,7145,203
5,174973951,7180,204
5,256161428,8722,248
5,256114413,8826,251
5,256719031,8999,256
5,253330127,8722,248
5,257718689,8999,256
5,255069017,8826,251
5,257823216,8999,256
5,260362379,8999,256
5,258130562,8999,256
5,256154638,8826,251
5,172711212,7146,203
5,257687536,8999,256
5,257114416,8999,256
5,250058502,8722,248
5,257672137,8999,256
5,256794824,8999,256
5,254871851,8999,256
5,251685430,8791,250
5,257138095,8999,256
5,251834620,8722,248
5,259062024,8999,256
5,239688232,8339,237
5,258394239,8999,256
5,255328044,8999,256
5,257695931,8999,256
5,259551500,8999,256
5,259938995,8999,256
5,255483735,8826,251
5,260422934,8999,256
5,253255430,8722,248
5,264193264,8999,256
5,259959346,8999,256
5,257872653,8999,256
5,261330175,8999,256
5,257997641,8999,256
5,260842652,8999,256
5,255479188,8791,250
5,255003234,8722,248
5,258356883,8826,251
5,255376350,8791,250
5,260579547,8999,256
5,252948101,8722,248
5,259867724,8999,256
5,258168451,8999,256
5,254159408,8826,251
5,252423352,8722,248
5,259262392,8999,256
5,256412850,8999,256
5,257792932,8999,256
5,258837041,8999,256
5,258128416,8999,256
5,261141336,8999,256
5,261537823,8999,256
5,259867802,8999,256
5,247325052,8411,239
5,175211877,7328,208
5,250010906,8653,246
5,259266108,8999,256
5,256180429,8895,253
5,256032011,8999,256
5,257642257,8999,256
5,257899119,8999,256
5,258016028,8999,256
5,254150806,8826,251
5,251892577,8722,248
5,258267571,8999,256
5,258696567,8999,256
5,259639271,8999,256
5,258938414,8999,256
5,258218107,8999,256
5,87398750,3910,111
5,258561986,8999,256
5,261944973,8999,256
5,260877439,8999,256
5,260270209,8999,256
5,252398055,8584,244
5,252128758,8653,246
5,251225084,8719,248
5,257942878,8999,256
