MVPTREE,EUCLIDEAN,SELECTION,25,1000,27915
k,time,count,disk
5,254046803,8999,256
5,248843697,8515,242
5,196549514,8129,231
5,247734702,8792,250
5,269028125,8999,256
5,275727717,8999,256
5,275336517,8723,248
5,270606502,8999,256
5,265600220,8999,256
5,264619466,8999,256
5,263862591,8999,256
5,258582995,8999,256
5,246147715,8480,241
5,250642501,8999,256
5,263294404,8999,256
5,258952018,8338,237
5,270446789,8999,256
5,274450696,8999,256
5,274894492,8999,256
5,264077165,8999,256
5,253407292,8999,256
5,260834897,8999,256
5,9059091,497,14
5,263595140,8999,256
5,252979166,8999,256
5,261129095,8999,256
5,278164730,8999,256
5,276434833,8999,256
5,263988568,8515,242
5,270572146,8999,256
5,269937559,8999,256
5,256425353,8861,252
5,250228316,8515,242
5,248821042,8515,242
5,258229811,8792,250
5,251441723,8999,256
5,246962807,8653,246
5,84138150,3872,110
5,244490977,8550,243
5,252754079,8861,252
5,27156626,1128,32
5,17050062,848,24
5,254275003,8999,256
5,252416303,8999,256
5,251148593,8999,256
5,248939709,8723,248
5,250632898,8999,256
5,248826098,8999,256
5,248174911,8723,248
5,254539649,8999,256
5,254266693,8999,256
5,259886515,8999,256
5,262769822,8999,256
5,255796628,8515,242
5,257402113,8930,254
5,259738987,8999,256
5,260195043,8930,254
5,247439860,8445,240
5,8798547,497,14
5,254545878,8999,256
5,57504038,2252,64
5,258875283,8930,254
5,120016445,4501,128
5,259663977,8930,254
5,245375161,8410,239
5,256627335,8999,256
5,27011330,1059,30
5,260556472,8999,256
5,260680356,8999,256
5,254618505,8653,246
5,259290685,8999,256
5,260302888,8999,256
5,265759439,8999,256
5,251584287,8549,243
5,27588927,1128,32
5,254093335,8723,248
5,255905556,8999,256
5,258291478,8999,256
5,255072975,8999,256
5,258191516,8999,256
5,252335728,8445,240
5,250625900,8619,245
5,255895650,8999,256
5,258018142,8999,256
5,253617241,8999,256
5,16897693,848,24
5,258007189,8999,256
5,257143260,8999,256
5,255404599,8999,256
5,261462977,8999,256
5,256177557,8999,256
5,255312587,8999,256
5,12731893,566,16
5,252089466,8792,250
5,258430597,8930,254
5,256953512,8861,252
5,258096585,8999,256
5,255459763,8999,256
5,252179918,8480,241
5,259731498,8999,256
5,256487349,8861,252
5,26956617,1128,32
5,254908112,8999,256
5,245728302,8480,241
5,256229767,8999,256
5,256434158,8930,254
5,256059931,8999,256
5,263189245,8999,256
5,256948547,8999,256
5,256485902,8999,256
5,260506901,8999,256
5,262231057,8999,256
5,249938611,8584,244
5,192386493,8094,230
5,259194183,8930,254
5,263728228,8999,256
5,59443641,2252,64
5,259675343,8999,256
5,259577094,8999,256
5,259172406,8999,256
5,262143433,8999,256
5,258917168,8999,256
5,255653123,8999,256
5,266458358,8999,256
5,251906331,8584,244
5,259221575,8999,256
5,254079774,8999,256
5,58402147,2252,64
5,253568661,8688,247
5,251926101,8688,247
5,257431513,8999,256
5,254723773,8792,250
5,261303998,8930,254
5,257798274,8999,256
5,259031845,8930,254
5,250726292,8688,247
5,250303066,8515,242
5,259994916,8999,256
5,259540991,8999,256
5,256243309,8999,256
5,254099562,8480,241
5,251167512,8792,250
5,17450611,848,24
5,258606004,8999,256
5,257955318,8999,256
5,254758596,8723,248
5,258900541,8999,256
5,255042775,8930,254
5,250635860,8723,248
5,261825356,8999,256
5,248339174,8445,240
5,256380728,8999,256
5,259033183,8999,256
5,259117990,8999,256
5,253122611,8999,256
5,261494081,8999,256
5,241422542,8198,233
5,258951274,8861,252
5,253889954,8999,256
5,252116950,8757,249
5,247181652,8445,240
5,255176684,8826,251
5,13160732,566,16
5,17106239,848,24
5,17053429,848,24
5,247960678,8515,242
5,251649532,8654,246
5,260606506,8999,256
5,244307129,8373,238
5,255728795,8999,256
5,248652484,8619,245
5,255284568,8999,256
5,258459068,8999,256
5,258531036,8999,256
5,254711617,8861,252
5,78044764,3420,97
5,260977988,8999,256
5,258428958,8999,256
5,173031524,7077,201
5,257503135,8999,256
5,258314798,8999,256
5,257649577,8999,256
5,247546255,8619,245
5,256075994,8999,256
5,252241681,8408,239
5,261161150,8999,256
5,41990160,2045,58
5,260992636,8999,256
5,256919711,8999,256
5,258719496,8999,256
5,257667585,8930,254
5,258761614,8999,256
5,249887039,8619,245
5,265487929,8999,256
5,246920054,8445,240
5,255131238,8999,256
5,257458933,8999,256
5,254720157,8930,254
5,258386630,8999,256
5,252405170,8930,254
5,258463912,8999,256
5,255601410,8654,246
5,249253978,8515,242
5,257845085,8861,252
5,249143124,8515,242
5,259740839,8999,256
5,248069383,8410,239
5,257405649,8999,256
5,255304879,8999,256
5,256536638,8722,248
5,247311109,8480,241
5,254512282,8930,254
5,252985029,8861,252
5,256243094,8999,256
5,257710092,8999,256
5,258411075,8999,256
5,259605642,8999,256
5,266473197,8999,256
5,260973035,8999,256
5,239326725,8198,233
5,13232299,566,16
5,246440058,8445,240
5,260298551,8999,256
5,253942538,8723,248
5,257838757,8999,256
5,263106584,8999,256
5,261622384,8999,256
5,261696480,8999,256
5,252302081,8757,249
5,242389204,8269,235
5,257573548,8999,256
5,257799524,8999,256
5,257202165,8861,252
5,262826414,8999,256
5,257603961,8999,256
5,26168815,1059,30
5,257783829,8999,256
5,260892594,8999,256
5,259151972,8999,256
5,260535885,8999,256
5,248768456,8445,240
5,250202597,8515,242
5,244739642,8301,236
5,253083005,8930,254
5,254882727,8999,256
5,260344652,8999,256
5,247887823,8723,248
5,253402935,8999,256
5,256508311,8999,256
5,118671707,4432,126
5,249196268,8584,244
5,260423462,8861,252
5,255926768,8999,256
5,259863991,8999,256
5,261772360,8999,256
5,26664083,1059,30
5,246607157,8410,239
5,255130781,8930,254
5,241536983,8269,235
5,255667435,8549,243
5,255793764,8999,256
5,247932486,8445,240
5,257496344,8999,256
5,254952657,8999,256
5,249289678,8480,241
5,259358453,8999,256
5,254788971,8792,250
5,19598217,990,28
5,261908320,8861,252
5,250831587,8653,246
5,256260749,8792,250
5,251548588,8515,242
5,261096306,8999,256
5,259950405,8999,256
5,258891853,8861,252
5,259672935,8999,256
5,260952760,8688,247
5,250297298,8654,246
5,257612048,8792,250
5,259002637,8999,256
5,249436307,8515,242
5,257518000,8792,250
5,245197825,8338,237
5,257083904,8999,256
5,253765511,8445,240
5,261197090,8999,256
5,258510749,8999,256
5,258335434,8999,256
5,258456089,8999,256
5,253909372,8688,247
5,262008125,8999,256
5,260849510,8999,256
5,266201071,8999,256
5,258589255,8792,250
5,260971013,8999,256
5,256694373,8999,256
5,257354218,8861,252
5,249661175,8515,242
5,256325993,8999,256
5,69567834,2898,82
5,263898129,8999,256
5,252021085,8723,248
5,258438576,8999,256
5,255604876,8723,248
5,12399155,568,16
5,255751600,8999,256
5,249729772,8515,242
5,243191797,8303,236
5,259931018,8999,256
5,262320132,8999,256
5,115110787,4221,120
