MVPTREE,EUCLIDEAN,SSS,25,1000,145875
k,time,count,disk
5,265417920,9255,256
5,266486671,9041,250
5,250895039,8431,233
5,257280422,9077,251
5,280082372,9255,256
5,285936893,9255,256
5,282142512,9148,253
5,279417604,9255,256
5,267509565,9255,256
5,270676811,9255,256
5,272168277,9255,256
5,265661555,9255,256
5,249945312,8682,240
5,255964697,9255,256
5,278013290,9255,256
5,266278805,8574,237
5,280275952,9255,256
5,281392575,9184,254
5,272006444,9255,256
5,273243335,9255,256
5,269691940,9255,256
5,272153371,9255,256
5,169337131,6878,190
5,261932009,9255,256
5,274452555,9255,256
5,289217381,9255,256
5,282609301,9255,256
5,282541748,9255,256
5,263996933,8934,247
5,274646702,9255,256
5,266956639,9255,256
5,264567363,9184,254
5,254226214,8716,241
5,255659972,8753,242
5,262705173,9148,253
5,263335596,9255,256
5,261479003,8899,246
5,245333522,8505,235
5,255346964,8970,248
5,260655336,9184,254
5,179047721,7384,204
5,167647034,6633,183
5,262560497,9255,256
5,264607292,9255,256
5,263040502,9255,256
5,269186432,9255,256
5,266176503,9255,256
5,267461758,9255,256
5,270803785,9148,253
5,272502464,9255,256
5,267984368,9255,256
5,269261694,9255,256
5,267565385,9255,256
5,260542518,8789,243
5,263217779,9113,252
5,267358766,9255,256
5,271200452,9184,254
5,255852200,8716,241
5,168404530,6700,185
5,264456576,9255,256
5,195816679,7992,221
5,274030217,9255,256
5,267720510,9184,254
5,266357715,9184,254
5,256947669,8645,239
5,273747734,9255,256
5,176013140,7135,197
5,270065940,9255,256
5,271038345,9255,256
5,267081463,8899,246
5,265709609,9184,254
5,265457497,9255,256
5,262471841,9255,256
5,261354578,8789,243
5,185582347,7455,206
5,268706770,9184,254
5,269059346,9255,256
5,273675902,9255,256
5,266770408,9255,256
5,267355171,9255,256
5,256666913,8752,242
5,263858519,8899,246
5,267137839,9255,256
5,268057131,9255,256
5,271210740,9255,256
5,182697077,7349,203
5,271396423,9255,256
5,268558283,9255,256
5,270131960,9255,256
5,268283373,9255,256
5,267877481,9255,256
5,268267426,9255,256
5,172225188,6877,190
5,273388747,9255,256
5,269750323,9255,256
5,264008414,9184,254
5,273911876,9255,256
5,267118188,9255,256
5,259583141,8716,241
5,270299809,9255,256
5,273862920,9255,256
5,192332568,7921,219
5,267043340,9255,256
5,256472261,8682,240
5,274274596,9255,256
5,269528909,9255,256
5,269425288,9255,256
5,270892176,9255,256
5,271670849,9255,256
5,266220125,9255,256
5,267839255,9255,256
5,269028172,9255,256
5,262507754,8753,242
5,249084860,8431,233
5,261232655,9148,253
5,266327109,9184,254
5,188095317,7527,208
5,266511767,9255,256
5,268707542,9255,256
5,269485007,9255,256
5,274773135,9255,256
5,269574029,9255,256
5,267841102,9255,256
5,270253828,9255,256
5,265092732,8899,246
5,266016493,9255,256
5,264468520,9184,254
5,255213627,8647,239
5,260763809,8970,248
5,262535627,9148,253
5,262611834,9184,254
5,269068193,9113,252
5,265580442,9255,256
5,265806777,9255,256
5,269018391,9255,256
5,269448201,9148,253
5,257656517,8827,244
5,267408402,9255,256
5,269790910,9255,256
5,270017695,9184,254
5,254731008,8753,242
5,266264960,9148,253
5,194979627,8185,226
5,274693151,9255,256
5,268482190,9255,256
5,270368072,9255,256
5,271796629,9255,256
5,270708439,9184,254
5,263974081,9148,253
5,269147632,9255,256
5,254608705,8645,239
5,272211501,9255,256
5,269514793,9255,256
5,268692075,9255,256
5,269962049,9255,256
5,267978764,9255,256
5,250214546,8467,234
5,267114600,9255,256
5,272214901,9255,256
5,263443193,9077,251
5,259427612,8863,245
5,264287487,9077,251
5,173176665,6913,191
5,186677750,7456,206
5,181248679,7349,203
5,260640307,8753,242
5,266027823,9041,250
5,272502800,9255,256
5,254461778,8716,241
5,264179352,9255,256
5,259045940,9041,250
5,267962851,9255,256
5,264098112,9255,256
5,267108080,9255,256
5,262004115,9077,251
5,250848968,8363,231
5,269450972,9255,256
5,268304119,9255,256
5,255548584,8716,241
5,268884788,9077,251
5,270576468,9255,256
5,267095072,9255,256
5,264685832,8863,245
5,265751281,9255,256
5,257851483,8645,239
5,271238194,9255,256
5,188741117,7815,216
5,270474577,9184,254
5,265564822,9255,256
