MVPTREE,EUCLIDEAN,WDR,25,1000,477900
k,time,count,disk
5,238851267,8999,256
5,236281620,8930,254
5,230888107,8653,246
5,238695843,8999,256
5,241050262,8999,256
5,239704940,8999,256
5,237821593,8930,254
5,237954344,8999,256
5,236921042,8999,256
5,240669600,8999,256
5,242433642,8999,256
5,242358999,8999,256
5,237160968,8861,252
5,240922005,8999,256
5,239081178,8999,256
5,235604169,8757,249
5,240520925,8999,256
5,242156662,8999,256
5,245646656,8999,256
5,242553156,8999,256
5,240973144,8999,256
5,240531012,8999,256
5,178433890,8025,228
5,243637285,8999,256
5,241451078,8999,256
5,242448044,8999,256
5,239604910,8999,256
5,242648244,8999,256
5,239977911,8930,254
5,243036204,8999,256
5,242010326,8999,256
5,242937709,8999,256
5,241141015,8930,254
5,239156636,8930,254
5,245017456,8999,256
5,242739475,8999,256
5,244623001,8999,256
5,230612197,8408,239
5,242128157,8930,254
5,242513286,8999,256
5,223998341,8232,234
5,225145834,8236,234
5,242701534,8999,256
5,243060089,8999,256
5,242287960,8999,256
5,241238069,8930,254
5,241137559,8999,256
5,241815028,8999,256
5,240953991,8930,254
5,243040057,8999,256
5,240661540,8999,256
5,246152204,8999,256
5,242177383,8999,256
5,240489788,8930,254
5,154026683,6750,192
5,241584289,8999,256
5,241126645,8999,256
5,242118847,8930,254
5,176973292,8025,228
5,239659280,8999,256
5,231006435,8579,244
5,243012169,8999,256
5,240513940,8999,256
5,239534194,8999,256
5,237885970,8861,252
5,240566165,8999,256
5,225922641,8374,238
5,242360895,8999,256
5,241968638,8999,256
5,244591140,8999,256
5,242183231,8999,256
5,240017365,8999,256
5,242231504,8999,256
5,243390543,8999,256
5,228133325,8443,240
5,240474985,8930,254
5,242908628,8999,256
5,242227707,8999,256
5,240159302,8999,256
5,240148091,8999,256
5,240207239,8930,254
5,239126910,8999,256
5,240963450,8999,256
5,242293504,8999,256
5,238940463,8999,256
5,232254523,8477,241
5,242398029,8999,256
5,241835047,8999,256
5,240691991,8999,256
5,241385427,8999,256
5,240680208,8999,256
5,240903733,8999,256
5,228506268,8477,241
5,238776496,8999,256
5,243750449,8999,256
5,238978985,8999,256
5,243574314,8999,256
5,242982464,8999,256
5,239896239,8861,252
5,242647646,8999,256
5,241553896,8999,256
5,230758175,8512,242
5,240751349,8999,256
5,238482108,8861,252
5,241926474,8999,256
5,242508384,8999,256
5,241984637,8999,256
5,241474333,8999,256
5,240674236,8999,256
5,244241163,8999,256
5,244571700,8999,256
5,243299154,8999,256
5,242145258,8930,254
5,234937490,8653,246
5,242548228,8999,256
5,242998299,8999,256
5,222313848,8232,234
5,244184191,8999,256
5,245052019,8999,256
5,242865663,8999,256
5,243684000,8999,256
5,241935905,8999,256
5,243122452,8999,256
5,243711135,8999,256
5,242950941,8999,256
5,243368874,8999,256
5,239152798,8999,256
5,231043904,8581,244
5,241815584,8930,254
5,242346114,8999,256
5,241597577,8999,256
5,242720606,8999,256
5,240825251,8999,256
5,239873046,8999,256
5,241924514,8999,256
5,154131363,6750,192
5,240227635,8930,254
5,239000835,8999,256
5,241804181,8999,256
5,240301852,8999,256
5,238503530,8861,252
5,240019694,8999,256
5,178259641,8132,231
5,240626600,8999,256
5,241549018,8999,256
5,237916450,8930,254
5,239469375,8999,256
5,240217995,8999,256
5,241060103,8999,256
5,237648190,8999,256
5,238371050,8861,252
5,238981969,8999,256
5,245789323,8999,256
5,239316086,8999,256
5,237788198,8999,256
5,242944873,8999,256
5,234452161,8722,248
5,242151711,8999,256
5,239595580,8999,256
5,238506389,8930,254
5,240515816,8930,254
5,242318184,8999,256
5,176206007,7988,227
5,177311099,8024,228
5,226046758,8408,239
5,238823659,8861,252
5,241541590,8999,256
5,239055743,8999,256
5,237107687,8757,249
5,240075487,8999,256
5,238363975,8930,254
5,241133263,8999,256
5,240985693,8999,256
5,243699171,8999,256
5,242955664,8999,256
5,229619186,8512,242
5,240986434,8999,256
5,240505161,8999,256
5,241038960,8930,254
5,243035899,8999,256
5,243205004,8999,256
5,240704789,8999,256
5,242721116,8999,256
5,241672439,8999,256
5,240625101,8861,252
5,244896340,8999,256
5,233956968,8443,240
5,241053645,8999,256
5,242240062,8999,256
5,242793026,8999,256
5,242005643,8999,256
5,242985382,8999,256
5,241839676,8999,256
5,242185239,8999,256
5,239994156,8826,251
5,241386130,8999,256
5,243228908,8999,256
5,241829367,8999,256
5,243558206,8999,256
5,239709008,8999,256
5,241030056,8999,256
5,243398234,8999,256
5,240802756,8930,254
5,242615821,8999,256
5,239548190,8930,254
5,243758838,8999,256
5,236653796,8861,252
5,243099699,8999,256
5,240722026,8999,256
5,238820764,8999,256
5,238120419,8861,252
5,241084953,8999,256
5,239413050,8999,256
5,239508805,8999,256
5,241058986,8999,256
5,240840514,8999,256
5,240696780,8999,256
5,242644841,8999,256
5,241922318,8999,256
5,233321660,8653,246
5,178652425,7990,227
5,237199419,8861,252
5,241385719,8999,256
5,242287123,8999,256
5,237685257,8999,256
5,239684765,8999,256
5,242215682,8999,256
5,241690787,8999,256
5,240784415,8999,256
5,237154437,8757,249
5,242982139,8999,256
5,243270126,8999,256
5,242743728,8999,256
5,242115707,8999,256
5,241497087,8999,256
5,177451505,8059,229
5,241056750,8999,256
5,242997677,8999,256
5,241443902,8999,256
5,242362794,8999,256
5,241072679,8930,254
5,239144657,8930,254
5,234793103,8896,253
5,239106797,8999,256
5,240150438,8999,256
5,240603992,8999,256
5,240437186,8999,256
5,242000817,8999,256
5,241856970,8999,256
5,227310655,8443,240
5,239988149,8930,254
5,243200483,8999,256
5,242295752,8999,256
5,244546724,8999,256
5,243060079,8999,256
5,226943602,8443,240
5,239747233,8861,252
5,242110018,8999,256
5,239517653,8826,251
