OMNIKDTREE,EUCLIDEAN,CONVEX,25,1000,224140
k,time,count,disk
5,24963155,9271,128
5,24921483,9271,128
5,24756101,9271,128
5,24750720,9271,128
5,24774576,9271,128
5,24798952,9271,128
5,24800798,9271,128
5,24737416,9271,128
5,25044694,9271,128
5,24709028,9271,128
5,24735553,9271,128
5,24684090,9271,128
5,24959815,9271,128
5,24640391,9271,128
5,24702331,9271,128
5,24775333,9271,128
5,24952965,9271,128
5,24741108,9271,128
5,24808459,9271,128
5,24761818,9271,128
5,24805534,9271,128
5,25098544,9271,128
5,24584837,9206,127
5,24748780,9271,128
5,24729358,9271,128
5,24965553,9271,128
5,24721558,9271,128
5,25623481,9271,128
5,24752588,9271,128
5,24792682,9271,128
5,24754028,9271,128
5,25094881,9271,128
5,24732795,9271,128
5,24911747,9271,128
5,24701678,9271,128
5,24757713,9271,128
5,24760052,9271,128
5,24701962,9271,128
5,24740130,9271,128
5,24709984,9271,128
5,22784794,8489,117
5,24660320,9273,128
5,24681309,9271,128
5,25160379,9271,128
5,24720519,9271,128
5,24681151,9271,128
5,24907715,9271,128
5,24700002,9271,128
5,24674221,9271,128
5,24718975,9271,128
5,24685217,9271,128
5,25068354,9271,128
5,25294361,9271,128
5,25680867,9271,128
5,25145814,9271,128
5,25169880,9271,128
5,25357904,9271,128
5,25168737,9271,128
5,24233818,8920,123
5,25284325,9271,128
5,25215465,9272,128
5,25192277,9271,128
5,25567424,9271,128
5,25206536,9271,128
5,25239814,9271,128
5,25170910,9271,128
5,20213734,7418,102
5,25236157,9271,128
5,25718901,9271,128
5,24486453,9271,128
5,24689811,9271,128
5,24884358,9271,128
5,25207434,9271,128
5,24858798,9271,128
5,24886680,9272,128
5,24876774,9271,128
5,24917101,9271,128
5,25246038,9271,128
5,24867598,9271,128
5,24876236,9271,128
5,24990066,9271,128
5,25092203,9271,128
5,24937429,9271,128
5,24926747,9271,128
5,24940113,9271,128
5,24933457,9276,128
5,24957254,9271,128
5,25100493,9271,128
5,24864818,9271,128
5,24942892,9271,128
5,25327520,9271,128
5,24791412,9271,128
5,24474039,9135,126
5,25034292,9271,128
5,24696574,9271,128
5,25026270,9271,128
5,24832288,9271,128
5,25115625,9271,128
5,24937576,9271,128
5,25126991,9271,128
5,24904965,9271,128
