OMNIKDTREE,EUCLIDEAN,FFT,25,1000,207617
k,time,count,disk
5,23780478,9271,128
5,23727137,9271,128
5,23562314,9271,128
5,23757603,9271,128
5,23588170,9271,128
5,23604018,9271,128
5,23713597,9271,128
5,23545772,9271,128
5,23767659,9271,128
5,23583181,9271,128
5,23725311,9271,128
5,23524801,9271,128
5,23685026,9271,128
5,23649385,9271,128
5,23579549,9271,128
5,23689474,9271,128
5,23659048,9271,128
5,23620229,9271,128
5,23724615,9271,128
5,23668006,9271,128
5,23557875,9271,128
5,23779132,9271,128
5,23570131,9271,128
5,23695693,9271,128
5,23609704,9271,128
5,23700160,9271,128
5,23520063,9271,128
5,23613771,9271,128
5,23560442,9271,128
5,23814533,9271,128
5,23535446,9271,128
5,23606451,9271,128
5,23842697,9271,128
5,23525391,9271,128
5,23732283,9271,128
5,23618891,9271,128
5,23624632,9271,128
5,23548042,9271,128
5,23575312,9271,128
5,23711095,9271,128
5,23700185,9271,128
5,23612096,9273,128
5,23584623,9271,128
5,23588878,9271,128
5,23585981,9271,128
5,23648221,9271,128
5,23691115,9271,128
5,23711682,9271,128
5,23548633,9271,128
5,23588560,9271,128
5,23677468,9271,128
5,23602313,9271,128
5,23733159,9271,128
5,23544321,9271,128
5,23605756,9271,128
5,23817394,9271,128
5,23502544,9271,128
5,23677116,9271,128
5,23562382,9271,128
5,23551531,9271,128
5,23687253,9271,128
5,23633244,9271,128
5,23632421,9271,128
5,23555200,9271,128
5,23577476,9271,128
5,23729814,9271,128
5,23596133,9274,128
5,23681478,9271,128
5,23562802,9271,128
5,23591858,9271,128
5,23687845,9271,128
5,23669056,9271,128
5,23558079,9271,128
5,23699726,9271,128
5,23547971,9272,128
5,23795817,9271,128
5,23565535,9271,128
5,23691227,9271,128
5,23534390,9271,128
5,23610080,9271,128
5,23576850,9271,128
5,23736109,9271,128
5,23721757,9271,128
5,23581977,9271,128
5,23672825,9271,128
5,23557404,9272,128
5,23680005,9271,128
5,23566923,9271,128
5,23787010,9271,128
5,23493490,9271,128
5,23742538,9271,128
5,23620976,9271,128
5,23537477,9271,128
5,23697605,9271,128
5,23655131,9271,128
5,23628641,9271,128
5,23504911,9271,128
5,23559251,9271,128
5,23722168,9271,128
5,23574352,9271,128
5,23507844,9271,128
5,23770851,9271,128
5,23543692,9271,128
5,23458648,9271,128
5,23724247,9271,128
5,23571496,9271,128
5,23771313,9271,128
5,23534775,9271,128
