OMNIKDTREE,EUCLIDEAN,GNAT,25,1000,222170
k,time,count,disk
5,24265972,9271,128
5,24110019,9271,128
5,24484682,9271,128
5,24408309,9271,128
5,24388545,9271,128
5,24507752,9271,128
5,24823602,9271,128
5,24719906,9271,128
5,25026042,9271,128
5,24792115,9271,128
5,24890791,9271,128
5,24830757,9271,128
5,24936137,9271,128
5,24760628,9271,128
5,25018034,9271,128
5,24784243,9271,128
5,24813444,9271,128
5,25258884,9271,128
5,24859970,9271,128
5,24799457,9271,128
5,24829246,9271,128
5,25096177,9271,128
5,24838424,9271,128
5,24811262,9271,128
5,25076252,9271,128
5,24837286,9271,128
5,24922891,9271,128
5,24802623,9271,128
5,24872182,9271,128
5,24850051,9271,128
5,24850655,9271,128
5,25220886,9271,128
5,24789530,9271,128
5,24826676,9271,128
5,26030766,9271,128
5,24833394,9271,128
5,24901084,9271,128
5,24848519,9271,128
5,24854054,9271,128
5,25001026,9271,128
5,24878408,9272,128
5,24911805,9273,128
5,25075679,9271,128
5,24807034,9271,128
5,24782411,9271,128
5,24813175,9271,128
5,25132292,9271,128
5,24823481,9271,128
5,24784347,9271,128
5,25058437,9271,128
5,24854203,9271,128
5,24792810,9271,128
5,24869526,9271,128
5,24907396,9271,128
5,24877783,9271,128
5,25104075,9271,128
5,24795792,9271,128
5,24774242,9271,128
5,26242903,9274,128
5,29024018,9271,128
5,28906132,9271,128
5,28674276,9271,128
5,28661751,9271,128
5,28612900,9271,128
5,28821095,9271,128
5,28856011,9271,128
5,28750654,9273,128
5,28660921,9271,128
5,28661513,9271,128
5,28792438,9271,128
5,28760072,9271,128
5,28738797,9271,128
5,36850861,9271,128
5,61436811,9271,128
5,26810766,9272,128
5,26735891,9271,128
5,26865988,9271,128
5,26798388,9271,128
5,26886723,9271,128
5,26792815,9271,128
5,26776405,9271,128
5,26978865,9271,128
5,26784081,9271,128
5,26795308,9271,128
5,26750338,9271,128
5,26798714,9273,128
5,26804738,9271,128
5,27024150,9271,128
5,26811315,9271,128
5,26756567,9271,128
5,27109372,9271,128
5,27250209,9271,128
5,27119764,9271,128
5,27090466,9271,128
5,27106062,9271,128
5,27160929,9271,128
5,27159516,9271,128
5,27133720,9271,128
5,27231880,9271,128
5,27167593,9271,128
5,27178942,9271,128
5,27639240,9271,128
5,27149865,9271,128
5,27065732,9271,128
5,27305004,9271,128
5,27130979,9271,128
5,27094555,9271,128
5,27167866,9271,128
5,27425131,9271,128
5,27435271,9271,128
5,27178009,9271,128
5,27120119,9271,128
5,27343634,9271,128
5,27177515,9271,128
5,27194368,9271,128
5,27474373,9271,128
5,27143666,9271,128
5,27158502,9271,128
5,27413501,9271,128
5,27117910,9271,128
5,27144884,9271,128
5,27232280,9271,128
5,27142313,9271,128
5,27338853,9271,128
5,27169636,9271,128
5,27168826,9271,128
5,27457246,9271,128
5,27213666,9272,128
5,27188878,9271,128
5,27156554,9271,128
5,27142018,9271,128
5,27361687,9271,128
5,27269983,9271,128
5,27152884,9271,128
5,27162162,9271,128
5,27465932,9271,128
5,27124524,9271,128
5,27106306,9271,128
5,27130365,9271,128
5,27446561,9271,128
5,27093162,9271,128
5,27145026,9271,128
5,27415588,9274,128
5,27133566,9271,128
5,27155781,9271,128
5,27095943,9271,128
5,39089314,9271,128
5,28155998,9271,128
5,26793616,9271,128
5,26935507,9271,128
5,26846514,9271,128
5,26772473,9271,128
5,26779715,9271,128
5,26781807,9271,128
5,27033535,9271,128
5,26802079,9271,128
5,26801243,9271,128
5,27203195,9271,128
5,26762726,9271,128
