OMNIKDTREE,EUCLIDEAN,HFI,25,1000,34126
k,time,count,disk
5,23325961,9271,128
5,23167097,9271,128
5,22350606,9135,126
5,23076022,9273,128
5,24506171,9271,128
5,23031875,9271,128
5,23169030,9272,128
5,22894329,9271,128
5,23057146,9271,128
5,23186466,9271,128
5,23007706,9274,128
5,23035400,9271,128
5,23198384,9276,128
5,23067251,9271,128
5,22979579,9271,128
5,22949427,9274,128
5,23149232,9271,128
5,22996635,9271,128
5,23257706,9271,128
5,23034991,9271,128
5,23119206,9272,128
5,22943670,9271,128
5,5300680,2196,30
5,23063214,9271,128
5,23086403,9271,128
5,23045998,9271,128
5,23000260,9271,128
5,23050054,9271,128
5,23029704,9271,128
5,23053355,9271,128
5,23125264,9271,128
5,23029943,9272,128
5,23044145,9272,128
5,23098288,9271,128
5,23002920,9271,128
5,22977187,9271,128
5,22997394,9271,128
5,10310321,4290,59
5,23010807,9271,128
5,23198288,9271,128
5,5746462,2338,32
5,7838531,3278,45
5,22969976,9271,128
5,23121400,9271,128
5,22964311,9271,128
5,21465199,8631,119
5,23198005,9271,128
5,22969807,9271,128
5,23156861,9271,128
5,22972543,9271,128
5,21413420,8631,119
5,24418108,9271,128
5,23016636,9271,128
5,22962496,9271,128
5,22951226,9271,128
5,23138923,9271,128
5,23091210,9271,128
5,23031186,9274,128
5,5324751,2196,30
5,23014659,9271,128
5,11508473,4653,64
5,22899716,9271,128
5,11328898,4650,64
5,23035844,9275,128
5,23140046,9271,128
5,22866861,9271,128
5,5871583,2338,32
5,23031738,9271,128
5,23158358,9271,128
5,23157819,9271,128
5,22211555,8989,124
5,23033957,9271,128
5,23163260,9271,128
5,22839511,9271,128
5,5554784,2338,32
5,22993971,9271,128
5,23167751,9274,128
5,23031777,9271,128
5,23022704,9271,128
5,23236664,9271,128
5,23009369,9271,128
5,23073102,9271,128
5,23221913,9271,128
5,22998896,9271,128
5,22775311,9275,128
5,8608601,3494,48
5,23199253,9271,128
5,23057243,9271,128
5,22997448,9271,128
5,23251025,9271,128
5,23038177,9271,128
5,23017988,9271,128
5,5748062,2338,32
5,23130844,9275,128
5,22601174,9271,128
5,23174200,9271,128
5,22938052,9271,128
5,23066373,9271,128
5,22929314,9272,128
5,23072704,9271,128
5,24266676,9271,128
5,5726042,2338,32
5,23049623,9273,128
5,22613432,9271,128
5,23231161,9271,128
5,23040611,9271,128
5,23099349,9271,128
5,22733098,9271,128
5,22962067,9271,128
5,23004795,9272,128
5,23319809,9271,128
5,22956427,9271,128
5,23156517,9273,128
5,22638855,9135,126
5,23061732,9271,128
5,23233728,9271,128
5,5672162,2338,32
5,22813722,9271,128
5,23002750,9271,128
5,23023801,9271,128
5,23201859,9271,128
5,23204418,9271,128
5,22883563,9271,128
5,23012842,9271,128
5,23029043,9271,128
5,23070528,9271,128
5,22988223,9275,128
5,5779826,2338,32
5,23255829,9271,128
5,23016098,9271,128
5,23030806,9271,128
5,23186383,9271,128
5,22993915,9272,128
5,23149543,9271,128
5,23013589,9271,128
5,23007236,9273,128
5,17249505,6965,96
5,21609519,8699,120
5,23226568,9271,128
5,22997799,9272,128
5,23159992,9274,128
5,23019961,9272,128
5,5568469,2266,31
5,22937845,9271,128
5,23241600,9271,128
5,23036222,9271,128
5,23165844,9271,128
5,22997664,9271,128
5,21516282,8121,112
5,23015876,9271,128
5,22716021,9271,128
5,23102967,9271,128
5,22915024,9271,128
5,22998651,9272,128
5,23161131,9271,128
5,22760090,9271,128
5,22720828,9135,126
5,23157223,9271,128
5,22829025,9272,128
5,23138351,9271,128
5,23066016,9271,128
5,23161416,9271,128
5,10661108,4365,60
5,5734251,2338,32
5,5529887,2338,32
5,23062676,9271,128
5,23209211,9271,128
5,22875352,9273,128
5,23102393,9271,128
5,22914768,9271,128
5,23029979,9272,128
5,23116010,9271,128
5,23149272,9271,128
5,23009021,9271,128
5,23090097,9271,128
5,8543439,3502,48
5,22880151,9271,128
5,23078191,9271,128
5,23286372,9272,128
5,22886633,9271,128
5,22987673,9271,128
5,23153779,9271,128
5,22993250,9272,128
5,23007473,9271,128
5,23100231,9271,128
5,23063861,9271,128
5,11328442,4653,64
5,22838489,9271,128
5,23012814,9272,128
5,23069729,9271,128
5,23095810,9271,128
5,22881992,9271,128
5,23135634,9272,128
5,22846324,9271,128
5,23077493,9272,128
5,24494186,9272,128
5,22994207,9272,128
5,23004397,9271,128
5,23128551,9271,128
5,22954701,9274,128
5,23057338,9271,128
5,23102622,9271,128
5,23049717,9271,128
5,23303808,9271,128
5,22985769,9271,128
5,23228542,9271,128
5,22923513,9272,128
5,23194374,9271,128
5,23017889,9272,128
5,22995282,9274,128
5,23156612,9274,128
5,23004212,9271,128
5,18078329,7261,100
5,22936455,9271,128
5,22979741,9271,128
5,23144353,9271,128
5,23028532,9271,128
5,23213675,9271,128
5,22905676,9271,128
5,22819183,9135,126
5,5473276,2338,32
5,23111263,9272,128
5,23072365,9271,128
5,23039234,9271,128
5,22920785,9271,128
5,23279141,9271,128
5,23054679,9271,128
5,23177409,9271,128
5,23009713,9271,128
5,22885584,9272,128
5,22969903,9271,128
5,23044346,9274,128
5,23048503,9271,128
5,22956800,9272,128
5,22988842,9271,128
5,5551236,2338,32
5,23237700,9271,128
5,23049659,9271,128
5,23040224,9275,128
5,23078784,9271,128
5,23049583,9271,128
5,24501897,9272,128
5,6708659,2859,39
5,22933560,9272,128
5,19237163,7768,107
5,23018149,9271,128
5,19815261,7981,110
5,23170440,9271,128
5,22996045,9271,128
5,11334919,4650,64
5,23017119,9272,128
5,23135770,9271,128
5,22979951,9271,128
5,23232509,9271,128
5,23002398,9271,128
5,11396005,4581,63
5,22906998,9273,128
5,23019641,9271,128
5,23059259,9276,128
5,23089212,9271,128
5,22956827,9272,128
5,23052778,9272,128
5,23006722,9271,128
5,22966722,9271,128
5,22615372,9272,128
5,23081730,9272,128
5,23123910,9271,128
5,5628703,2338,32
5,23069184,9271,128
5,23159218,9271,128
5,23068404,9271,128
5,22992331,9271,128
5,22994845,9271,128
5,23017335,9271,128
5,23139085,9271,128
5,22860410,9271,128
5,23001331,9271,128
5,17812502,7261,100
5,23155574,9271,128
5,22858633,9271,128
5,23069302,9271,128
5,23186857,9271,128
5,22940016,9272,128
5,22859842,9271,128
5,23008772,9271,128
5,23241456,9271,128
5,23027527,9271,128
5,23002872,9274,128
5,23200206,9271,128
5,24450140,9271,128
5,23028861,9271,128
5,22991795,9271,128
5,23082542,9271,128
5,23244118,9271,128
5,23010480,9271,128
5,23141536,9271,128
5,22980121,9271,128
5,23099258,9272,128
5,23166464,9271,128
5,5993879,2430,33
5,23021413,9271,128
5,23158432,9271,128
5,23098542,9271,128
5,23094185,9271,128
5,8519595,3494,48
5,19877060,7981,110
5,22900415,9271,128
5,23047372,9271,128
5,23113702,9271,128
5,23105905,9271,128
5,10925725,4434,61
5,11471540,4650,64
5,22310272,9061,125
5,22549034,9135,126
5,23261737,9271,128
5,19955934,8056,111
5,23069143,9271,128
5,10908044,4511,62
5,11453524,4650,64
5,22902517,9271,128
5,11453986,4653,64
5,22960747,9271,128
5,5515951,2338,32
5,23239597,9275,128
5,23085357,9271,128
5,5551797,2338,32
5,23054864,9271,128
5,22964446,9271,128
5,22923590,9271,128
5,23101263,9271,128
5,23097620,9271,128
5,22893124,9271,128
5,23076229,9271,128
5,23036539,9271,128
5,23088869,9271,128
5,23144771,9273,128
5,23034585,9271,128
5,23012993,9272,128
5,24400108,9271,128
5,23071088,9271,128
5,22961707,9271,128
5,10063565,4146,57
5,23089881,9271,128
5,14472806,5809,80
5,22863290,9272,128
5,23258329,9271,128
5,22997306,9271,128
5,22983350,9271,128
5,23076591,9271,128
5,23165376,9271,128
5,22999721,9271,128
5,23035002,9271,128
5,23283452,9271,128
5,22961354,9271,128
5,23038161,9272,128
5,10451000,4218,58
5,23194325,9271,128
5,22975660,9271,128
5,23199556,9271,128
5,23015727,9271,128
5,5739384,2338,32
5,7820769,3278,45
5,23125728,9271,128
5,5483174,2338,32
5,23008866,9271,128
5,22817436,9272,128
5,17447918,6964,96
5,23049579,9271,128
5,23177450,9271,128
5,23042533,9272,128
5,22588823,9271,128
5,23061863,9271,128
5,23057336,9272,128
5,23201174,9271,128
5,22962052,9271,128
5,23053229,9271,128
5,22694196,9135,126
5,23115563,9271,128
5,22997297,9271,128
5,23063558,9271,128
5,22916729,9271,128
5,5757549,2338,32
5,23190121,9271,128
5,22975957,9271,128
5,11143289,4511,62
5,23139903,9272,128
5,22818475,9271,128
5,23223789,9271,128
5,23958719,9135,126
5,23043240,9271,128
5,11491527,4650,64
5,23275643,9271,128
5,11419227,4653,64
5,22860280,9271,128
5,23164786,9271,128
5,23015748,9271,128
5,23046922,9271,128
5,23081020,9271,128
5,5815352,2338,32
5,22982644,9271,128
5,23225460,9272,128
5,11128638,4511,62
5,23014331,9275,128
5,22965922,9272,128
5,22903363,9272,128
5,22860695,9271,128
5,5774373,2338,32
5,18063299,7261,100
5,23000819,9271,128
5,23200187,9271,128
5,23071991,9271,128
5,23177896,9271,128
5,22918084,9271,128
5,23065012,9271,128
5,23018664,9275,128
5,23100022,9271,128
5,23036297,9271,128
5,23025930,9271,128
5,23078085,9271,128
5,23120112,9273,128
5,23235910,9271,128
5,11489978,4653,64
5,22906832,9275,128
5,23015852,9271,128
5,22986968,9271,128
5,22954016,9271,128
5,23229519,9271,128
5,22919121,9271,128
5,10924286,4437,61
5,23044775,9271,128
5,23148001,9272,128
5,22978509,9271,128
5,23267573,9271,128
5,22995547,9273,128
5,23218380,9271,128
5,20027586,8128,112
5,23011172,9271,128
5,12498177,4650,64
5,22890431,9271,128
5,23011120,9271,128
5,23095649,9271,128
5,11074803,4511,62
5,23029176,9271,128
5,23243457,9271,128
5,23052480,9275,128
5,23052149,9271,128
5,23198476,9271,128
