OMNIKDTREE,EUCLIDEAN,IS,25,1000,408525
k,time,count,disk
5,23779580,9271,128
5,23666952,9271,128
5,23518480,9271,128
5,23540251,9271,128
5,23678201,9271,128
5,23672956,9271,128
5,23595248,9271,128
5,23551094,9271,128
5,23696428,9271,128
5,23692658,9271,128
5,23605996,9271,128
5,23522218,9271,128
5,23569686,9271,128
5,23729800,9271,128
5,23670942,9271,128
5,23467158,9271,128
5,23535205,9271,128
5,23570000,9271,128
5,23728003,9271,128
5,24789368,9271,128
5,23546493,9272,128
5,23605113,9271,128
5,17578161,6967,96
5,23591119,9271,128
5,23644870,9271,128
5,23504569,9271,128
5,23626788,9271,128
5,23508189,9271,128
5,23590722,9271,128
5,23495028,9271,128
5,23694291,9271,128
5,23574108,9273,128
5,23527059,9271,128
5,23737777,9271,128
5,23543202,9271,128
5,23643275,9271,128
5,23566142,9271,128
5,14596521,5809,80
5,23599872,9271,128
5,23742044,9271,128
5,20323037,7979,110
5,11797631,4654,64
5,23542937,9271,128
5,23614323,9271,128
5,23492880,9271,128
5,23558390,9271,128
5,23611173,9276,128
5,23520916,9271,128
5,23608241,9271,128
5,23688674,9271,128
5,23699930,9275,128
5,23516727,9271,128
5,23589944,9271,128
5,23562821,9271,128
5,23424733,9272,128
5,23662262,9271,128
5,23671460,9271,128
5,23608715,9271,128
5,16853675,6677,92
5,23718930,9271,128
5,20574479,8123,112
5,23454262,9271,128
5,21808514,8555,118
5,22975829,8988,124
5,23531311,9271,128
5,24852789,9271,128
5,16339167,6389,88
5,23545151,9271,128
5,23592027,9271,128
5,23640114,9271,128
5,23533102,9271,128
5,23648386,9271,128
5,23578226,9273,128
5,23504419,9271,128
5,13936373,5521,76
5,23699045,9271,128
5,23537534,9271,128
5,23637433,9271,128
5,23532780,9271,128
5,23780354,9271,128
5,23540658,9271,128
5,23489712,9271,128
5,23719227,9271,128
5,23469828,9271,128
5,23500178,9271,128
5,17077251,6677,92
5,23560172,9271,128
5,23503693,9271,128
5,22842591,8989,124
5,23819945,9271,128
5,23523117,9271,128
5,23531350,9272,128
5,17276808,6823,94
5,23733659,9272,128
5,23731326,9271,128
5,23558641,9274,128
5,23689545,9271,128
5,23650511,9271,128
5,23491701,9271,128
5,23567915,9271,128
5,23613748,9271,128
5,18456402,7257,100
5,23525232,9272,128
5,23477399,9271,128
5,23596379,9271,128
5,23527426,9271,128
5,23662747,9271,128
5,23494282,9271,128
5,23596040,9271,128
5,24877654,9271,128
5,23698290,9271,128
5,23654165,9271,128
5,23576375,9271,128
5,23539185,9271,128
5,23697947,9271,128
5,23499114,9271,128
5,20381619,7979,110
5,23503140,9271,128
5,23541281,9271,128
5,23657741,9271,128
5,23568732,9271,128
5,23728763,9271,128
5,23534677,9271,128
5,23564554,9271,128
5,23605619,9271,128
5,23683392,9271,128
5,23726195,9273,128
5,20684518,8123,112
5,23565160,9271,128
5,23509244,9271,128
5,21128451,8269,114
5,23510208,9271,128
5,23646874,9271,128
5,23558741,9273,128
5,23707944,9271,128
5,23537533,9273,128
5,22207614,8700,120
5,22775758,8988,124
5,23644188,9271,128
5,23547010,9271,128
5,23611103,9271,128
5,23511213,9271,128
5,13634426,5377,74
5,23564588,9271,128
5,23723242,9271,128
5,23652364,9271,128
5,23536463,9271,128
5,23529224,9271,128
5,23678485,9272,128
5,23524975,9271,128
5,23626496,9271,128
5,23578196,9272,128
5,23626446,9271,128
5,24876091,9272,128
5,23639537,9271,128
5,23556577,9271,128
5,23736743,9271,128
5,23497833,9271,128
5,23629155,9271,128
5,23677793,9271,128
5,23551173,9271,128
5,23676197,9271,128
5,17960596,7113,98
5,17660066,6967,96
5,14031894,5521,76
5,23652339,9271,128
5,23574843,9271,128
5,23667837,9271,128
5,23523661,9271,128
5,23490672,9271,128
5,23558910,9272,128
5,23748523,9271,128
5,23559869,9271,128
5,23637110,9271,128
5,23535093,9271,128
5,14923186,5809,80
5,23504751,9271,128
5,23678479,9271,128
5,20569603,8121,112
5,23576826,9271,128
5,23746546,9271,128
5,22774002,8989,124
5,20744804,8121,112
5,23505720,9271,128
5,23692807,9271,128
5,23623170,9271,128
5,20686222,8123,112
5,23484116,9271,128
5,23482350,9271,128
5,23623779,9271,128
5,23478939,9271,128
5,23752003,9271,128
5,23528863,9271,128
5,23477129,9271,128
5,23670161,9271,128
5,23502564,9271,128
5,23548863,9271,128
5,23774782,9271,128
5,24800030,9271,128
5,23501398,9271,128
5,23728082,9271,128
5,23551660,9271,128
5,23710551,9271,128
5,23594219,9271,128
5,23616997,9271,128
5,23686583,9271,128
5,23553576,9271,128
5,23606995,9271,128
5,23587013,9271,128
5,23515490,9272,128
5,23669466,9271,128
5,23639446,9272,128
5,23585264,9271,128
5,23596471,9273,128
5,23558000,9271,128
5,23726395,9271,128
5,23590114,9271,128
5,23740145,9271,128
