OMNIKDTREE,EUCLIDEAN,KMEDOIDS,25,1000,409012
k,time,count,disk
5,24106145,9271,128
5,22458417,8701,120
5,23863732,9271,128
5,23806720,9271,128
5,23781581,9271,128
5,23873900,9271,128
5,23771424,9271,128
5,23815184,9271,128
5,23867071,9271,128
5,23792883,9271,128
5,24130959,9271,128
5,23759248,9271,128
5,23014260,8989,124
5,23740135,9271,128
5,23739386,9271,128
5,24076843,9271,128
5,23808817,9271,128
5,23748201,9271,128
5,23790418,9271,128
5,24773543,9271,128
5,24032733,9271,128
5,23753418,9271,128
5,22659869,8844,122
5,23801429,9271,128
5,23779766,9271,128
5,23739472,9271,128
5,24149267,9271,128
5,23761228,9271,128
5,23794095,9271,128
5,23813637,9271,128
5,23830334,9271,128
5,23885510,9271,128
5,23737968,9272,128
5,23946732,9271,128
5,23745043,9271,128
5,23775954,9271,128
5,23992021,9271,128
5,22935652,8988,124
5,23815087,9271,128
5,23987161,9271,128
5,22992620,8988,124
5,22264986,8700,120
5,24012419,9271,128
5,23824721,9271,128
5,23787295,9271,128
5,24028064,9271,128
5,23309500,9133,126
5,23812786,9271,128
5,23753429,9271,128
5,23952958,9271,128
5,23689925,9271,128
5,23817454,9271,128
5,23728128,9271,128
5,23960484,9271,128
5,23613894,9133,126
5,23743169,9271,128
5,23779252,9271,128
5,23909942,9273,128
5,22662717,8844,122
5,23738053,9273,128
5,23408885,9133,126
5,23881128,9271,128
5,24759276,9273,128
5,23982677,9271,128
5,23743366,9275,128
5,23763933,9271,128
5,23228158,8988,124
5,23763354,9271,128
5,23758479,9271,128
5,23791151,9271,128
5,23842528,9271,128
5,23744996,9271,128
5,23751543,9271,128
5,23787277,9271,128
5,23348506,8988,124
5,23757221,9273,128
5,23762362,9271,128
5,23760997,9271,128
5,23770601,9271,128
5,23750989,9273,128
5,24000085,9276,128
5,23731517,9271,128
5,23756768,9271,128
5,24069844,9271,128
5,23692958,9271,128
5,23026870,8988,124
5,23817562,9271,128
5,23786150,9271,128
5,23736062,9271,128
5,23807657,9271,128
5,23912846,9271,128
5,23699746,9271,128
5,23034033,8988,124
5,23761124,9133,126
5,23720003,9271,128
5,23765762,9271,128
5,23717135,9271,128
5,23965025,9272,128
5,23729804,9271,128
5,23777943,9271,128
5,23713773,9271,128
5,23039587,8988,124
5,23970611,9271,128
5,23596640,9271,128
5,23777148,9271,128
5,24790426,9271,128
5,23821413,9271,128
5,24577031,9271,128
5,24393316,9271,128
5,24229248,9271,128
5,23883436,9271,128
