OMNIKDTREE,EUCLIDEAN,MAXSEPARETED,25,1000,343852
k,time,count,disk
5,24522483,9271,128
5,24492967,9271,128
5,24308977,9271,128
5,24832826,9271,128
5,24866842,9271,128
5,24836117,9271,128
5,24701776,9271,128
5,24802240,9271,128
5,24867777,9271,128
5,24822811,9271,128
5,24807503,9271,128
5,24762758,9271,128
5,24841031,9271,128
5,24984804,9271,128
5,24790820,9271,128
5,24786622,9271,128
5,25040663,9271,128
5,24811007,9271,128
5,24757107,9271,128
5,24848261,9271,128
5,24753354,9271,128
5,24993874,9271,128
5,24771301,9272,128
5,25101878,9271,128
5,24742970,9271,128
5,24843064,9271,128
5,24830785,9271,128
5,24740482,9271,128
5,24783573,9271,128
5,24785135,9271,128
5,25093249,9271,128
5,25746200,9271,128
5,24765437,9271,128
5,24791600,9271,128
5,25036465,9271,128
5,24733011,9271,128
5,24832113,9271,128
5,24839082,9271,128
5,25015978,9271,128
5,24767085,9271,128
5,24810403,9273,128
5,24388083,9135,126
5,25055438,9271,128
5,24759245,9271,128
5,24797592,9271,128
5,24710925,9271,128
5,25040872,9271,128
5,24789134,9271,128
5,25046227,9271,128
5,24716941,9271,128
5,24830106,9271,128
5,24861110,9271,128
5,24725380,9271,128
5,24823430,9271,128
5,24926543,9271,128
5,24945057,9271,128
5,25528433,9271,128
5,25237827,9271,128
5,25255654,9274,128
5,25213220,9271,128
5,25530878,9271,128
5,25251049,9271,128
5,25477985,9271,128
5,25277300,9271,128
5,25286341,9271,128
5,25315558,9271,128
5,25048703,9135,126
5,25207059,9271,128
5,25233233,9271,128
5,25260738,9271,128
5,25401718,9271,128
5,26290261,9271,128
5,24598893,9271,128
5,25027435,9271,128
5,24725300,9275,128
5,24921859,9271,128
5,24885266,9271,128
5,25205542,9271,128
5,24881218,9271,128
5,25000326,9271,128
5,24953095,9271,128
5,25138737,9271,128
5,24912523,9271,128
5,25005843,9271,128
5,24918331,9271,128
5,25121006,9276,128
5,24935621,9271,128
5,24955917,9271,128
5,24966960,9271,128
5,25031080,9271,128
5,24966090,9271,128
5,24988915,9271,128
5,25202735,9273,128
5,25038073,9271,128
5,25185126,9271,128
5,25136582,9271,128
5,24856779,9271,128
5,25142696,9271,128
5,24753452,9271,128
5,25089177,9271,128
5,24894907,9271,128
5,24954830,9273,128
5,25056837,9271,128
5,24999874,9271,128
5,25015442,9271,128
5,25005273,9271,128
5,24878181,9271,128
5,24954496,9271,128
5,25154737,9271,128
5,25020206,9271,128
5,24835526,9271,128
5,25172113,9271,128
5,24947575,9271,128
5,25884538,9271,128
5,25186704,9271,128
5,24937400,9272,128
5,25025465,9273,128
5,24932675,9271,128
5,25221851,9271,128
5,24812988,9271,128
5,25011902,9271,128
5,24975541,9271,128
5,25155144,9271,128
5,24988070,9271,128
5,24981229,9271,128
5,25176840,9271,128
5,24981194,9271,128
5,24864330,9272,128
5,24952351,9271,128
5,25041437,9271,128
5,24987585,9271,128
5,24929820,9271,128
5,25152450,9271,128
5,24802598,9271,128
5,24949189,9271,128
5,25252175,9271,128
5,24973540,9271,128
5,24933603,9271,128
5,24986197,9271,128
5,25133460,9271,128
5,24818441,9271,128
5,24947994,9271,128
5,24576836,9135,126
5,25160944,9271,128
5,24946093,9271,128
5,24939398,9271,128
5,24939098,9271,128
5,24979438,9271,128
5,24905789,9271,128
5,24903299,9271,128
5,24989063,9271,128
5,24888357,9271,128
5,24897841,9271,128
5,25688588,9271,128
5,25219080,9271,128
5,24910205,9271,128
5,24880676,9271,128
5,25258449,9271,128
5,24898229,9271,128
5,24934597,9271,128
5,24872072,9271,128
5,24966075,9271,128
5,24820107,9273,128
5,25131541,9274,128
5,24905584,9276,128
5,25227771,9271,128
5,24855933,9271,128
5,25026617,9271,128
5,24971228,9271,128
5,24949085,9271,128
5,25046631,9271,128
5,25124430,9271,128
5,24987614,9271,128
5,24946424,9271,128
5,24901195,9271,128
5,25141204,9271,128
5,24893492,9271,128
5,24875477,9271,128
5,24940584,9271,128
5,25137216,9271,128
5,24944449,9271,128
5,24904411,9271,128
5,24928117,9271,128
5,25121819,9271,128
5,24917232,9271,128
5,25094484,9271,128
5,24954558,9271,128
5,24962689,9271,128
5,25175351,9271,128
5,24893002,9271,128
5,24958596,9271,128
5,25010446,9271,128
5,24858994,9271,128
5,24929522,9271,128
5,26324815,9271,128
5,24944469,9271,128
