OMNIKDTREE,EUCLIDEAN,PCA,25,1000,450263
k,time,count,disk
5,24276616,9271,128
5,22209070,8557,118
5,23943666,9271,128
5,23957632,9271,128
5,23983643,9271,128
5,24537187,9271,128
5,24473770,9271,128
5,24076196,9205,127
5,24329567,9271,128
5,24523536,9271,128
5,24310230,9271,128
5,24324613,9271,128
5,24318796,9271,128
5,24466051,9271,128
5,24244962,9271,128
5,24317686,9271,128
5,24426051,9271,128
5,24998678,9271,128
5,24524702,9271,128
5,24401969,9271,128
5,24385049,9272,128
5,24618800,9271,128
5,20374998,7694,106
5,24683850,9271,128
5,24713502,9271,128
5,24713049,9271,128
5,24955771,9271,128
5,24694943,9271,128
5,24716951,9271,128
5,24711816,9271,128
5,24707526,9271,128
5,24717358,9271,128
5,24934295,9271,128
5,24617965,9271,128
5,24902156,9271,128
5,24687910,9272,128
5,24640980,9271,128
5,18936476,7041,97
5,24642099,9271,128
5,24775710,9271,128
5,21724539,8195,113
5,14247381,5379,74
5,24757237,9271,128
5,24662489,9271,128
5,24680254,9271,128
5,15400481,5809,80
5,24419299,9133,126
5,24675386,9271,128
5,24900681,9271,128
5,24671230,9271,128
5,24619320,9275,128
5,24854616,9271,128
5,24642251,9271,128
5,24717195,9271,128
5,24664602,9276,128
5,24699998,9273,128
5,24994167,9271,128
5,24681171,9271,128
5,19083482,7187,99
5,24483320,9205,127
5,23683050,8918,123
5,24913022,9271,128
5,23955822,8990,124
5,24690327,9275,128
5,19990462,7547,104
5,24640460,9271,128
5,18878287,7111,98
5,24604331,9271,128
5,24938010,9271,128
5,24737296,9271,128
5,24766991,9272,128
5,24720583,9271,128
5,24649130,9271,128
5,24927439,9271,128
5,17176346,6467,89
5,24660483,9271,128
5,24692846,9273,128
5,24805247,9271,128
5,24593127,9271,128
5,24838266,9271,128
5,24633209,9271,128
5,24683437,9271,128
5,24666238,9271,128
5,24859220,9271,128
5,24290443,9133,126
5,19070153,7183,99
5,24812626,9273,128
5,24646760,9271,128
5,24665056,9271,128
5,24913752,9271,128
5,24881141,9271,128
5,24716985,9271,128
5,18500176,6968,96
5,24808326,9275,128
5,24628525,9271,128
5,24663619,9272,128
5,24914918,9271,128
5,24664960,9271,128
5,24676766,9271,128
5,24684244,9271,128
5,24880054,9271,128
5,20783721,7833,108
5,24668957,9205,127
5,24663114,9271,128
5,24678789,9271,128
5,24719819,9271,128
5,25007449,9271,128
5,24730862,9271,128
5,24653557,9271,128
5,24697457,9272,128
5,24930661,9271,128
5,24628752,9271,128
5,24705149,9271,128
