OMNIKDTREE,EUCLIDEAN,RANDOM,25,1000,139027
k,time,count,disk
5,23658176,9271,128
5,22036228,8699,120
5,23381062,9271,128
5,23495313,9271,128
5,23409677,9271,128
5,23364182,9271,128
5,23335153,9271,128
5,23373193,9271,128
5,23520911,9271,128
5,23387648,9271,128
5,23574890,9271,128
5,23327719,9271,128
5,23325416,9272,128
5,23388167,9271,128
5,23471079,9271,128
5,23372573,9271,128
5,23458615,9271,128
5,23269626,9271,128
5,23324436,9271,128
5,23347759,9271,128
5,23598536,9272,128
5,23292272,9271,128
5,20560175,7760,107
5,23300563,9271,128
5,23331944,9271,128
5,23434687,9271,128
5,23399802,9271,128
5,23271223,9271,128
5,23581304,9271,128
5,23300044,9271,128
5,23318981,9271,128
5,23433881,9271,128
5,23311168,9271,128
5,23305439,9271,128
5,23616422,9271,128
5,23388015,9271,128
5,23103250,9271,128
5,19888783,7977,110
5,23173904,9271,128
5,23294183,9271,128
5,21887463,8628,119
5,17723404,6968,96
5,23536885,9271,128
5,23474725,9271,128
5,23177379,9271,128
5,23448035,9274,128
5,23495756,9205,127
5,23660006,9271,128
5,23687255,9271,128
5,23628226,9271,128
5,23624591,9273,128
5,23683602,9271,128
5,23910093,9271,128
5,23613084,9271,128
5,23364352,9133,126
5,23680685,9271,128
5,23721539,9271,128
5,23697358,9271,128
5,19221789,7544,104
5,23978653,9273,128
5,22324707,8772,121
5,23671789,9271,128
5,22702664,8917,123
5,23669914,9272,128
5,23954359,9271,128
5,23606272,9271,128
5,19002017,7112,98
5,23622642,9271,128
5,23673399,9271,128
5,23659420,9271,128
5,23487504,9133,126
5,23621677,9271,128
5,23599638,9271,128
5,23828400,9271,128
5,18467097,7256,100
5,23648361,9271,128
5,23624909,9271,128
5,23624406,9272,128
5,23696151,9271,128
5,23901915,9271,128
5,23639439,9271,128
5,23662085,9271,128
5,23665257,9271,128
5,23695756,9271,128
5,23667503,9205,127
5,18131592,7113,98
5,23612644,9271,128
5,23627482,9271,128
5,23628626,9276,128
5,23711635,9271,128
5,23967354,9271,128
5,23601478,9272,128
5,20528423,8053,111
5,22081756,8699,120
5,23684778,9271,128
5,23632200,9272,128
5,23946746,9271,128
5,23624475,9271,128
5,23663517,9271,128
5,23637982,9271,128
5,23925139,9271,128
5,21376641,8412,116
5,23649027,9273,128
5,23570604,9271,128
5,23647421,9271,128
5,23635688,9271,128
5,23587642,9273,128
5,23846824,9271,128
5,23757907,9271,128
5,23600324,9272,128
5,24562914,9271,128
5,23681641,9271,128
5,23674008,9271,128
5,23791626,9271,128
5,23761752,9272,128
5,23576372,9271,128
5,22321230,8772,121
5,23641580,9271,128
5,23609164,9271,128
5,23937515,9271,128
5,23636592,9271,128
5,23682786,9271,128
5,23640510,9271,128
5,23651701,9271,128
5,23640204,9271,128
5,23906630,9273,128
5,23203574,9133,126
5,22857455,8988,124
5,23607572,9271,128
5,23629280,9271,128
5,23650852,9274,128
5,23910802,9271,128
5,22077023,8699,120
5,23621472,9271,128
5,23574162,9272,128
5,17681426,6964,96
5,23951633,9273,128
5,23588312,9276,128
5,23265937,9133,126
5,23474830,9133,126
5,23535923,9272,128
5,23593976,9272,128
5,18069895,7112,98
5,23626821,9271,128
5,23684069,9205,127
5,23629277,9271,128
5,23582597,9271,128
5,23807702,9272,128
5,23717168,9273,128
5,23617652,9271,128
5,23647878,9271,128
5,23372714,9205,127
5,23675980,9271,128
5,23655017,9271,128
5,24659623,9271,128
5,23734532,9271,128
5,24450677,9271,128
5,24017911,9271,128
5,24466899,9272,128
5,23516424,9205,127
5,23958124,9271,128
5,23991202,9271,128
5,19644045,7616,105
5,20446522,7977,110
5,20653201,7833,108
5,24493588,9271,128
5,24530598,9271,128
5,23886023,9133,126
5,24799507,9271,128
5,24457096,9205,127
5,24687203,9205,127
5,24678096,9271,128
5,24906595,9271,128
5,24723054,9276,128
5,24796640,9274,128
5,23414414,8700,120
5,24739157,9271,128
5,24753351,9273,128
5,21207946,7910,109
5,24732840,9271,128
5,24711451,9271,128
5,24941588,9271,128
5,24487571,9133,126
5,24741373,9273,128
5,24831946,9271,128
5,24956936,9271,128
5,23436994,8772,121
5,24789848,9271,128
5,24780415,9273,128
5,24770882,9271,128
5,25014352,9271,128
5,24820354,9271,128
5,24557032,9205,127
5,24919135,9271,128
5,24868731,9271,128
5,24757118,9271,128
5,25830417,9271,128
5,24818144,9271,128
5,24932176,9271,128
5,24357738,9133,126
5,24779094,9271,128
5,24769623,9271,128
5,24855412,9271,128
5,24771901,9271,128
5,24897549,9271,128
5,24850738,9271,128
5,24766339,9271,128
5,24993636,9271,128
5,24672955,9271,128
5,23159149,8699,120
5,24678514,9271,128
5,24838996,9272,128
5,20457999,7689,106
5,25117410,9271,128
5,24788452,9271,128
5,24776235,9271,128
5,24944405,9271,128
5,24794106,9271,128
5,24785568,9271,128
5,24783914,9271,128
5,18753811,7040,97
5,24970566,9271,128
5,25447879,9271,128
5,25461204,9271,128
5,25228145,9271,128
5,25392388,9271,128
5,25180920,9271,128
5,25561447,9271,128
5,25165009,9275,128
5,25264246,9272,128
5,25234195,9271,128
5,25447187,9271,128
5,25210307,9271,128
5,25303695,9271,128
5,25243860,9271,128
5,21193682,7689,106
5,25216871,9271,128
5,25349767,9271,128
5,25435038,9271,128
5,24865810,9271,128
5,24730226,9271,128
5,24997114,9271,128
5,23952248,8917,123
5,24842978,9205,127
5,21005532,7837,108
5,24989168,9271,128
5,18628648,6964,96
5,25166310,9271,128
5,24915961,9271,128
5,22614239,8412,116
5,25063497,9272,128
5,24913396,9271,128
5,24987027,9205,127
5,24970612,9271,128
5,24976969,9271,128
5,22042406,8197,113
5,24920596,9271,128
5,25260862,9272,128
5,24955997,9271,128
5,25020308,9271,128
5,25228584,9276,128
5,24847439,9271,128
5,24649428,9133,126
5,24954581,9271,128
5,24942832,9271,128
5,24883493,9271,128
5,24981734,9271,128
5,19237657,7112,98
5,24963539,9271,128
5,24627438,9133,126
5,24976855,9271,128
5,24949759,9271,128
5,25267300,9276,128
5,24847685,9273,128
5,24996039,9271,128
5,24910420,9271,128
5,25279568,9271,128
5,21270491,7977,110
5,25088574,9271,128
5,24779371,9205,127
5,25787144,9271,128
5,24969985,9271,128
5,25228070,9271,128
5,24912045,9272,128
5,24899951,9271,128
5,25297889,9271,128
5,22832117,8557,118
5,24665798,9133,126
5,24966292,9271,128
5,24969727,9271,128
5,25010076,9271,128
5,25191098,9271,128
5,25107824,9271,128
5,24939205,9271,128
5,24977963,9271,128
5,24969873,9271,128
5,25035508,9271,128
5,25005899,9272,128
