OMNIKDTREE,EUCLIDEAN,SSS,25,1000,368438
k,time,count,disk
5,24379233,9271,128
5,24299943,9275,128
5,23982268,9206,127
5,24207406,9271,128
5,24180107,9271,128
5,24226309,9271,128
5,24219266,9271,128
5,24371043,9271,128
5,24159125,9271,128
5,24178309,9271,128
5,24297757,9271,128
5,24485457,9273,128
5,24612708,9272,128
5,24293452,9271,128
5,24128530,9271,128
5,24279462,9274,128
5,24633594,9272,128
5,24517782,9271,128
5,25738881,9271,128
5,24524100,9271,128
5,24345858,9205,127
5,24639222,9271,128
5,20110390,7626,105
5,24541853,9271,128
5,24481755,9271,128
5,24544984,9271,128
5,24600591,9271,128
5,24526761,9271,128
5,24651439,9271,128
5,24510309,9271,128
5,24484454,9271,128
5,24838336,9271,128
5,24587369,9271,128
5,24497508,9271,128
5,24667738,9271,128
5,24699841,9271,128
5,24520810,9271,128
5,15790448,5980,82
5,24666633,9271,128
5,24452479,9271,128
5,21086715,7984,110
5,15669044,5902,81
5,24486496,9271,128
5,24633391,9271,128
5,24484594,9271,128
5,24372271,9205,127
5,24643485,9272,128
5,24565971,9271,128
5,24744427,9271,128
5,24511611,9271,128
5,24544688,9273,128
5,24569705,9271,128
5,24587076,9271,128
5,24533949,9271,128
5,24618473,9274,128
5,24467298,9271,128
5,24551671,9271,128
5,24516695,9271,128
5,20474836,7696,106
5,24264235,9205,127
5,23154750,8773,121
5,25719280,9271,128
5,22796641,8631,119
5,24504549,9271,128
5,24654600,9271,128
5,24503778,9271,128
5,17499636,6616,91
5,24514290,9271,128
5,24628115,9271,128
5,24530892,9271,128
5,22663052,8487,117
5,24452451,9271,128
5,24516182,9271,128
5,24497168,9271,128
5,18309206,6833,94
5,24448054,9271,128
5,24311221,9205,127
5,24533253,9272,128
5,24675033,9271,128
5,24539298,9271,128
5,24553797,9271,128
5,24745867,9271,128
5,24506286,9271,128
5,24590170,9271,128
5,24503299,9205,127
5,16388909,6192,85
5,24500931,9271,128
5,24527090,9271,128
5,24664333,9271,128
5,24582142,9271,128
5,24513845,9271,128
5,24712458,9272,128
5,18805816,7119,98
5,24705226,9276,128
5,24468261,9271,128
5,24531934,9271,128
5,24696429,9271,128
5,24465212,9271,128
5,24516256,9271,128
5,24681980,9271,128
5,24509298,9271,128
5,21082458,7983,110
5,24157223,9061,125
5,24478480,9271,128
5,25593137,9271,128
5,24485346,9271,128
5,24929850,9271,128
5,24488352,9271,128
5,24519744,9271,128
5,24373978,9205,127
5,24519496,9271,128
5,24776961,9271,128
5,24510269,9273,128
5,23742535,8993,124
5,24507913,9271,128
5,24544895,9271,128
5,21914423,8199,113
5,24520143,9273,128
5,24538794,9271,128
5,24563905,9271,128
5,24699388,9272,128
5,24552552,9271,128
5,24662864,9272,128
5,24523622,9271,128
5,24539802,9271,128
5,24682787,9271,128
5,24348004,9205,127
5,22221915,8415,116
5,24671586,9271,128
5,24702819,9271,128
5,24478213,9271,128
5,24570185,9271,128
5,24349832,9205,127
5,24718955,9271,128
5,24478519,9272,128
5,24667233,9273,128
5,24798643,9271,128
5,24511336,9272,128
5,24352994,9205,127
5,24335829,9205,127
5,24660444,9271,128
5,24539292,9272,128
5,15728066,5906,81
5,24491797,9271,128
5,24561410,9271,128
5,24559998,9271,128
5,25958570,9271,128
5,24477884,9274,128
5,24683715,9272,128
5,24519608,9271,128
5,24529369,9271,128
5,24515725,9273,128
5,24794258,9271,128
5,24525470,9271,128
5,24484437,9271,128
5,24678117,9271,128
5,24540683,9273,128
5,24734631,9271,128
5,24359615,9205,127
5,24744888,9273,128
5,24527230,9271,128
5,24558206,9271,128
5,20423773,7695,106
5,19355811,7267,100
5,18034612,6835,94
5,24550221,9271,128
5,24552247,9271,128
5,24748720,9271,128
5,24517769,9271,128
