OMNIKDTREE,EUCLIDEAN,WDR,25,1000,311477
k,time,count,disk
5,23846259,9271,128
5,23812124,9271,128
5,23682619,9271,128
5,23815777,9271,128
5,23835553,9271,128
5,23708786,9271,128
5,23641798,9271,128
5,23829837,9271,128
5,23610003,9271,128
5,23718906,9271,128
5,23832106,9271,128
5,23517921,9273,128
5,23808221,9271,128
5,23528920,9274,128
5,23686520,9271,128
5,23851568,9271,128
5,23580616,9271,128
5,23749178,9271,128
5,23685771,9271,128
5,23737531,9271,128
5,23669824,9272,128
5,23729371,9271,128
5,11602500,4578,63
5,23649655,9271,128
5,23706026,9271,128
5,23759141,9271,128
5,23738385,9271,128
5,23627611,9271,128
5,23662710,9271,128
5,23805680,9271,128
5,23714300,9271,128
5,23738785,9271,128
5,23782089,9271,128
5,23651072,9271,128
5,23792515,9271,128
5,23650509,9271,128
5,23787803,9271,128
5,21858032,8555,118
5,23621806,9271,128
5,25025273,9271,128
5,22067958,8627,119
5,20848759,8124,112
5,23627977,9271,128
5,23725787,9272,128
5,23737740,9271,128
5,23654077,9271,128
5,23754127,9271,128
5,23633608,9271,128
5,23873812,9271,128
5,23656185,9271,128
5,23763535,9271,128
5,23692167,9271,128
5,23811996,9271,128
5,23790836,9271,128
5,23661154,9271,128
5,23663935,9271,128
5,23571990,9271,128
5,23794514,9271,128
5,19566809,7688,106
5,23598073,9274,128
5,23218731,9061,125
5,23598609,9271,128
5,23605748,9205,127
5,23767239,9271,128
5,23662440,9271,128
5,23637200,9271,128
5,20506147,8049,111
5,23833755,9271,128
5,23706247,9271,128
5,23723258,9271,128
5,23747747,9272,128
5,23687339,9271,128
5,23624881,9271,128
5,23632852,9271,128
5,11839518,4650,64
5,23754314,9271,128
5,23611089,9273,128
5,23775654,9271,128
5,23642701,9271,128
5,23796475,9271,128
5,23771575,9271,128
5,23697222,9271,128
5,23650876,9271,128
5,25087320,9271,128
5,23589727,9273,128
5,21414947,8411,116
5,23816444,9271,128
5,23818193,9271,128
5,23639025,9271,128
5,23776531,9271,128
5,23758164,9271,128
5,23696682,9271,128
5,21291127,8339,115
5,23725586,9271,128
5,23497084,9271,128
5,23722626,9271,128
5,23843689,9271,128
5,23692701,9271,128
5,23791555,9271,128
5,23733240,9271,128
5,23667339,9271,128
5,22211452,8699,120
5,23180463,9061,125
5,23513346,9271,128
5,23737613,9271,128
5,23744739,9271,128
5,23736038,9271,128
5,23678489,9271,128
5,23657718,9271,128
5,23664299,9273,128
5,23815934,9271,128
5,23819025,9271,128
5,23668195,9271,128
5,23689444,9271,128
5,23632885,9271,128
5,23764644,9271,128
5,22228825,8699,120
5,23651150,9271,128
5,23682597,9271,128
5,23748390,9271,128
5,23618306,9271,128
5,23731617,9271,128
5,23727065,9271,128
5,23711249,9271,128
5,23740617,9271,128
5,23742029,9271,128
5,25011568,9271,128
5,22628853,8844,122
5,23587039,9271,128
5,23720343,9271,128
5,23679019,9274,128
5,23866416,9271,128
5,23768628,9271,128
5,23636228,9271,128
5,23747054,9271,128
5,23500020,9205,127
5,23722355,9271,128
5,23813181,9271,128
5,23773918,9271,128
5,23589354,9272,128
5,23757876,9271,128
5,23675244,9272,128
5,20362896,7977,110
5,23682508,9271,128
5,23762784,9271,128
5,23661567,9271,128
5,23813854,9271,128
5,23639120,9271,128
5,23670219,9271,128
5,23769472,9271,128
5,23782813,9271,128
5,23667956,9272,128
5,23705416,9271,128
5,23716890,9271,128
5,23799560,9271,128
5,23615369,9271,128
5,23679608,9271,128
5,23687108,9271,128
5,23679447,9271,128
5,23824349,9271,128
5,23721537,9271,128
5,23732587,9271,128
5,20142401,7905,109
5,11621795,4578,63
5,11885476,4650,64
5,23682469,9271,128
5,23672312,9271,128
5,23773960,9271,128
5,23712350,9271,128
5,23607035,9271,128
5,23713759,9274,128
5,24935928,9271,128
5,23737112,9271,128
5,23746928,9271,128
5,23646338,9271,128
5,22652034,8844,122
5,23611830,9271,128
5,23791935,9271,128
5,23763477,9274,128
5,23671576,9271,128
5,23873221,9271,128
5,23645961,9271,128
5,23775250,9272,128
5,23691005,9271,128
5,23544621,9271,128
5,23702529,9271,128
5,22531355,8773,121
5,23643221,9271,128
5,23588901,9271,128
5,23698543,9271,128
5,23647335,9271,128
5,23778556,9271,128
5,23660097,9272,128
5,23668782,9271,128
5,23768255,9271,128
5,23694362,9271,128
5,23665960,9271,128
5,23814875,9271,128
5,23709242,9271,128
5,23604745,9271,128
5,23748837,9271,128
5,23733592,9271,128
5,23741737,9271,128
5,23732835,9271,128
5,23689425,9271,128
5,23784189,9271,128
5,23620150,9271,128
5,23694677,9271,128
5,23669816,9271,128
5,23648447,9274,128
5,23801826,9271,128
5,23684416,9272,128
5,23637449,9271,128
5,23705410,9271,128
5,24879295,9271,128
5,23762615,9271,128
5,23798857,9271,128
5,23709191,9271,128
5,23847728,9271,128
5,23660138,9271,128
5,20121955,7905,109
5,23807634,9271,128
5,23734680,9271,128
5,23607403,9271,128
5,23784880,9271,128
5,23660040,9271,128
5,23735347,9271,128
5,23765181,9271,128
5,23671926,9271,128
5,23697252,9271,128
5,23709105,9271,128
5,23716023,9271,128
5,23655333,9271,128
5,23692318,9271,128
5,23737021,9271,128
5,21683425,8484,117
5,23741417,9271,128
5,23654672,9271,128
5,23678662,9271,128
5,23802050,9271,128
5,23842061,9271,128
5,23733106,9271,128
5,23766175,9276,128
5,23620993,9271,128
5,23711319,9271,128
5,23665530,9271,128
5,23525756,9205,127
5,23726974,9271,128
5,23777555,9271,128
5,21806717,8555,118
5,23776663,9271,128
5,23661650,9271,128
5,23759270,9271,128
5,23716632,9271,128
5,23855103,9271,128
5,22454012,8773,121
5,23780631,9271,128
5,23776779,9271,128
5,24988447,9271,128
5,23718260,9271,128
5,23709884,9272,128
5,23696834,9271,128
5,23700281,9271,128
5,23602327,9271,128
5,23561632,9271,128
5,23612968,9272,128
5,23823237,9271,128
5,20756503,8124,112
