PMTREE,EUCLIDEAN,CONVEX,2,1000,115310
k,time,count,disk
5,257136681,9338,153
5,248179018,9338,153
5,245230748,9338,153
5,245272723,9338,153
5,248546612,9338,153
5,245313951,9338,153
5,243067188,9338,153
5,243780043,9338,153
5,243356855,9338,153
5,245813798,9338,153
5,244095492,9338,153
5,244401335,9338,153
5,243114903,9338,153
5,247533767,9338,153
5,253941394,9338,153
5,253880149,9338,153
5,254566260,9338,153
5,256678321,9338,153
5,255144608,9338,153
5,255674180,9338,153
5,254638531,9338,153
5,256767879,9338,153
5,250159507,9159,151
5,253930709,9338,153
5,254467581,9338,153
5,257759001,9338,153
5,255303586,9338,153
5,256627397,9338,153
5,257366044,9338,153
5,257164911,9338,153
5,255842870,9338,153
5,253995763,9338,153
5,254345821,9338,153
5,254984963,9338,153
5,254635891,9338,153
5,257278135,9338,153
5,257861353,9338,153
5,253885734,9131,150
5,257755253,9338,153
5,257331582,9338,153
5,254566935,9245,152
5,254143956,9110,149
5,259380704,9338,153
5,258852793,9338,153
5,257898436,9338,153
5,253231103,9245,152
5,252742701,9338,153
5,254028949,9338,153
5,255975864,9338,153
5,258508890,9338,153
5,254564260,9338,153
5,256340740,9338,153
5,252935704,9338,153
5,255683277,9338,153
5,254571291,9338,153
5,255031570,9338,153
5,255910572,9338,153
5,253874370,9338,153
5,249858279,9112,149
5,254392379,9338,153
5,254468157,9338,153
5,259459452,9338,153
5,257578774,9338,153
5,259258426,9338,153
5,256653060,9338,153
5,259497176,9338,153
5,253810967,9177,149
5,257746335,9338,153
5,258536012,9338,153
5,258126228,9338,153
5,258538882,9338,153
5,257961535,9338,153
5,260733025,9338,153
5,257025140,9338,153
5,251011207,9138,150
5,255064771,9338,153
5,257207165,9338,153
5,256423612,9338,153
5,256631719,9338,153
5,257246661,9338,153
5,256753177,9338,153
5,256607568,9338,153
5,256726814,9338,153
5,256490686,9338,153
5,258276068,9338,153
5,252623207,9159,151
5,258894209,9338,153
5,256675609,9338,153
5,260216568,9338,153
5,261563224,9338,153
5,258719021,9338,153
5,257824478,9338,153
5,254580865,9224,151
5,257694116,9338,153
5,256138273,9338,153
5,257178214,9338,153
5,258267537,9338,153
5,256181076,9338,153
5,254468121,9338,153
5,256770118,9338,153
5,256758542,9338,153
5,253240951,9245,152
5,255786047,9338,153
5,254759375,9338,153
5,259821393,9338,153
5,255370230,9338,153
5,257009506,9338,153
5,255957405,9338,153
5,258504202,9338,153
5,256773706,9338,153
5,257124005,9338,153
5,256350769,9338,153
5,259273864,9338,153
5,255458830,9338,153
5,258538513,9338,153
5,256532272,9338,153
5,257700390,9245,152
5,257026667,9338,153
5,259620972,9338,153
5,256641530,9338,153
5,249750446,9338,153
5,246556607,9338,153
5,245748699,9338,153
5,245783506,9338,153
5,246854550,9338,153
5,245374908,9338,153
5,244915276,9338,153
5,242222042,9245,152
5,246636840,9338,153
5,245691197,9338,153
5,241919284,9338,153
5,243106429,9338,153
5,247415389,9338,153
5,244691371,9338,153
5,244720267,9338,153
5,243108206,9338,153
5,243935362,9338,153
5,245371175,9338,153
5,244245226,9338,153
5,244253350,9338,153
5,242291454,9338,153
5,245662332,9338,153
5,239529898,9131,150
5,246448577,9338,153
5,246004152,9338,153
5,246430439,9338,153
5,245302907,9338,153
5,244286183,9338,153
5,245429302,9338,153
5,247831127,9338,153
5,244304530,9338,153
5,245174380,9338,153
5,245674658,9338,153
5,248443987,9338,153
5,245817830,9338,153
5,247249381,9338,153
5,244204797,9338,153
5,246976235,9338,153
5,245052820,9338,153
5,244024441,9338,153
5,244372289,9338,153
5,245490300,9338,153
5,244327940,9245,152
5,238028818,9159,151
5,241493465,9245,152
5,243648407,9338,153
5,246196651,9338,153
5,243923561,9338,153
5,243049231,9338,153
5,244651174,9338,153
5,245513619,9338,153
5,243954592,9338,153
5,244275348,9338,153
5,243573617,9338,153
5,245766364,9338,153
5,240315097,9217,151
5,244641138,9338,153
5,242690252,9338,153
5,244991240,9338,153
5,242868218,9338,153
5,243496320,9338,153
5,242918720,9338,153
5,242715903,9338,153
5,245409399,9338,153
5,245302953,9338,153
5,248331758,9338,153
5,242893135,9252,152
5,244478502,9338,153
5,243387580,9338,153
5,244874996,9338,153
5,245211670,9338,153
5,246803905,9338,153
5,243717419,9338,153
5,246578694,9338,153
5,243418730,9338,153
5,246889355,9338,153
5,244340668,9338,153
5,243261059,9338,153
5,245474577,9338,153
5,246812001,9338,153
5,247046409,9338,153
5,245444100,9338,153
5,245207266,9338,153
5,247256753,9338,153
5,244925423,9338,153
5,243757284,9338,153
5,243307273,9338,153
5,247102725,9338,153
5,244122792,9338,153
5,244392584,9338,153
5,242529235,9338,153
5,243609811,9338,153
5,245160256,9338,153
5,244445575,9338,153
5,244673611,9338,153
5,244426031,9338,153
5,247467491,9338,153
5,244449492,9338,153
5,243848088,9338,153
5,240783056,9338,153
5,241249270,9112,149
5,142271291,6469,98
5,244256115,9338,153
5,243176004,9338,153
5,243723606,9338,153
5,245198325,9338,153
5,242886591,9338,153
5,243947623,9338,153
5,243716810,9338,153
5,244294747,9338,153
5,243958374,9338,153
5,243519608,9338,153
5,243110892,9338,153
5,246658294,9338,153
5,243339492,9338,153
5,234624782,9011,147
5,242535809,9338,153
5,246602389,9338,153
5,243560506,9338,153
5,244707749,9338,153
5,243163688,9338,153
5,244690079,9338,153
5,241509801,9245,152
5,244022664,9338,153
5,242809734,9338,153
5,248527275,9338,153
5,244333434,9338,153
5,244126544,9338,153
5,243737574,9338,153
5,240503030,9245,152
5,245314924,9338,153
5,243442146,9338,153
5,241912959,9338,153
5,242716237,9338,153
5,245430243,9338,153
5,238409105,9159,151
5,241209797,9338,153
5,243925395,9338,153
5,244175098,9338,153
5,243600334,9338,153
5,243075019,9338,153
5,243692333,9338,153
5,246285248,9338,153
5,242778970,9338,153
5,241895637,9338,153
5,241595113,9338,153
5,245621796,9338,153
5,234605736,8946,144
5,242957178,9338,153
5,243124682,9338,153
5,244059388,9338,153
5,244052395,9338,153
5,243667068,9338,153
5,244101245,9338,153
5,244170146,9338,153
5,246181759,9338,153
5,243565426,9338,153
5,242356292,9338,153
5,244882199,9338,153
5,247076508,9338,153
5,244340384,9338,153
5,244600331,9338,153
5,243324284,9338,153
5,246506951,9338,153
5,242874756,9338,153
5,243226506,9338,153
5,242700013,9338,153
5,244767808,9338,153
5,243171676,9338,153
5,243415759,9338,153
5,244053654,9338,153
5,244664776,9338,153
5,241132270,9338,153
5,243126162,9338,153
5,243128792,9338,153
5,242859702,9338,153
5,244187102,9338,153
5,242113000,9338,153
5,243572994,9338,153
5,238453429,9133,150
5,244990330,9338,153
5,242769297,9338,153
5,243724456,9338,153
5,243458642,9338,153
5,242180430,9138,150
5,243563571,9338,153
5,244576155,9338,153
5,240821613,9338,153
5,245137520,9338,153
5,244140315,9338,153
5,241359100,9245,152
5,241817872,9245,152
5,245510579,9338,153
5,244155603,9338,153
5,244454422,9338,153
5,243623908,9338,153
5,243834930,9338,153
5,243837191,9252,152
5,241789024,9245,152
5,244975760,9338,153
5,242676844,9338,153
5,245469979,9338,153
5,238294412,9084,148
5,242250579,9338,153
5,243279413,9338,153
5,240341766,9131,150
5,243530341,9338,153
5,242643067,9338,153
5,242961390,9338,153
5,243729657,9338,153
5,242360714,9338,153
5,240902684,9338,153
5,241766748,9338,153
5,244196406,9338,153
5,241984378,9338,153
5,242248383,9338,153
5,242149730,9338,153
5,242231328,9338,153
5,243268959,9338,153
5,242259850,9338,153
5,241222722,9338,153
5,236704265,9110,149
5,244093503,9338,153
5,241732618,9338,153
5,243014123,9338,153
5,243079646,9338,153
5,244300001,9338,153
5,243545952,9338,153
5,242780308,9338,153
5,242756945,9338,153
5,244529555,9338,153
5,242650737,9338,153
5,243841150,9338,153
5,242974580,9338,153
5,244681978,9338,153
5,239623475,9217,151
5,243307120,9338,153
5,241910389,9332,152
5,243147191,9338,153
5,244686865,9338,153
5,238615951,9144,150
5,238556847,9131,150
5,242983829,9338,153
5,238561628,9084,148
5,242661361,9338,153
5,245194318,9338,153
5,243662091,9338,153
5,246070540,9338,153
5,244960788,9338,153
5,242706929,9338,153
5,243495775,9338,153
5,245867111,9338,153
5,242967379,9338,153
5,242728203,9338,153
5,242730609,9338,153
5,245374952,9338,153
5,242817020,9338,153
5,242645946,9338,153
5,242869661,9338,153
5,242822288,9338,153
5,245616956,9338,153
5,239332000,9084,148
5,247599734,9338,153
5,243566770,9338,153
5,243633300,9252,152
5,244290905,9338,153
5,244688268,9338,153
5,245341514,9338,153
5,245278189,9338,153
5,244128640,9338,153
5,241318252,9217,151
5,244445491,9338,153
5,243737422,9245,152
5,243784220,9338,153
5,245394651,9338,153
5,244523325,9338,153
5,246858092,9338,153
5,244945991,9338,153
5,238961282,9112,149
5,242528768,9338,153
5,243978708,9338,153
5,238930205,9114,149
5,241457474,9338,153
5,241654801,9338,153
5,242019989,9338,153
5,243244554,9338,153
5,237756429,9063,147
5,242150216,9338,153
5,244905412,9338,153
5,244458304,9338,153
5,245093807,9338,153
5,243039003,9338,153
5,244778635,9338,153
5,247547207,9338,153
5,243354501,9338,153
5,243487711,9338,153
5,243470133,9338,153
5,244724828,9338,153
5,242587719,9338,153
5,233740948,8993,145
5,242478538,9338,153
5,242196233,9245,152
5,244441388,9338,153
5,247832990,9338,153
5,244491028,9338,153
5,245119607,9338,153
5,246561825,9338,153
5,244876754,9338,153
5,242599825,9224,151
5,243723216,9338,153
5,246365595,9338,153
5,244732001,9338,153
5,243029773,9338,153
5,244363780,9338,153
5,246894094,9338,153
5,244514903,9338,153
5,242719352,9338,153
5,242013201,9245,152
5,247382371,9338,153
5,245298642,9338,153
5,244525329,9338,153
5,238193567,9058,149
5,246908776,9338,153
5,244988808,9338,153
5,243878467,9338,153
5,246024593,9338,153
5,246027404,9338,153
5,242815687,9338,153
5,244130797,9338,153
5,244370056,9338,153
5,242958123,9338,153
5,245983613,9338,153
5,244936054,9338,153
5,244119906,9338,153
5,242730526,9338,153
5,245626728,9338,153
5,243231859,9338,153
