PMTREE,EUCLIDEAN,GNAT,2,1000,432382
k,time,count,disk
5,246503783,9326,148
5,251752860,9326,148
5,241211238,9326,148
5,241583288,9326,148
5,243489114,9326,148
5,247263414,9326,148
5,241944412,9326,148
5,243301125,9326,148
5,244291645,9326,148
5,246866735,9326,148
5,243182162,9326,148
5,244292615,9326,148
5,243968908,9326,148
5,247946170,9326,148
5,248940576,9326,148
5,254455601,9326,148
5,254834816,9326,148
5,258103778,9326,148
5,255562108,9326,148
5,255847708,9326,148
5,255073718,9326,148
5,257523938,9326,148
5,251728655,9251,144
5,256221104,9326,148
5,253876011,9326,148
5,256836787,9326,148
5,254053247,9326,148
5,253536460,9326,148
5,254427553,9326,148
5,257550950,9326,148
5,254325056,9326,148
5,254447205,9326,148
5,253792399,9311,146
5,256986430,9326,148
5,255849952,9326,148
5,255488082,9326,148
5,251901094,9326,148
5,254257123,9258,145
5,254393880,9326,148
5,254040830,9326,148
5,251969708,9266,146
5,253064960,9203,142
5,256690719,9326,148
5,255580545,9326,148
5,255081049,9326,148
5,256267791,9326,148
5,253900216,9326,148
5,254317691,9326,148
5,254702423,9326,148
5,257551326,9326,148
5,253189789,9326,148
5,255649460,9326,148
5,253469557,9326,148
5,253220068,9326,148
5,255481605,9326,148
5,255702171,9326,148
5,255054061,9326,148
5,256616583,9326,148
5,252854109,9251,144
5,256363937,9326,148
5,255613563,9326,148
5,258926607,9326,148
5,253376430,9326,148
5,256134217,9326,148
5,257906627,9326,148
5,257870637,9326,148
5,252579071,9239,143
5,255153864,9326,148
5,254768509,9326,148
5,255696788,9326,148
5,255045233,9326,148
5,256830130,9326,148
5,256340508,9326,148
5,256655894,9326,148
5,253523316,9239,143
5,254923323,9326,148
5,253171358,9326,148
5,257070582,9326,148
5,255490461,9326,148
5,254767006,9326,148
5,253626557,9326,148
5,258043023,9326,148
5,255532092,9326,148
5,255313223,9326,148
5,255004564,9326,148
5,255265788,9251,144
5,257184087,9326,148
5,254724233,9326,148
5,256573460,9326,148
5,260062753,9326,148
5,256919275,9326,148
5,256446972,9326,148
5,251981130,9242,144
5,256694577,9326,148
5,254711499,9326,148
5,256778683,9326,148
5,254183611,9326,148
5,257232774,9326,148
5,255182375,9326,148
5,253806193,9326,148
5,253496225,9326,148
5,254915387,9307,146
5,255442823,9326,148
5,253656212,9326,148
5,255584269,9326,148
5,257216025,9326,148
5,255382868,9326,148
5,254642252,9326,148
5,257248513,9326,148
5,259293980,9326,148
5,256755930,9326,148
5,255354325,9326,148
5,255552556,9326,148
5,257376124,9326,148
5,256849122,9326,148
5,256373330,9323,147
5,254626373,9266,146
5,259859443,9326,148
5,257404454,9326,148
5,258507975,9326,148
5,255354265,9326,148
5,248461069,9326,148
5,246268554,9326,148
5,245972084,9326,148
5,243148239,9326,148
5,246566851,9326,148
5,244192673,9326,148
5,243180634,9273,147
5,244516232,9326,148
5,248129284,9326,148
5,244529977,9326,148
5,241879423,9326,148
5,243533881,9326,148
5,246745885,9326,148
5,243675625,9326,148
5,243954581,9326,148
5,243683174,9326,148
5,244536857,9326,148
5,245439787,9326,148
5,244706685,9326,148
5,243739544,9326,148
5,243064807,9326,148
5,242445778,9152,142
5,245183224,9326,148
5,245433331,9326,148
5,243643592,9326,148
5,246705503,9326,148
5,244948124,9326,148
5,245311263,9326,148
5,245216395,9326,148
5,246886926,9326,148
5,245706610,9326,148
5,245787782,9326,148
5,245851159,9326,148
5,246902132,9326,148
5,246537068,9326,148
5,244167732,9326,148
5,244422824,9326,148
5,247521250,9326,148
5,244552304,9326,148
5,244875176,9326,148
5,245284954,9326,148
5,242210897,9254,145
5,243520598,9263,145
5,239045977,9251,144
5,242929449,9326,148
5,244235771,9326,148
5,245519271,9326,148
5,242609109,9326,148
5,244272645,9326,148
