PMTREE,EUCLIDEAN,HFI,2,1000,129031
k,time,count,disk
5,214646747,9343,155
5,199830981,9343,155
5,197512202,9257,153
5,199904241,9343,155
5,201006226,9343,155
5,203635012,9343,155
5,199771927,9343,155
5,200026131,9343,155
5,200369155,9343,155
5,201349744,9343,155
5,201863021,9343,155
5,201672988,9343,155
5,199230262,9343,155
5,201183649,9343,155
5,200685883,9343,155
5,201536457,9343,155
5,200034977,9343,155
5,200660461,9343,155
5,201887344,9343,155
5,201300377,9343,155
5,201320225,9343,155
5,201434009,9343,155
5,25160973,2163,26
5,200945498,9343,155
5,200139103,9343,155
5,200736209,9343,155
5,202777765,9343,155
5,202090133,9343,155
5,201613792,9343,155
5,200731549,9343,155
5,201569877,9343,155
5,201091841,9343,155
5,200131943,9343,155
5,199813850,9343,155
5,201287358,9343,155
5,201049052,9343,155
5,202263335,9343,155
5,27279203,2320,30
5,200818043,9343,155
5,201137891,9343,155
5,25124382,2157,26
5,26482741,2291,28
5,200713562,9343,155
5,201492795,9343,155
5,201958055,9343,155
5,200626690,9343,155
5,200968398,9343,155
5,200512247,9343,155
5,201311094,9343,155
5,203327552,9343,155
5,198316662,9271,153
5,201476410,9343,155
5,200782502,9343,155
5,200278195,9343,155
5,201687058,9343,155
5,200764091,9343,155
5,201368346,9343,155
5,200148912,9343,155
5,28426775,2391,30
5,199946378,9343,155
5,38939983,2759,36
5,201186446,9343,155
5,44510667,3300,47
5,199097752,9276,154
5,201029740,9343,155
5,200159995,9343,155
5,32653937,2437,31
5,202623285,9343,155
5,200608933,9343,155
5,200480629,9343,155
5,197517947,9181,152
5,201303026,9343,155
5,202605709,9343,155
5,200507126,9343,155
5,38230539,2838,39
5,197104473,9150,151
5,200334448,9343,155
5,200709675,9343,155
5,202807630,9343,155
5,200969482,9343,155
5,200281187,9343,155
5,199222221,9268,154
5,201752076,9343,155
5,204650583,9343,155
5,200117067,9343,155
5,28075043,2385,31
5,202608076,9343,155
5,198931641,9276,154
5,200989609,9343,155
5,205381560,9343,155
5,200560792,9343,155
5,200311685,9343,155
5,35113530,2615,35
5,200135000,9343,155
5,201429773,9343,155
5,202838393,9343,155
5,200997162,9343,155
5,200521848,9343,155
5,201213046,9343,155
5,200970976,9343,155
5,202611205,9343,155
5,34655641,2580,34
5,200100270,9343,155
5,199572546,9343,155
5,201260165,9343,155
5,200685350,9343,155
5,203291520,9343,155
5,200952669,9343,155
5,199770526,9343,155
5,200684204,9343,155
5,202568998,9343,155
5,203854806,9343,155
5,200762101,9343,155
5,198164271,9289,154
5,200759128,9343,155
5,200368710,9343,155
5,28416285,2391,30
5,202844181,9343,155
5,201024343,9343,155
5,199902747,9343,155
5,201610642,9343,155
5,201287686,9343,155
5,202471103,9343,155
5,202382447,9343,155
5,200207848,9343,155
5,200853268,9343,155
5,194623584,9030,147
5,54328244,3961,56
5,202552946,9343,155
5,200493133,9343,155
5,200401668,9343,155
5,199434917,9343,155
5,200169195,9343,155
5,203134432,9343,155
5,200577364,9343,155
5,192008666,8899,144
5,195843789,9064,150
5,197100882,9114,151
5,203212903,9343,155
5,196809113,9167,152
5,198937182,9343,155
5,193694613,9001,146
5,23661331,2053,24
5,200743565,9343,155
5,203001392,9343,155
5,200520527,9343,155
5,201012286,9343,155
5,198930508,9305,154
5,196791734,9134,151
5,203461663,9343,155
5,201245950,9343,155
5,200563350,9343,155
5,202174068,9343,155
5,199356825,9276,154
5,202317194,9343,155
5,201988525,9343,155
5,199670094,9343,155
5,199996001,9343,155
5,200486588,9343,155
5,200819317,9276,154
5,200928462,9343,155
5,201524623,9343,155
5,44284400,3283,45
5,25810830,2208,28
5,32268686,2434,32
5,201052292,9343,155
5,200800876,9343,155
5,203051762,9343,155
5,200625862,9343,155
5,200786814,9343,155
5,194672151,9059,149
5,201056617,9343,155
5,203407799,9343,155
5,201214418,9343,155
5,198442607,9230,153
5,32734844,2456,31
5,200939528,9343,155
5,200443670,9343,155
5,191577985,8727,138
5,199483709,9343,155
5,201545978,9343,155
5,200323576,9343,155
5,200033991,9343,155
5,202738201,9343,155
5,200823190,9343,155
5,202704771,9343,155
5,23549419,2036,24
5,200979517,9343,155
5,200329308,9343,155
5,202041243,9343,155
5,202539775,9343,155
5,200994628,9343,155
5,197591437,9256,153
5,201760826,9343,155
5,202449496,9343,155
5,200247773,9343,155
5,200620409,9343,155
5,199582391,9343,155
5,202173892,9343,155
5,194855869,8948,145
5,201542863,9343,155
5,201041230,9343,155
5,200634625,9343,155
5,201191316,9343,155
5,203197504,9343,155
5,201623492,9343,155
5,201058316,9343,155
5,201981874,9343,155
5,200187136,9343,155
5,200898178,9276,154
5,198625808,9343,155
5,196078806,9147,151
5,192789946,8948,145
5,200286633,9343,155
5,201117878,9343,155
5,201899804,9343,155
5,202489347,9343,155
5,201809222,9343,155
5,202487117,9343,155
5,197551782,9266,154
5,28678927,2282,28
5,195246072,9068,149
5,201735383,9343,155
5,200861815,9343,155
5,200875598,9343,155
5,200582247,9343,155
5,203592327,9343,155
5,200930454,9343,155
5,196727830,9181,152
5,199468068,9343,155
5,200417473,9343,155
5,201535475,9343,155
5,200348559,9343,155
5,200569856,9343,155
5,201397187,9343,155
5,24191115,2079,25
5,199823832,9343,155
5,202806341,9343,155
5,200446441,9343,155
5,201961201,9343,155
5,200289909,9343,155
5,200778862,9343,155
5,132325062,7643,118
5,198988827,9343,155
5,190923712,8836,143
5,203011409,9343,155
5,48029181,3541,50
5,199833433,9343,155
5,202584189,9343,155
5,26250379,2257,28
5,200427123,9343,155
5,199127589,9268,154
5,200550778,9343,155
5,202183932,9343,155
5,204148759,9343,155
5,34963189,2611,33
5,201279552,9343,155
5,200386106,9343,155
5,200191133,9343,155
5,200061321,9343,155
5,201838304,9343,155
5,201076301,9343,155
5,201204264,9343,155
5,200023444,9343,155
5,201943124,9343,155
5,202936962,9343,155
5,201009301,9343,155
5,27494979,2331,30
5,200216126,9343,155
5,193526320,8970,146
5,200660391,9343,155
5,202595171,9343,155
5,200141399,9343,155
5,199790233,9343,155
5,201140406,9343,155
5,200768500,9343,155
5,203463804,9343,155
5,33970495,2545,35
5,202494628,9343,155
5,200435333,9343,155
5,201020633,9343,155
5,201652303,9343,155
5,201555612,9343,155
5,200468296,9343,155
5,200795765,9343,155
5,200293314,9343,155
5,199791436,9343,155
5,202083425,9314,154
5,201123664,9343,155
5,201937013,9343,155
5,202685287,9343,155
5,200654360,9343,155
5,202150432,9343,155
5,201542598,9343,155
5,200271118,9343,155
5,199516873,9343,155
5,201141545,9343,155
5,201560756,9343,155
5,200284176,9343,155
5,36406304,2720,35
5,199949442,9343,155
5,189156185,8643,140
5,201326394,9343,155
5,203551483,9343,155
5,28066189,2385,31
5,194334419,9080,150
5,201183142,9343,155
5,200475722,9343,155
5,201994633,9343,155
5,199332500,9238,153
5,59868665,4349,63
5,40855958,3031,42
5,199236418,9343,155
5,199957211,9332,154
5,200213649,9343,155
5,191302231,8868,144
5,202538662,9343,155
5,23646869,2036,24
5,41857311,3126,41
5,201540401,9343,155
5,39515905,2947,39
5,201304771,9343,155
5,24469374,2104,26
5,200647143,9343,155
5,204274879,9343,155
5,32744120,2434,32
5,200571440,9343,155
5,194209032,9001,147
5,201294068,9343,155
5,200516431,9343,155
5,203610789,9343,155
5,194635286,9059,149
5,200545729,9343,155
5,202464450,9343,155
5,202704999,9343,155
5,202124304,9343,155
5,201815164,9343,155
5,200249077,9343,155
5,201722346,9343,155
5,200661512,9343,155
5,202114314,9343,155
5,26913082,2291,28
5,200371524,9343,155
5,97895275,5539,80
5,199899796,9343,155
5,201761375,9343,155
5,201578824,9343,155
5,201160770,9343,155
5,201248969,9343,155
5,200112413,9343,155
5,192867633,8884,145
5,200640863,9343,155
5,202454909,9343,155
5,199872213,9343,155
5,199483954,9343,155
5,53570188,3937,53
5,200384553,9343,155
5,202826882,9343,155
5,201013417,9343,155
5,200220418,9343,155
5,23648434,2061,25
5,32191737,2426,30
5,201267882,9343,155
5,28052863,2376,30
5,200125636,9343,155
5,202195318,9343,155
5,198754767,9343,155
5,200543392,9343,155
5,200597996,9343,155
5,200001113,9343,155
5,202707856,9343,155
5,202166416,9343,155
5,201202118,9343,155
5,200998588,9343,155
5,201781466,9343,155
5,204071431,9343,155
5,200260505,9343,155
5,201831923,9343,155
5,200977807,9343,155
5,200653044,9343,155
5,202431148,9343,155
5,27993485,2367,30
5,202135067,9343,155
5,200008416,9343,155
5,22193545,1936,22
5,199780763,9343,155
5,202146661,9343,155
5,204575736,9343,155
5,200578886,9332,154
5,199862078,9343,155
5,33719823,2517,33
5,201723326,9343,155
5,34863171,2602,33
5,201524591,9343,155
5,202879764,9343,155
5,200998295,9343,155
5,200672744,9343,155
5,200150955,9343,155
5,23989612,2064,25
5,199463543,9343,155
5,195565277,9014,148
5,22160218,1936,22
5,199572272,9343,155
5,199551849,9343,155
5,201314982,9343,155
5,189036513,8671,136
5,40885010,3028,41
5,194571058,8981,146
5,201360006,9343,155
5,200247262,9343,155
5,201323990,9343,155
5,201413936,9343,155
5,203404331,9343,155
5,201365628,9343,155
5,193710439,9030,147
5,201110164,9343,155
5,201808042,9343,155
5,202733350,9343,155
5,201157119,9343,155
5,200174689,9343,155
5,199968851,9343,155
5,25804015,2208,28
5,192222241,8882,143
5,203013166,9343,155
5,200320275,9343,155
5,201310231,9343,155
5,200732900,9343,155
5,201008446,9343,155
5,23543304,2036,24
5,202329055,9343,155
5,191990242,8852,144
5,201435561,9343,155
5,200687088,9343,155
5,201624423,9343,155
5,203009208,9343,155
5,198361004,9305,154
5,200481991,9343,155
5,144777768,8507,134
5,199809370,9343,155
5,203889176,9343,155
5,201475242,9343,155
5,22145733,1936,22
5,202123456,9343,155
5,197339647,9163,152
5,198594528,9276,154
5,202900068,9343,155
5,199852105,9343,155
5,200032957,9343,155
5,201727056,9343,155
5,201192705,9343,155
5,203267716,9343,155
5,200569682,9343,155
5,201901973,9343,155
5,200590672,9343,155
5,200702560,9343,155
5,203022976,9343,155
5,202372052,9343,155
5,199997817,9343,155
5,201993880,9343,155
5,200732315,9343,155
5,202941432,9343,155
5,25301577,2163,26
5,199998829,9343,155
5,200516254,9343,155
5,202222570,9343,155
5,201872122,9343,155
5,203335738,9343,155
5,201750125,9343,155
5,195679689,9036,149
5,200993492,9343,155
5,200702228,9343,155
5,202108923,9343,155
5,110631257,6372,94
5,200146471,9343,155
5,201270305,9343,155
5,200721930,9343,155
5,198528771,9289,154
5,202960000,9343,155
5,199284808,9343,155
5,200715950,9343,155
5,186928939,8616,142
5,22138146,1936,22
5,199944082,9343,155
5,203586140,9343,155
5,199010828,9343,155
5,202150478,9343,155
5,200718786,9343,155
5,201300598,9343,155
5,203728554,9343,155
5,200529122,9343,155
5,199309576,9343,155
5,199727590,9343,155
5,199890074,9343,155
5,23926641,2064,25
5,202140695,9343,155
5,200952832,9343,155
5,199618067,9343,155
5,200361472,9343,155
5,201994159,9343,155
