PMTREE,EUCLIDEAN,IS,2,1000,216631
k,time,count,disk
5,222577651,9337,152
5,221156144,9337,152
5,219713535,9323,151
5,221362443,9337,152
5,223367915,9337,152
5,226353983,9337,152
5,222178049,9337,152
5,220762017,9337,152
5,221775682,9337,152
5,221802258,9337,152
5,222919353,9337,152
5,221932335,9337,152
5,219787451,9337,152
5,221327960,9337,152
5,223157653,9337,152
5,222180969,9337,152
5,221760689,9337,152
5,223150974,9337,152
5,223624477,9337,152
5,226024575,9337,152
5,221900337,9337,152
5,222749946,9337,152
5,63147447,3505,45
5,222661211,9337,152
5,222706549,9337,152
5,223765407,9337,152
5,221986074,9337,152
5,222063892,9337,152
5,222741103,9337,152
5,224350649,9337,152
5,222787560,9337,152
5,221397678,9337,152
5,222557066,9337,152
5,224192157,9337,152
5,221543752,9337,152
5,222292724,9337,152
5,221777026,9337,152
5,130656706,6455,92
5,224612385,9337,152
5,222535933,9337,152
5,30139209,1962,21
5,35397338,2306,27
5,222477457,9337,152
5,222585237,9337,152
5,223143061,9337,152
5,221038263,9337,152
5,221483204,9337,152
5,221352856,9337,152
5,221512979,9337,152
5,224165343,9337,152
5,220025535,9337,152
5,222510052,9337,152
5,222245318,9337,152
5,221538388,9337,152
5,224318323,9337,152
5,221484420,9337,152
5,221978578,9337,152
5,220856079,9337,152
5,71170636,4048,53
5,223587789,9326,151
5,131222018,6525,94
5,221999435,9337,152
5,123281802,5996,84
5,222268662,9337,152
5,223699793,9337,152
5,221056709,9337,152
5,29612131,1904,20
5,220544543,9337,152
5,220803676,9337,152
5,220952880,9337,152
5,223510678,9337,152
5,222142897,9337,152
5,221761882,9337,152
5,221901361,9337,152
5,71945494,4053,54
5,223586042,9337,152
5,221242051,9337,152
5,221744941,9337,152
5,221668917,9337,152
5,221745940,9337,152
5,222175673,9337,152
5,220920587,9337,152
5,223293161,9337,152
5,223521221,9337,152
5,223426989,9337,152
5,32941925,2128,24
5,222990194,9337,152
5,220673658,9337,152
5,221076958,9337,152
5,222817482,9337,152
5,223275417,9337,152
5,220681062,9337,152
5,36195850,2378,27
5,222267176,9337,152
5,223044579,9337,152
5,225059608,9337,152
5,222560898,9337,152
5,221848987,9337,152
5,222447285,9337,152
