PMTREE,EUCLIDEAN,KMEDOIDS,2,1000,377770
k,time,count,disk
5,232967129,9337,151
5,230763108,9314,150
5,228674092,9310,148
5,230535982,9337,151
5,232724234,9337,151
5,235757664,9337,151
5,231124099,9337,151
5,231446160,9337,151
5,233287441,9337,151
5,235186409,9337,151
5,232671338,9337,151
5,233340937,9337,151
5,231757867,9337,151
5,235590605,9337,151
5,232437735,9337,151
5,231062194,9333,150
5,232178656,9337,151
5,231182249,9314,150
5,234319678,9337,151
5,232584282,9337,151
5,229987577,9289,149
5,231717826,9337,151
5,15509864,1147,12
5,237909257,9337,151
5,239105606,9337,151
5,240226179,9337,151
5,240915221,9337,151
5,243955617,9337,151
5,243609068,9337,151
5,242904924,9337,151
5,242962670,9337,151
5,240631845,9289,149
5,245029036,9337,151
5,242636474,9337,151
5,243397573,9337,151
5,243449056,9337,151
5,242985288,9337,151
5,29656917,1658,21
5,242243441,9337,151
5,241904849,9337,151
5,26994778,1541,18
5,26932530,1487,19
5,242283247,9337,151
5,241790482,9337,151
5,240326765,9337,151
5,239638152,9289,149
5,241483313,9337,151
5,241197925,9337,151
5,241692924,9337,151
5,240948006,9337,151
5,239093932,9289,149
5,243348448,9337,151
5,240912371,9337,151
5,239023897,9337,151
5,238503825,9279,148
5,242524905,9337,151
5,242017879,9337,151
5,241722671,9337,151
5,25129094,1330,15
5,240443963,9289,149
5,67677997,3405,48
5,245091616,9337,151
5,77157958,4107,61
5,241775693,9289,149
5,242384521,9333,150
5,242745095,9337,151
5,35385316,2018,26
5,242929542,9337,151
5,242644765,9337,151
5,242224466,9337,151
5,239824137,9289,149
5,243855973,9337,151
5,241311249,9337,151
5,239594728,9337,151
5,36237905,2138,27
5,240693265,9337,151
5,244510447,9337,151
5,243616594,9337,151
5,243775114,9337,151
5,243334843,9337,151
5,243706258,9337,151
5,242346882,9337,151
5,242905517,9337,151
5,242455492,9337,151
5,241063958,9314,150
5,26481116,1376,17
5,244710994,9337,151
5,242497060,9337,151
5,242254767,9337,151
5,246052182,9337,151
5,243425320,9337,151
5,242820566,9337,151
5,28381145,1575,19
5,240220600,9314,150
5,241266657,9337,151
5,243509429,9337,151
5,241463130,9337,151
5,240931038,9337,151
5,241769506,9337,151
5,243713194,9337,151
5,240920283,9337,151
5,51177838,2404,32
5,239117985,9314,150
5,240026998,9337,151
5,244570285,9337,151
5,242907930,9337,151
5,240107991,9337,151
5,241167307,9337,151
5,241831689,9337,151
5,240480266,9314,150
5,243392353,9337,151
5,242185659,9337,151
5,244408635,9337,151
5,237599489,9227,148
5,240820723,9337,151
5,239863274,9337,151
5,24458893,1330,15
5,241242678,9337,151
5,243204981,9337,151
5,241039873,9337,151
5,242673582,9337,151
5,242429806,9337,151
5,243078422,9337,151
5,243959331,9337,151
5,239807841,9337,151
5,240579279,9337,151
5,237961255,9136,143
5,35707762,2099,27
5,241499902,9337,151
5,241800731,9337,151
5,240324163,9289,149
5,242108914,9337,151
5,241077922,9314,150
5,243673521,9314,150
5,242229043,9337,151
5,74732522,3830,52
5,244055373,9314,150
5,242313632,9314,150
5,243677876,9337,151
5,240243813,9279,148
5,243145885,9337,151
5,238099166,9162,144
5,8130494,751,7
5,242946598,9337,151
5,241722884,9337,151
5,244893995,9337,151
5,243180642,9337,151
5,241067322,9314,150
5,242348375,9289,149
5,245679075,9337,151
5,241943736,9337,151
5,241487358,9314,150
5,243398918,9337,151
5,243181680,9337,151
5,243082041,9337,151
5,242733915,9337,151
5,239000945,9333,150
5,238946789,9312,150
5,241723744,9337,151
5,239815829,9337,151
5,239694298,9337,151
5,240556155,9337,151
5,29069015,1630,20
5,25675539,1368,16
5,29204193,1609,20
5,255300091,9337,151
5,249873450,9337,151
5,254678270,9337,151
5,252945286,9337,151
5,253957233,9337,151
5,250467904,9281,148
5,251837096,9337,151
5,253708034,9337,151
5,254819546,9337,151
5,253203605,9314,150
5,38104441,2203,30
5,259623601,9337,151
5,256372616,9337,151
5,255741273,9289,149
5,255140181,9337,151
5,256362267,9337,151
5,254782649,9337,151
5,256572706,9314,150
5,255799524,9314,150
5,255467503,9337,151
5,256026455,9337,151
5,36465281,1962,24
5,252999092,9337,151
5,252282213,9337,151
5,251743004,9337,151
5,255457169,9337,151
5,253644669,9337,151
5,252119628,9314,150
5,257593589,9337,151
5,257197029,9337,151
5,255672786,9337,151
5,255940950,9337,151
5,254134871,9337,151
5,259847062,9337,151
5,249670588,9136,143
5,256333602,9337,151
5,254630493,9337,151
5,255150134,9337,151
5,254631099,9337,151
5,253618183,9289,149
5,254629972,9337,151
5,256537024,9337,151
5,256069924,9337,151
5,255151116,9314,150
5,254702546,9314,150
5,255282747,9306,149
5,255446404,9314,150
5,252607064,9136,143
5,252446227,9225,148
5,259630526,9337,151
5,257912222,9337,151
5,259429742,9337,151
5,257280736,9337,151
5,258336269,9337,151
5,251999340,9323,149
5,18923259,1249,14
