PMTREE,EUCLIDEAN,MAXSEPARETED,2,1000,189737
k,time,count,disk
5,242078106,9338,153
5,227340859,9338,153
5,226878943,9338,153
5,227494548,9338,153
5,230880333,9338,153
5,228734892,9338,153
5,226630468,9338,153
5,226863377,9338,153
5,227676097,9338,153
5,231226303,9338,153
5,229127213,9338,153
5,230205664,9338,153
5,227360623,9338,153
5,232365018,9338,153
5,229747428,9338,153
5,230043474,9338,153
5,231112541,9338,153
5,230666591,9338,153
5,227757589,9338,153
5,226070268,9338,153
5,226595776,9338,153
5,229380135,9338,153
5,225382238,9166,150
5,227468477,9338,153
5,227260241,9338,153
5,228549072,9338,153
5,230331453,9338,153
5,227492208,9338,153
5,229630104,9338,153
5,228682631,9338,153
5,229697881,9338,153
5,229977049,9338,153
5,228042064,9338,153
5,226656177,9338,153
5,228226357,9338,153
5,231364826,9338,153
5,226496911,9338,153
5,225445699,9218,151
5,228757446,9338,153
5,227154339,9338,153
5,227422024,9272,152
5,222728615,9076,148
5,229325616,9338,153
5,228055059,9338,153
5,231339198,9338,153
5,228262361,9338,153
5,228858146,9338,153
5,227533754,9338,153
5,229013829,9338,153
5,230034328,9338,153
5,227251272,9338,153
5,227329330,9338,153
5,226388110,9338,153
5,227835911,9338,153
5,228351020,9338,153
5,228212424,9338,153
5,229648445,9338,153
5,226430960,9338,153
5,224025598,9093,149
5,228156311,9338,153
5,228711297,9338,153
5,228692846,9338,153
5,231859540,9338,153
5,229830461,9338,153
5,228145937,9338,153
5,228664943,9338,153
5,224060587,9130,149
5,227932403,9338,153
5,227579516,9338,153
5,227596010,9338,153
5,228190544,9338,153
5,231283554,9338,153
5,229819004,9338,153
5,227084296,9338,153
5,225479161,9220,151
5,228263924,9338,153
5,229964619,9338,153
5,228354424,9338,153
5,228692763,9338,153
5,227377490,9338,153
5,227244105,9338,153
5,227753249,9338,153
5,229620534,9338,153
5,230408112,9338,153
5,231522489,9338,153
5,226786776,9220,151
5,229181121,9338,153
5,229106638,9338,153
5,226615939,9338,153
5,232919298,9338,153
5,230479288,9338,153
5,227495488,9338,153
5,225628958,9220,151
5,229799500,9338,153
5,226868678,9338,153
5,227767861,9338,153
5,225944525,9338,153
5,226389596,9338,153
5,229594343,9338,153
5,228039525,9338,153
5,226630712,9338,153
5,224346401,9220,151
5,230066473,9338,153
5,226860372,9338,153
5,228875620,9338,153
5,228308159,9338,153
5,228788344,9338,153
5,230838267,9338,153
5,229491344,9338,153
5,228734156,9338,153
5,229186484,9338,153
5,230840663,9338,153
5,228403895,9338,153
5,227273683,9338,153
5,230027004,9338,153
5,227839761,9338,153
5,229332455,9272,152
5,230164599,9338,153
5,228364685,9338,153
5,227145597,9338,153
5,229798459,9338,153
5,227424124,9338,153
5,226801695,9338,153
5,228129699,9338,153
5,228767800,9338,153
5,232045703,9338,153
5,227994777,9338,153
5,226963381,9272,152
5,228868848,9338,153
5,233072103,9338,153
5,228894530,9338,153
5,228598502,9338,153
5,228674959,9338,153
5,237259108,9338,153
5,236939946,9338,153
5,235624326,9338,153
5,239935914,9338,153
5,239935436,9338,153
5,241451789,9338,153
5,239830379,9338,153
5,238602706,9338,153
5,239812050,9338,153
5,237346341,9166,150
5,240505406,9338,153
5,240875658,9338,153
5,237722695,9338,153
5,241238107,9338,153
5,238997461,9338,153
5,239677897,9338,153
5,239895987,9338,153
5,240420676,9338,153
5,242908412,9338,153
5,243300692,9338,153
5,242009070,9338,153
5,240270240,9338,153
5,243962312,9338,153
5,240169043,9338,153
5,240765595,9338,153
5,241161803,9338,153
5,242438557,9338,153
5,239862466,9338,153
5,240530872,9338,153
5,237167384,9220,151
5,239540775,9220,151
5,237333407,9220,151
5,241574678,9338,153
5,241838794,9338,153
5,244131753,9338,153
5,240567421,9338,153
5,242206362,9338,153
5,240990017,9338,153
5,241633344,9338,153
5,243892619,9338,153
5,242150510,9338,153
5,243263234,9338,153
5,239588769,9221,150
5,245764955,9338,153
5,242118066,9338,153
5,240545301,9338,153
5,238922349,9338,153
5,242687676,9338,153
5,239695304,9338,153
5,240721079,9338,153
5,241468253,9338,153
5,244727951,9338,153
5,245071570,9338,153
5,240027565,9272,152
5,241042749,9338,153
5,242508662,9338,153
5,242096849,9338,153
5,242894708,9338,153
5,241732122,9338,153
5,241060714,9338,153
5,244375526,9338,153
5,239794469,9338,153
5,241418474,9338,153
5,239445237,9338,153
5,242739619,9338,153
5,244170076,9338,153
5,241999632,9338,153
5,243756822,9338,153
5,245087360,9338,153
5,240733782,9338,153
5,240714478,9338,153
5,240821063,9338,153
5,243672001,9338,153
5,239022489,9338,153
5,240612556,9338,153
5,239504797,9338,153
5,238087770,9338,153
5,239058755,9338,153
5,239489917,9338,153
5,240996863,9338,153
5,244409915,9338,153
5,244205965,9338,153
5,238542335,9338,153
5,242041825,9338,153
5,242432098,9338,153
5,242114882,9338,153
5,237718713,9338,153
5,233281385,9045,147
5,236573458,9207,149
5,242372275,9338,153
5,239412776,9338,153
5,241248288,9338,153
5,241253668,9338,153
5,239783451,9338,153
5,240792780,9338,153
5,239837068,9338,153
5,239328706,9338,153
5,240978435,9338,153
5,241888595,9338,153
5,240222299,9338,153
5,241974971,9338,153
5,240214062,9338,153
5,237628357,9220,151
5,239389328,9338,153
5,240719260,9338,153
5,238429219,9338,153
5,243484837,9338,153
5,240181576,9338,153
5,239755606,9338,153
5,237770462,9272,152
5,238625838,9338,153
5,239483372,9338,153
5,239134729,9338,153
5,239724296,9338,153
5,240154282,9338,153
5,243837355,9338,153
5,238260302,9272,152
5,240616617,9338,153
5,240197079,9338,153
5,241114475,9338,153
5,240189518,9338,153
5,241586047,9338,153
5,239715214,9272,152
5,243140297,9338,153
5,241245685,9338,153
5,240592894,9338,153
5,239537460,9338,153
5,241730267,9338,153
5,243813157,9338,153
5,242276788,9338,153
5,242592094,9338,153
5,240101312,9338,153
5,242855272,9338,153
5,239242203,9338,153
5,231867733,9030,146
5,240007611,9338,153
5,240584915,9338,153
5,241083755,9338,153
5,241203090,9338,153
5,240839538,9338,153
5,245112388,9338,153
5,239234691,9338,153
5,241615160,9338,153
5,239479641,9338,153
5,239730646,9338,153
5,243946311,9338,153
5,239549248,9338,153
5,240377545,9338,153
5,240443706,9338,153
5,239169060,9338,153
5,237846019,9338,153
5,240181990,9338,153
5,239375520,9338,153
5,242538124,9338,153
5,240138329,9338,153
5,238585073,9338,153
5,240713871,9338,153
5,243138453,9338,153
5,240347458,9338,153
5,240969862,9338,153
5,242558363,9338,153
5,243890179,9338,153
5,239991228,9338,153
5,240356522,9338,153
5,240733625,9338,153
5,238914881,9338,153
5,239147430,9272,152
5,240046041,9338,153
5,240970417,9338,153
5,238341272,9338,153
5,242079625,9338,153
5,236016199,9220,151
5,241007891,9338,153
5,242506124,9338,153
5,242276440,9338,153
5,242202254,9338,153
5,239113666,9338,153
5,238532640,9272,152
5,240837161,9272,152
5,241063200,9338,153
5,240173984,9338,153
5,240785711,9338,153
5,238585227,9338,153
5,241024861,9338,153
5,238332370,9272,152
5,237817140,9272,152
5,240320944,9338,153
5,241500761,9272,152
5,240900846,9338,153
5,231913226,9045,147
5,239622556,9338,153
5,241908321,9338,153
5,234783754,9166,150
5,239791090,9338,153
5,241206986,9338,153
5,241600793,9338,153
5,240853134,9338,153
5,240672173,9338,153
5,238419486,9338,153
5,239081712,9338,153
5,243230849,9338,153
5,241629713,9338,153
5,241347861,9338,153
5,239921526,9338,153
5,243402639,9338,153
5,243603686,9338,153
5,242717488,9338,153
5,238456162,9338,153
5,236613236,9093,149
5,241326702,9338,153
5,239748158,9272,152
5,241024900,9338,153
5,242367175,9338,153
5,239155110,9338,153
5,238166733,9338,153
5,241666562,9338,153
5,239149498,9338,153
5,242897577,9338,153
5,240570269,9338,153
5,241546275,9338,153
5,238901113,9338,153
5,241666251,9338,153
5,236973769,9272,152
5,241347697,9338,153
5,238808117,9338,153
5,242462384,9338,153
5,239990819,9338,153
5,237283598,9220,151
5,234831712,9166,150
5,242249287,9338,153
5,235050358,9093,149
5,240278340,9338,153
5,240044531,9338,153
