PMTREE,EUCLIDEAN,MAXVARIANCE,2,1000,86490
k,time,count,disk
5,255641942,9300,135
5,257481126,9300,135
5,253591901,9300,135
5,256719513,9300,135
5,256507224,9300,135
5,257609692,9300,135
5,257374170,9300,135
5,256601038,9300,135
5,255656790,9300,135
5,256372453,9300,135
5,255024584,9300,135
5,256769617,9300,135
5,256894072,9300,135
5,256014091,9300,135
5,255848967,9300,135
5,256935400,9300,135
5,254993126,9300,135
5,254096984,9300,135
5,255657394,9300,135
5,257327720,9300,135
5,252471097,9300,135
5,256759563,9300,135
5,28347169,1492,17
5,256520034,9300,135
5,256797333,9300,135
5,257243756,9300,135
5,255680190,9300,135
5,259313415,9300,135
5,257619995,9300,135
5,256578052,9300,135
5,258125994,9300,135
5,258781814,9300,135
5,253146349,9300,135
5,252782143,9300,135
5,256394893,9300,135
5,258026687,9300,135
5,255891500,9300,135
5,32476736,1677,19
5,256347690,9300,135
5,254450307,9300,135
5,35198540,1958,23
5,18202278,1237,13
5,257054547,9300,135
5,253773760,9300,135
5,253612252,9300,135
5,254016562,9300,135
5,257802192,9300,135
5,253117546,9300,135
5,255712343,9300,135
5,255253055,9300,135
5,255000033,9300,135
5,254579284,9300,135
5,253306044,9300,135
5,253887703,9300,135
5,256652710,9300,135
5,254261109,9300,135
5,255192575,9300,135
5,254195307,9300,135
5,31229784,1787,21
5,256364008,9300,135
5,131015057,5179,72
5,259601516,9300,135
5,74741868,3690,49
5,255657868,9300,135
5,256760693,9300,135
5,253960116,9300,135
5,38597321,2278,27
5,255595657,9300,135
5,253877056,9300,135
5,256827497,9300,135
5,253512104,9300,135
5,253680319,9300,135
5,252819139,9300,135
5,256030245,9300,135
5,28624974,1574,18
5,256131011,9300,135
5,254277149,9300,135
5,254939433,9300,135
5,254740614,9300,135
5,254852480,9300,135
5,254374843,9300,135
5,253714768,9300,135
5,255050926,9300,135
5,255519215,9300,135
5,253805104,9300,135
5,27350949,1489,17
5,254556782,9300,135
5,255078896,9300,135
5,256002695,9300,135
5,257909457,9300,135
5,256480005,9300,135
5,257745756,9300,135
5,32668008,1724,20
5,257744443,9300,135
5,256711716,9300,135
5,255551768,9300,135
5,256485533,9300,135
5,257242741,9300,135
5,255630431,9300,135
5,258713520,9300,135
5,255353615,9300,135
5,56194860,2501,31
5,256531891,9300,135
5,256994778,9300,135
5,261463577,9300,135
5,258503361,9300,135
5,258504722,9300,135
5,257938920,9300,135
5,262856458,9300,135
5,256714473,9300,135
5,257425321,9300,135
5,258949529,9300,135
5,261896122,9300,135
5,255784986,9300,135
5,260573217,9300,135
5,256852974,9300,135
5,38623822,2217,26
5,246887665,9300,135
5,246010312,9300,135
5,243723146,9300,135
5,244950293,9300,135
5,245899772,9300,135
5,242926391,9300,135
5,246423190,9300,135
5,243226522,9300,135
5,245589064,9300,135
5,238884085,9085,130
5,38839929,2335,28
5,241613844,9300,135
5,241768968,9300,135
5,243869153,9300,135
5,243098881,9300,135
5,242363618,9300,135
5,243382190,9300,135
5,245914757,9300,135
5,242256377,9300,135
5,242502434,9300,135
5,242545384,9300,135
5,243198267,9300,135
5,245028589,9300,135
5,243149353,9300,135
5,242806644,9300,135
5,16624491,1206,13
5,243819154,9300,135
5,244339179,9300,135
5,244345823,9300,135
5,244587478,9300,135
5,243135257,9300,135
5,243395519,9300,135
5,242252882,9300,135
5,243122829,9300,135
5,243431672,9300,135
5,246786337,9300,135
5,244561197,9300,135
5,241509903,9300,135
5,245200081,9300,135
5,244861919,9300,135
5,242831950,9300,135
5,243418322,9300,135
5,245188470,9300,135
5,247001722,9300,135
5,243780961,9300,135
5,28452785,1630,19
5,25003590,1395,16
5,26004961,1475,16
5,240791504,9300,135
5,241977873,9300,135
5,244448213,9300,135
5,242118905,9300,135
5,242566710,9300,135
5,243391646,9300,135
5,242130993,9300,135
5,242733330,9300,135
5,241878480,9300,135
5,239759776,9300,135
5,51303987,2408,30
5,245188494,9300,135
5,247891102,9300,135
5,245939479,9300,135
5,244966426,9300,135
5,246254474,9300,135
5,245565316,9300,135
5,247390572,9300,135
5,245432700,9300,135
5,245328047,9300,135
5,248774301,9300,135
5,72569081,3511,47
5,246742159,9300,135
5,245252901,9300,135
5,245904871,9300,135
5,245583448,9300,135
5,242565715,9300,135
5,245565345,9300,135
5,245706179,9300,135
5,246278858,9300,135
5,243474363,9300,135
5,244516068,9300,135
5,243644452,9300,135
5,248268147,9300,135
5,244610501,9300,135
5,244463259,9300,135
5,245764024,9300,135
5,247509554,9300,135
5,246897686,9300,135
5,246370497,9300,135
5,245401127,9300,135
5,247280845,9300,135
5,244981999,9300,135
5,242570065,9300,135
5,244989569,9300,135
5,246367676,9300,135
5,243309245,9300,135
5,243379813,9300,135
5,243247657,9300,135
5,243659485,9300,135
5,245505264,9300,135
5,245540276,9300,135
5,244854837,9300,135
5,244079445,9300,135
5,243923882,9300,135
5,17663746,1283,14
5,243100537,9300,135
5,244093806,9300,135
5,243746216,9300,135
5,243786150,9300,135
5,241316722,9300,135
5,243366770,9300,135
