PMTREE,EUCLIDEAN,PCA,2,1000,329411
k,time,count,disk
5,231449046,9339,154
5,229515329,9306,153
5,228003290,9245,152
5,235649995,9339,154
5,235705999,9339,154
5,235094841,9339,154
5,231807525,9339,154
5,231440739,9339,154
5,233761402,9339,154
5,234279318,9339,154
5,231576255,9339,154
5,233743364,9339,154
5,232574528,9339,154
5,232544767,9339,154
5,232022776,9339,154
5,232120965,9339,154
5,231934979,9339,154
5,234437059,9339,154
5,234144262,9339,154
5,234200488,9339,154
5,233137839,9339,154
5,236721344,9339,154
5,61654862,3181,43
5,234164503,9339,154
5,233621487,9339,154
5,236175915,9339,154
5,235498699,9339,154
5,235572358,9339,154
5,235116931,9339,154
5,236165739,9339,154
5,236666999,9339,154
5,233973006,9339,154
5,234569426,9339,154
5,234945901,9339,154
5,243777219,9339,154
5,250317366,9339,154
5,241905227,9339,154
5,130098482,5717,86
5,244828798,9339,154
5,246228573,9339,154
5,111871360,4727,70
5,123901840,5354,82
5,244222304,9339,154
5,243759574,9339,154
5,241958434,9339,154
5,242543453,9306,153
5,242724084,9339,154
5,243119495,9339,154
5,245608380,9339,154
5,246723058,9339,154
5,250894350,9306,153
5,255251397,9339,154
5,253796813,9339,154
5,255045597,9339,154
5,253071845,9306,153
5,254692838,9339,154
5,257395638,9339,154
5,253940793,9339,154
5,15947948,1106,11
5,252595633,9306,153
5,80030538,4048,60
5,253647898,9339,154
5,250246934,9175,150
5,255469318,9339,154
5,253942714,9339,154
5,254699394,9339,154
5,84977234,4259,63
5,256172530,9339,154
5,255360845,9339,154
5,256322476,9339,154
5,253570362,9306,153
5,257689298,9339,154
5,255016043,9339,154
5,251850298,9339,154
5,90427171,4402,65
5,255417690,9339,154
5,258589561,9339,154
5,256437083,9339,154
5,256483711,9339,154
5,258211798,9339,154
5,255905812,9306,153
5,259214827,9339,154
5,257974660,9339,154
5,259370921,9339,154
5,253816598,9339,154
5,133532110,5691,86
5,254325573,9339,154
5,253687438,9339,154
5,255340761,9339,154
5,255551277,9339,154
5,253693590,9339,154
5,251369302,9339,154
5,66228032,3144,42
5,254232798,9339,154
5,254861233,9339,154
5,255754311,9339,154
5,254054891,9339,154
5,255235253,9339,154
5,254805357,9339,154
5,254574102,9339,154
5,252143904,9339,154
5,132976427,5282,81
5,253869964,9306,153
5,253983054,9339,154
5,256495047,9339,154
5,256952766,9339,154
5,254355185,9339,154
5,256454782,9339,154
5,254195062,9339,154
5,255426238,9339,154
5,256482827,9339,154
5,256073790,9339,154
5,255721829,9339,154
5,254259364,9253,153
5,255522254,9339,154
5,254864860,9339,154
5,118854165,4939,75
5,253019780,9339,154
5,255072129,9339,154
5,252132755,9339,154
5,254729722,9339,154
5,253849705,9339,154
5,252994858,9339,154
5,253992034,9339,154
5,253167519,9339,154
5,253575578,9339,154
5,252456584,9273,152
5,238619688,8710,142
5,253602946,9339,154
5,254874792,9339,154
5,254796383,9339,154
5,253020951,9339,154
5,252222315,9306,153
5,252626451,9339,154
5,253676015,9339,154
5,173443697,7610,119
5,256637780,9339,154
5,255992628,9339,154
5,255531294,9306,153
5,254525649,9339,154
5,252053669,9339,154
5,248786082,9112,147
5,117574902,4701,72
5,255581071,9339,154
5,254756805,9339,154
5,252854762,9339,154
5,253256581,9339,154
5,253183826,9306,153
5,250748489,9306,153
5,253064756,9339,154
5,254037325,9339,154
5,254936303,9339,154
5,255878362,9339,154
5,254141237,9339,154
5,252074630,9339,154
5,257048624,9339,154
5,251057174,9253,153
5,253904883,9339,154
5,253083214,9339,154
5,254623354,9339,154
5,248736527,9136,148
5,256890380,9339,154
5,26616760,1482,16
5,126479085,5179,79
5,141456296,6084,95
5,244760354,9339,154
5,244113228,9339,154
5,241063449,9339,154
5,240219229,9339,154
5,243022728,9339,154
5,239116763,9263,152
5,240659270,9339,154
5,242848324,9339,154
5,244132934,9339,154
5,242396748,9339,154
5,55899727,2740,38
5,240953661,9339,154
5,239253110,9339,154
5,137176954,6046,94
5,244306731,9339,154
5,244511934,9339,154
5,243387975,9339,154
5,241047878,9194,151
5,245862259,9339,154
5,244368847,9339,154
5,247940949,9339,154
5,72741544,3780,56
5,242326850,9339,154
5,242095949,9339,154
5,240489222,9339,154
5,243300859,9339,154
5,241239195,9339,154
5,241047903,9306,153
5,243952738,9339,154
5,242064715,9339,154
5,242245875,9339,154
5,245199943,9339,154
5,243273693,9339,154
5,246386889,9339,154
5,241449619,9306,153
5,246941484,9339,154
5,243345042,9339,154
5,243047678,9339,154
5,244610864,9339,154
5,245205223,9339,154
5,245577503,9339,154
5,243204919,9339,154
5,243922767,9339,154
5,243048754,9339,154
5,243695759,9339,154
5,238238422,9306,153
5,240346015,9306,153
5,238801501,9185,150
5,244006085,9339,154
5,242748944,9339,154
5,243160321,9339,154
5,244652001,9339,154
5,245141002,9339,154
5,243915004,9339,154
5,239304081,9253,153
5,26483890,1482,16
5,239804086,9339,154
5,244553083,9339,154
5,241556515,9339,154
5,241162899,9339,154
5,241568048,9339,154
5,244133826,9339,154
5,242149401,9339,154
5,239969522,9339,154
5,240538460,9339,154
5,243107477,9339,154
5,241475738,9339,154
5,244318841,9339,154
5,244812169,9339,154
5,244757072,9339,154
5,82437856,4336,64
5,240130491,9339,154
5,241810101,9339,154
5,240792129,9339,154
5,243902469,9339,154
5,240399685,9339,154
5,241799415,9339,154
5,141995796,6232,94
5,243919954,9339,154
5,244661793,9306,153
5,247155149,9339,154
5,170529319,8104,127
5,243046467,9339,154
5,244305813,9339,154
5,146049810,6408,96
5,244189568,9339,154
5,243575831,9339,154
5,241427803,9339,154
5,245837750,9339,154
5,244019402,9339,154
5,79881226,4259,63
5,241289721,9339,154
5,239847101,9339,154
5,242182858,9339,154
5,240623411,9339,154
5,239478863,9339,154
5,240958693,9339,154
5,242694957,9339,154
5,239880151,9339,154
5,242208459,9339,154
5,243182224,9339,154
5,243994694,9339,154
5,73399755,3752,53
5,243263740,9339,154
5,238413695,9099,149
5,244964523,9339,154
5,247342108,9339,154
5,246117478,9339,154
5,242518920,9339,154
5,244398630,9339,154
5,244068481,9339,154
5,242342725,9339,154
5,136451266,6064,91
5,243278627,9339,154
5,241282694,9339,154
5,245853247,9339,154
5,242694309,9339,154
5,241036091,9339,154
5,241572532,9339,154
5,246006409,9339,154
5,242560288,9339,154
5,240936665,9339,154
5,241673856,9339,154
5,242347668,9339,154
5,244654800,9339,154
5,243555762,9339,154
5,242208924,9339,154
5,241552521,9339,154
5,243927486,9339,154
5,242695948,9339,154
5,240297698,9339,154
5,242513923,9339,154
5,242529398,9339,154
5,241103415,9339,154
5,27037067,1579,20
5,241656182,9339,154
5,244010803,9339,154
5,245336021,9339,154
5,243383506,9339,154
5,130584459,5809,87
5,162717434,7585,118
