PMTREE,EUCLIDEAN,RANDOM,2,1000,431929
k,time,count,disk
5,230173978,9331,149
5,230521025,9314,148
5,227350060,9187,145
5,235342144,9331,149
5,236480498,9331,149
5,235323539,9331,149
5,230454211,9314,148
5,230884616,9331,149
5,233323211,9331,149
5,232928915,9331,149
5,232050805,9331,149
5,232419437,9331,149
5,231859501,9314,148
5,233263743,9331,149
5,231393702,9331,149
5,231470803,9314,148
5,232012214,9331,149
5,233473577,9329,148
5,234004536,9331,149
5,233662533,9331,149
5,233019060,9331,149
5,237037634,9331,149
5,32666490,1899,23
5,234447827,9331,149
5,233899616,9331,149
5,235927188,9331,149
5,235857919,9331,149
5,235210858,9314,148
5,233559579,9314,148
5,234493321,9331,149
5,235576544,9331,149
5,234466771,9331,149
5,234166662,9314,148
5,233940907,9314,148
5,242461935,9314,148
5,251144209,9331,149
5,242166577,9314,148
5,174776302,8244,124
5,244329720,9314,148
5,244834902,9314,148
5,37100811,2106,26
5,141946444,6516,93
5,241326959,9331,149
5,242283510,9331,149
5,241579448,9331,149
5,242760797,9312,147
5,241406523,9314,148
5,241995563,9331,149
5,244582378,9314,148
5,246254523,9331,149
5,248021641,9331,149
5,252795700,9331,149
5,253395441,9331,149
5,254774991,9314,148
5,251921946,9314,148
5,252927866,9331,149
5,254469075,9314,148
5,254110660,9314,148
5,19790272,1216,14
5,252052389,9331,149
5,40998423,2142,28
5,252439467,9331,149
5,243289011,8931,140
5,254420425,9314,148
5,251492980,9314,148
5,251374789,9331,149
5,74508762,3603,48
5,253177240,9331,149
5,253872230,9331,149
5,253143470,9314,148
5,183795661,8313,126
5,251456051,9331,149
5,253146584,9331,149
5,252125323,9331,149
5,130337508,5479,76
5,253303795,9314,148
5,253769070,9331,149
5,253922242,9331,149
5,253486971,9331,149
5,253986277,9331,149
5,254460152,9314,148
5,254211028,9331,149
5,254797747,9331,149
5,255555867,9331,149
5,255653170,9331,149
5,133059571,5789,81
5,253803333,9331,149
5,251304045,9331,149
5,250965020,9331,149
5,254930674,9331,149
5,251567109,9331,149
5,251632117,9331,149
5,65405418,3082,42
5,252220683,9314,148
5,254354130,9331,149
5,252873793,9314,148
5,252077402,9331,149
5,252422269,9331,149
5,253163598,9314,148
5,254292731,9331,149
5,252357530,9314,148
5,114126388,4496,61
5,252659529,9239,148
5,252247850,9314,148
5,254252738,9331,149
5,253317471,9331,149
5,255524711,9331,149
5,255463798,9331,149
5,254144861,9331,149
5,254060866,9331,149
5,255886295,9331,149
5,256378612,9331,149
5,255727738,9314,148
5,251192908,9233,146
5,256421517,9314,148
5,254654936,9331,149
