PMTREE,EUCLIDEAN,SSS,2,1000,330189
k,time,count,disk
5,216897422,9351,159
5,216144701,9351,159
5,213033133,9240,154
5,218563472,9326,158
5,226697724,9351,159
5,225616478,9351,159
5,221852462,9326,158
5,222183061,9351,159
5,225570010,9351,159
5,223892679,9351,159
5,224309702,9351,159
5,224083564,9351,159
5,225499150,9315,157
5,232091618,9351,159
5,230749508,9351,159
5,228704593,9274,156
5,230945783,9351,159
5,233158590,9326,158
5,231840504,9351,159
5,233069322,9351,159
5,230009746,9351,159
5,233143803,9351,159
5,27741532,1592,18
5,231811408,9351,159
5,231346901,9351,159
5,232730131,9351,159
5,232150790,9351,159
5,234705559,9351,159
5,232794199,9351,159
5,232361305,9351,159
5,232700700,9351,159
5,233616075,9351,159
5,231358601,9326,158
5,231278745,9351,159
5,231742637,9351,159
5,232168830,9351,159
5,240925560,9351,159
5,37633763,2284,32
5,241181926,9351,159
5,239740357,9351,159
5,58025900,2914,39
5,58529341,2854,39
5,244736052,9351,159
5,240741807,9351,159
5,239675164,9351,159
5,240280814,9351,159
5,241856725,9351,159
5,239740753,9351,159
5,240180611,9326,158
5,240953433,9351,159
5,238276963,9351,159
5,239795637,9351,159
5,239643226,9351,159
5,240523322,9351,159
5,239966070,9326,158
5,243211131,9351,159
5,243389968,9351,159
5,241774031,9315,157
5,27157529,1542,17
5,240779765,9351,159
5,146676299,6760,104
5,242897247,9351,159
5,227455393,8646,141
5,242259743,9326,158
5,242294470,9315,157
5,244370927,9351,159
5,77065928,3982,55
5,240181825,9351,159
5,242314060,9351,159
5,242687992,9351,159
5,235540157,9036,152
5,241703064,9351,159
5,241892716,9351,159
5,242226895,9351,159
5,62930170,2914,39
5,242128981,9326,158
5,241758854,9351,159
5,241617324,9351,159
5,241224630,9351,159
5,243255184,9351,159
5,238100040,9285,157
5,240181161,9326,158
5,240184040,9351,159
5,241562345,9351,159
5,238491209,9351,159
5,60145461,3064,43
5,244235166,9351,159
5,240834240,9351,159
5,244171768,9351,159
5,243634835,9351,159
5,239246570,9351,159
5,239771395,9351,159
5,58148518,2914,39
5,241867318,9351,159
5,241532508,9351,159
5,242607199,9351,159
5,243298757,9351,159
5,245970109,9351,159
5,241553917,9315,157
5,241811516,9351,159
5,243050325,9351,159
5,83288379,4379,60
5,243122499,9351,159
5,241283113,9326,158
5,243108195,9351,159
5,242428890,9351,159
5,245399428,9351,159
5,244124258,9351,159
5,243853038,9351,159
5,243334655,9351,159
5,247971354,9352,160
5,244903816,9351,159
5,242049930,9326,158
5,239704215,9218,153
5,243843708,9351,159
5,241116350,9351,159
5,75439488,3982,55
5,242489950,9351,159
5,241576505,9351,159
5,244123159,9351,159
5,244356719,9351,159
5,245696050,9351,159
5,243646366,9351,159
5,245681616,9351,159
5,243521159,9351,159
5,244073402,9351,159
5,175090949,8329,132
5,128690697,5735,83
5,242580206,9351,159
5,240860956,9326,158
5,240548562,9351,159
5,238944312,9351,159
5,239410617,9351,159
5,242173442,9351,159
5,240971429,9351,159
5,161663079,7554,121
5,242277636,9326,158
5,246343534,9351,159
5,241384878,9351,159
5,235361240,9084,153
5,239028565,9315,157
5,238852707,9193,156
5,53124341,2544,34
5,240302725,9351,159
5,242010525,9351,159
5,240571423,9351,159
5,243742443,9351,159
5,241210370,9351,159
5,241370180,9326,158
5,242591541,9351,159
5,241790401,9326,158
5,243380469,9351,159
5,244739594,9351,159
5,242797731,9351,159
5,241728100,9351,159
5,246179291,9351,159
5,239237861,9251,155
5,240381306,9351,159
5,239335897,9351,159
5,240660011,9326,158
5,239180542,9351,159
5,239053655,9351,159
5,17813403,1372,15
5,36881935,2291,30
5,65300518,3210,44
5,243474078,9326,158
5,246819200,9351,159
5,242106286,9351,159
5,240459696,9315,157
5,241580674,9351,159
5,241283211,9326,158
5,239827071,9351,159
5,241901082,9351,159
5,241301630,9351,159
5,248613453,9326,158
5,30481257,1658,23
5,250856754,9351,159
5,252827531,9351,159
5,251487378,9290,156
5,254933193,9351,159
5,253931950,9351,159
5,253127368,9351,159
5,252635656,9326,158
5,255484480,9351,159
5,251543856,9315,157
5,253545837,9351,159
5,113558224,4615,63
5,256961984,9351,159
5,256879644,9351,159
5,255689590,9351,159
5,257253774,9351,159
5,255397959,9351,159
5,255339242,9326,158
5,256979419,9351,159
5,255659339,9351,159
5,253840681,9351,159
5,253960727,9351,159
5,253599305,9351,159
5,254769149,9351,159
5,246379152,9120,155
5,254543061,9351,159
5,252491409,9351,159
5,253257725,9351,159
5,257726868,9351,159
5,258292158,9326,158
5,257727080,9351,159
5,256642253,9299,157
5,257159437,9351,159
5,259012687,9351,159
5,255563511,9351,159
5,250851832,9154,154
5,255365541,9351,159
5,254842797,9326,158
5,255293188,9351,159
5,255345733,9351,159
5,256079097,9351,159
5,258832593,9351,159
5,256383481,9351,159
5,258479260,9351,159
5,253844653,9237,154
5,21558085,1372,15
5,256286042,9315,157
5,258480212,9351,159
5,256486624,9351,159
5,259812913,9351,159
5,258507889,9351,159
5,256950552,9351,159
5,257357509,9351,159
5,256501505,9351,159
5,251107709,9299,157
5,253547582,9351,159
5,254489817,9351,159
5,257216665,9351,159
5,253975257,9351,159
5,256807466,9351,159
5,63132015,2914,39
5,255396136,9351,159
5,258202574,9351,159
5,256453002,9351,159
5,256526734,9351,159
5,254715344,9326,158
5,257288391,9326,158
5,163323064,7365,117
5,255779245,9351,159
5,250416109,9058,153
5,258462569,9351,159
5,150690752,6603,105
5,253122038,9351,159
5,256545354,9351,159
5,74332884,3774,57
5,252058546,9326,158
5,254250734,9351,159
5,250967461,9190,157
5,254127930,9351,159
5,255741853,9351,159
5,78579935,3982,55
5,256989162,9274,156
5,254030158,9351,159
5,252544113,9274,156
5,253981850,9326,158
5,251913843,9351,159
5,252333127,9340,158
5,252887055,9351,159
5,254942962,9351,159
5,252469247,9351,159
5,252926578,9351,159
5,252214703,9351,159
5,64861777,3180,44
5,257767403,9351,159
5,253115643,9326,158
5,254969225,9351,159
5,254759069,9351,159
5,256767893,9351,159
5,254223947,9351,159
5,254604236,9351,159
5,253545589,9351,159
5,255541654,9351,159
5,134378572,5665,85
5,255731420,9351,159
5,252934621,9351,159
5,255009263,9351,159
5,255979583,9326,158
5,250729329,9274,156
5,252700675,9351,159
5,254082192,9326,158
5,254667044,9351,159
5,252377120,9326,158
5,252819955,9351,159
5,254399012,9351,159
5,256228784,9326,158
5,254590699,9351,159
5,255506191,9351,159
5,254789041,9351,159
5,257852398,9351,159
5,257057340,9351,159
5,255280658,9351,159
5,255459839,9351,159
5,256884377,9326,158
5,254748228,9351,159
5,40133504,2401,34
