PMTREE,EUCLIDEAN,WDR,2,1000,305381
k,time,count,disk
5,223880943,9340,153
5,221693413,9340,153
5,218388828,9237,151
5,222444705,9340,153
5,223081338,9340,153
5,226113191,9340,153
5,222243700,9340,153
5,221254827,9340,153
5,222995666,9340,153
5,225433638,9340,153
5,222273111,9340,153
5,222534803,9340,153
5,221368844,9340,153
5,222330780,9340,153
5,224296909,9340,153
5,223031687,9340,153
5,222966774,9340,153
5,223745784,9340,153
5,225694604,9340,153
5,224811108,9340,153
5,220285969,9340,153
5,223148909,9340,153
5,216245460,9107,147
5,225718301,9340,153
5,221892790,9340,153
5,222943038,9340,153
5,221273849,9340,153
5,222493969,9340,153
5,225271199,9340,153
5,222027699,9340,153
5,222863472,9340,153
5,222250925,9340,153
5,224476282,9340,153
5,220531475,9340,153
5,221861900,9340,153
5,220789875,9340,153
5,221382801,9340,153
5,212507536,8754,139
5,222266061,9340,153
5,223464969,9340,153
5,216865100,9154,148
5,213025485,8744,138
5,223325300,9340,153
5,221065434,9340,153
5,221552571,9340,153
5,222118921,9340,153
5,223808871,9340,153
5,221815759,9340,153
5,223948132,9340,153
5,223506672,9340,153
5,221276415,9340,153
5,224261786,9340,153
5,221844770,9340,153
5,221693835,9340,153
5,221369229,9340,153
5,224414572,9340,153
5,222869073,9340,153
5,221742160,9340,153
5,216708641,9107,147
5,221152020,9340,153
5,222519375,9317,151
5,223181348,9340,153
5,220477054,9320,152
5,223137462,9340,153
5,224734909,9340,153
5,221733844,9340,153
5,218033611,9107,147
5,222207985,9340,153
5,222289677,9340,153
5,224444849,9340,153
5,212404233,8835,142
5,222643249,9340,153
5,222571759,9340,153
5,221781969,9340,153
5,217497549,9064,146
5,222049757,9340,153
5,220989717,9340,153
5,221874857,9340,153
5,225286330,9340,153
5,222909780,9340,153
5,221303639,9340,153
5,222208925,9340,153
5,221994216,9340,153
5,224858129,9340,153
5,220045478,9320,152
5,210787939,8775,139
5,221735404,9340,153
5,223705595,9340,153
5,222782220,9340,153
5,223451890,9340,153
5,222249082,9340,153
5,222644439,9340,153
5,219710887,9141,148
5,222058546,9340,153
5,222476155,9340,153
5,222729319,9340,153
5,222943352,9340,153
5,224671806,9340,153
5,222749364,9340,153
5,222884478,9340,153
5,222420226,9340,153
5,222543603,9317,151
5,212100947,8920,144
5,219873349,9340,153
5,222382436,9340,153
5,222988343,9340,153
5,223439139,9340,153
5,221943501,9340,153
5,223241623,9340,153
5,221134544,9340,153
5,224975560,9340,153
5,223129946,9340,153
5,222608078,9340,153
5,219707864,9306,152
5,221811356,9340,153
5,223250119,9340,153
5,218561432,9225,150
5,221610291,9340,153
5,221810497,9340,153
5,223738606,9340,153
5,223055641,9340,153
5,221946864,9340,153
5,221221995,9340,153
5,223624748,9340,153
5,224292583,9340,153
5,223310932,9340,153
5,219810362,9273,151
5,218465662,9228,151
5,222485844,9340,153
5,224574729,9340,153
5,221544179,9340,153
5,221636239,9340,153
5,222632296,9340,153
5,224836809,9340,153
5,221688949,9340,153
5,219892258,9273,151
5,222735731,9340,153
5,222699426,9340,153
5,223256633,9340,153
5,220349270,9320,152
5,221021427,9340,153
5,220696529,9340,153
5,211421561,8670,137
5,222400869,9340,153
5,222355228,9340,153
5,222570741,9340,153
5,222656929,9340,153
5,224108043,9340,153
5,221943849,9340,153
5,222805566,9340,153
5,222414944,9340,153
5,222328740,9340,153
5,224976791,9340,153
5,223844090,9340,153
5,221099891,9340,153
5,223707275,9340,153
5,223270839,9306,152
5,222322683,9340,153
5,220796279,9340,153
5,222100493,9340,153
5,222122434,9340,153
5,224373586,9340,153
5,216169147,9107,147
5,215081352,9044,145
5,214640867,9044,145
5,223596803,9340,153
5,221707790,9340,153
5,221806566,9340,153
5,220674338,9340,153
5,221582445,9340,153
5,223744680,9340,153
5,221429410,9340,153
5,223396972,9340,153
5,223144588,9340,153
5,222438946,9340,153
5,218046536,9113,146
5,223757051,9340,153
5,222361748,9340,153
5,220777049,9320,152
5,224728262,9340,153
5,222447539,9340,153
5,222011109,9340,153
5,221262126,9340,153
5,222209676,9340,153
5,223690285,9340,153
5,223538312,9340,153
5,220798948,9317,151
5,222426460,9340,153
5,223364230,9340,153
5,220775620,9340,153
5,223504281,9340,153
5,222869274,9340,153
5,220635842,9340,153
5,224754327,9340,153
5,221464341,9340,153
5,221307740,9340,153
5,222446546,9340,153
5,221728766,9340,153
5,225964285,9340,153
5,220929492,9340,153
5,222979069,9340,153
5,222404237,9340,153
5,225184095,9340,153
5,223305581,9340,153
5,222267492,9340,153
5,224333188,9340,153
5,221815114,9340,153
5,224941861,9340,153
5,221030904,9340,153
5,222353138,9340,153
5,221357376,9340,153
5,223632304,9340,153
5,220361208,9340,153
5,222360277,9340,153
5,223118196,9340,153
5,222468906,9340,153
5,225411690,9340,153
5,223391451,9340,153
5,223501363,9340,153
5,219637615,9306,152
5,218600903,9064,146
5,222071088,9340,153
5,222701092,9340,153
5,222411284,9340,153
5,222721198,9340,153
5,225413408,9340,153
5,223240795,9340,153
5,224589316,9340,153
5,222055161,9340,153
5,220641704,9340,153
5,224812697,9340,153
5,222685058,9340,153
5,222612601,9340,153
5,221849346,9340,153
5,224396355,9340,153
5,216446389,9066,145
5,222485468,9340,153
5,222748595,9340,153
5,222123718,9340,153
5,225344094,9340,153
5,223631962,9340,153
5,223134624,9340,153
5,221543819,9317,151
5,224067429,9340,153
5,218065360,9191,150
5,222885661,9340,153
5,219398174,9273,151
5,220973504,9340,153
5,224690965,9340,153
5,217662364,9154,148
5,222547253,9340,153
5,222207421,9340,153
5,224608772,9340,153
5,223514820,9340,153
5,223257964,9340,153
5,218441813,9178,149
5,222943967,9340,153
5,224782571,9337,152
5,221533871,9340,153
5,222875094,9340,153
5,222758566,9340,153
5,223066681,9340,153
5,224079262,9340,153
5,221736648,9340,153
5,222911666,9340,153
5,223525654,9340,153
5,224814191,9340,153
5,217583973,9107,147
5,222712660,9340,153
5,221976298,9340,153
5,222939812,9340,153
5,223645148,9340,153
5,222941639,9340,153
5,221202427,9340,153
5,222746443,9340,153
5,224523595,9340,153
5,222104580,9340,153
