VPTREE,EUCLIDEAN,CONVEX,1,1000,67524
k,time,count,disk
5,123369920,9126,128
5,119535760,9126,128
5,118911753,9056,127
5,121324061,9126,128
5,122601021,9126,128
5,121858723,9126,128
5,121436168,9126,128
5,120719647,9126,128
5,120734797,9126,128
5,124146559,9126,128
5,120784876,9126,128
5,121691981,9126,128
5,119273946,9126,128
5,120304629,9126,128
5,120548930,9126,128
5,120643629,9126,128
5,120598606,9126,128
5,123197786,9126,128
5,121077114,9126,128
5,120018470,9126,128
5,118651413,9055,127
5,120236046,9126,128
5,72182876,8207,115
5,120667201,9126,128
5,120368063,9126,128
5,120703814,9126,128
5,121520994,9126,128
5,121742157,9126,128
5,121590048,9126,128
5,121095296,9126,128
5,121659551,9126,128
5,120496159,9126,128
5,120821955,9126,128
5,120293893,9126,128
5,126201665,9126,128
5,121924566,9126,128
5,119998595,9126,128
5,115906775,8632,121
5,121756580,9126,128
5,121719950,9126,128
5,114820444,8419,118
5,70128337,7853,110
5,122088040,9126,128
5,123158865,9126,128
5,119714144,9126,128
5,121698665,9126,128
5,121089384,9126,128
5,120453508,9126,128
5,122189974,9126,128
5,122013909,9126,128
5,119994770,9126,128
5,120162382,9126,128
5,120997745,9126,128
5,119731134,9126,128
5,119752218,9126,128
5,121198946,9126,128
5,120563016,9126,128
5,118943214,9126,128
5,73599274,8277,116
5,119567797,9126,128
5,115730495,8559,120
5,123125071,9126,128
5,119898402,9056,127
5,121955761,9126,128
5,120158648,9126,128
5,120460116,9126,128
5,63926230,6782,95
5,120007429,9126,128
5,120355126,9126,128
5,117957938,9126,128
5,120685301,9126,128
5,120094522,9126,128
5,119682896,9126,128
5,120706028,9126,128
5,71105361,7852,110
5,120073339,9126,128
5,119154799,9126,128
5,122275350,9126,128
5,118100689,9126,128
5,120491374,9126,128
5,119093641,9126,128
5,119503328,9126,128
5,120608307,9126,128
5,120539636,9126,128
5,117792398,9126,128
5,69252363,7853,110
5,119976985,9126,128
5,120486253,9126,128
