VPTREE,EUCLIDEAN,FFT,1,1000,345715
k,time,count,disk
5,119751187,9126,128
5,118926455,9126,128
5,117491623,9126,128
5,119197581,9126,128
5,121028884,9126,128
5,121158975,9126,128
5,119464084,9126,128
5,119418444,9126,128
5,119795725,9126,128
5,120753762,9126,128
5,119335420,9126,128
5,120166064,9126,128
5,119671523,9126,128
5,120050841,9126,128
5,119342981,9126,128
5,119246010,9126,128
5,118890671,9126,128
5,121248548,9126,128
5,119872863,9126,128
5,120228053,9126,128
5,119602133,9126,128
5,121229811,9126,128
5,115720872,8563,120
5,122940414,9126,128
5,119000898,9126,128
5,121521799,9126,128
5,119098517,9126,128
5,119902916,9126,128
5,120927229,9126,128
5,121124887,9126,128
5,119962196,9126,128
5,119730491,9126,128
5,119209501,9126,128
5,119409646,9126,128
5,119441787,9126,128
5,120889107,9126,128
5,118786813,9126,128
5,115238936,8704,122
5,120497954,9126,128
5,120749388,9126,128
5,116531846,8846,124
5,66960497,7425,104
5,121214118,9126,128
5,120727712,9126,128
5,120429112,9126,128
5,117811278,9126,128
5,119982882,9126,128
5,118906280,9126,128
5,120507047,9126,128
5,121271553,9126,128
5,119321506,9126,128
5,120784136,9126,128
5,119141640,9126,128
5,119065956,9126,128
5,118745065,9126,128
5,118900810,9126,128
5,119515354,9126,128
5,118949705,9126,128
5,67742475,7495,105
5,118809388,9126,128
5,117466465,8986,126
5,120040197,9126,128
5,117244690,8986,126
5,120417147,9126,128
5,119134093,9126,128
5,119888253,9126,128
5,68174185,7566,106
5,119763734,9126,128
5,119243960,9126,128
5,119311309,9126,128
5,119672046,9126,128
5,119228078,9126,128
5,120039793,9126,128
5,119375896,9126,128
5,68376443,7495,105
5,119587448,9126,128
5,120598641,9126,128
5,121368376,9126,128
5,119748082,9126,128
5,121072305,9126,128
5,118910025,9126,128
5,120820494,9126,128
5,121435724,9126,128
5,120817576,9126,128
5,118727527,9126,128
5,68054171,7495,105
5,120306826,9126,128
5,118792254,9126,128
5,119827448,9126,128
5,120493361,9126,128
5,119124654,9126,128
5,120860890,9126,128
5,114666678,8565,120
5,118995167,9126,128
5,120097121,9126,128
5,121577714,9126,128
5,119361283,9126,128
5,119880435,9126,128
5,120125845,9126,128
5,120138695,9126,128
5,119596493,9126,128
5,116040823,8846,124
5,118959981,9126,128
5,118411057,9126,128
5,120195129,9126,128
5,120286850,9126,128
5,119580081,9126,128
5,121741814,9126,128
5,119269672,9126,128
5,119305745,9126,128
5,119757662,9126,128
5,118927538,9126,128
5,118227198,9126,128
5,116061402,9126,128
5,118638907,9126,128
5,116828730,9126,128
5,115168808,8916,125
5,118461211,9126,128
5,118035870,9126,128
5,117894043,9126,128
5,118764758,9126,128
5,117969416,9126,128
5,119398376,9126,128
5,119013056,9126,128
5,119037064,9126,128
5,118391883,9126,128
5,117117762,9126,128
5,114906766,8916,125
5,118555209,9126,128
5,119839396,9126,128
5,117129216,9126,128
5,118036828,9126,128
5,117223595,9126,128
5,117684544,9126,128
5,117941162,9126,128
5,117424623,9126,128
5,117615828,9126,128
5,118093806,9126,128
5,119313394,9126,128
5,117872520,9126,128
5,117828006,9126,128
5,116766271,9126,128
5,111229023,8354,117
5,118194247,9126,128
5,118790684,9126,128
5,117468384,9126,128
5,119219754,9126,128
5,117591020,9126,128
5,117275065,9126,128
5,117826608,9126,128
5,117875255,9126,128
5,117613900,9126,128
5,117463319,9126,128
5,118281821,9126,128
5,117757574,9126,128
5,119551191,9126,128
5,117509362,9126,128
5,117584910,9126,128
5,117413865,9126,128
5,117300757,9126,128
5,119576156,9126,128
5,119417806,9126,128
5,115086442,8635,121
5,114564242,8704,122
5,114752511,8705,122
5,119650627,9126,128
5,120162787,9126,128
5,118936243,9126,128
5,118860743,9126,128
5,120031774,9126,128
5,119193229,9126,128
5,119899927,9126,128
5,119918743,9126,128
5,120382920,9126,128
5,120627044,9126,128
5,116598496,8916,125
5,120210640,9126,128
5,119462824,9126,128
5,118363501,9056,127
5,118275215,9126,128
5,119268913,9126,128
5,118071875,9126,128
5,120659135,9126,128
5,119664774,9126,128
5,119387384,9126,128
5,120507558,9126,128
5,116307813,8916,125
5,119482996,9126,128
5,118623224,9126,128
5,119265745,9126,128
5,119341688,9126,128
5,120903888,9126,128
5,118555275,9126,128
5,119918210,9126,128
5,118891357,9126,128
5,119532845,9126,128
5,119012465,9126,128
5,118286219,9126,128
5,121067037,9126,128
5,118772257,9126,128
5,120411913,9126,128
5,119866329,9126,128
5,119202775,9126,128
5,120478930,9126,128
5,118921722,9126,128
5,119480192,9126,128
5,119666130,9126,128
5,119984339,9126,128
5,119094032,9126,128
5,118643009,9126,128
5,118871371,9126,128
5,118699554,9126,128
5,118842708,9126,128
5,118766595,9126,128
5,119542821,9126,128
5,118711890,9126,128
5,120056033,9126,128
5,120735195,9126,128
5,120130858,9126,128
5,118117699,9126,128
5,67147102,7425,104
5,118934171,9126,128
5,120616754,9126,128
5,119564056,9126,128
5,118930397,9126,128
5,120651872,9126,128
5,119144144,9126,128
5,118874106,9126,128
5,120646565,9126,128
5,118192025,9126,128
5,118629360,9126,128
5,120693429,9126,128
5,120896547,9126,128
5,119949343,9126,128
5,119290808,9126,128
5,67383099,7495,105
5,119693503,9126,128
5,121022954,9126,128
5,119564430,9126,128
5,121303482,9126,128
5,119100787,9126,128
5,119728504,9126,128
5,116769597,8986,126
5,118706733,9126,128
5,118438105,9126,128
5,120255456,9126,128
5,118767299,9056,127
5,119729682,9126,128
5,119258750,9126,128
5,115204119,8705,122
5,120699458,9126,128
5,120524510,9126,128
5,118953777,9126,128
5,120607092,9126,128
5,120263274,9126,128
5,116829172,8846,124
5,119589636,9126,128
5,118742404,9126,128
5,117768004,8984,126
5,119721978,9126,128
5,119018536,9126,128
5,120277411,9126,128
5,119939472,9126,128
5,119359857,9126,128
5,119684620,9126,128
5,121822810,9126,128
5,118772320,9126,128
5,67514321,7495,105
5,119614754,9126,128
5,118700803,9126,128
5,121098559,9126,128
5,119426024,9126,128
5,121241911,9126,128
5,119015229,9126,128
5,121093405,9126,128
5,119386285,9126,128
5,120802154,9126,128
5,118398027,9056,127
5,121482104,9126,128
5,118912177,9126,128
5,120084652,9126,128
5,120158466,9126,128
5,118681525,9126,128
5,119812508,9126,128
5,120685537,9126,128
5,120169811,9126,128
5,120586116,9126,128
5,119677905,9126,128
5,119336836,9126,128
5,120180352,9126,128
5,121401931,9126,128
5,119972755,9126,128
5,119046496,9126,128
5,120588027,9126,128
5,120768524,9126,128
5,119044195,9126,128
5,121486225,9126,128
5,119561701,9126,128
5,119308596,9126,128
5,115272279,8705,122
5,120784405,9126,128
5,120298520,9126,128
5,120327848,9126,128
5,119070811,9126,128
5,69056126,7706,108
5,119989596,9126,128
5,120517787,9126,128
5,118320809,9126,128
5,120455834,9126,128
5,118620900,9126,128
5,116850907,8916,125
5,116457140,8916,125
5,118623726,9126,128
5,118563583,9126,128
5,119682172,9126,128
5,118109778,9126,128
5,119819190,9126,128
5,117299696,8986,126
5,116567949,8916,125
5,120550438,9126,128
5,117219830,8986,126
5,121166919,9126,128
5,67859285,7425,104
5,118804748,9126,128
5,120881825,9126,128
5,113684298,8494,119
5,119879330,9126,128
5,118915556,9126,128
5,120002635,9126,128
5,118698738,9126,128
5,120317634,9126,128
5,118673365,9126,128
5,119090432,9126,128
5,120039161,9126,128
5,119902099,9126,128
5,118993278,9126,128
5,120888836,9126,128
5,121333944,9126,128
5,120821768,9126,128
5,119918300,9126,128
5,119693231,9126,128
5,66164824,7285,102
5,119774567,9126,128
5,117573919,8986,126
5,120350562,9126,128
5,120826144,9126,128
5,119316797,9126,128
5,120681469,9126,128
5,119500740,9126,128
5,118315703,9126,128
5,119713943,9126,128
5,119759214,9126,128
5,121279530,9126,128
5,118147359,9126,128
5,116654705,9126,128
5,116631140,8986,126
5,121745308,9126,128
5,117680836,9126,128
5,119880289,9126,128
5,119482839,9126,128
5,115707687,8705,122
5,67370886,7495,105
5,119889948,9126,128
5,66964643,7425,104
5,118745604,9126,128
5,122478141,9126,128
5,119235512,9126,128
5,118261423,9126,128
5,119640461,9126,128
5,118176304,9126,128
5,119768782,9126,128
5,118808233,9126,128
5,119274054,9126,128
5,118756374,9126,128
5,119264809,9126,128
5,120434939,9126,128
5,120031968,9126,128
5,121165662,9126,128
5,119836774,9126,128
5,119799172,9126,128
5,119064507,9126,128
5,66771569,7425,104
5,121810815,9126,128
5,118709129,9126,128
5,117346441,8916,125
5,119071852,9126,128
5,119018473,9126,128
5,119169059,9126,128
5,64181823,6845,96
5,119541845,9126,128
5,117288134,8986,126
5,121173154,9126,128
5,117377463,8916,125
5,119509010,9126,128
5,120546132,9126,128
5,120321153,9126,128
5,119240488,9126,128
5,120835829,9126,128
5,68307271,7495,105
5,120234986,9126,128
5,119501358,9126,128
5,116203354,8775,123
5,119503824,9126,128
5,119535895,9126,128
5,120178591,9126,128
5,119162538,9126,128
5,68904581,7566,106
5,119917640,9126,128
5,120236334,9126,128
5,119277069,9126,128
5,121575208,9126,128
5,119996641,9126,128
5,121065285,9126,128
5,120970127,9126,128
5,119353772,9126,128
5,120636575,9126,128
5,120413082,9126,128
5,118143670,9126,128
5,120229843,9126,128
5,119069502,9126,128
5,118857590,9126,128
5,117202326,8916,125
5,118941355,9126,128
5,121083700,9126,128
5,119509680,9126,128
5,119404082,9126,128
5,119170677,9056,127
5,120134725,9126,128
5,114699463,8565,120
5,119547777,9126,128
5,118962747,9126,128
5,119974560,9126,128
5,118141648,9126,128
5,119057142,9126,128
5,122693646,9126,128
5,118947905,9126,128
5,120260900,9126,128
5,117341659,9056,127
5,118975810,9126,128
5,120413468,9126,128
5,120050853,9126,128
5,116485015,8846,124
5,121238837,9126,128
5,120149380,9126,128
5,118987386,9126,128
5,119894483,9126,128
5,119179404,9126,128
5,118505584,9126,128
5,121693254,9126,128
5,119793658,9126,128
5,119500882,9126,128
5,120597542,9126,128
5,122202041,9126,128
5,120502194,9126,128
5,119246074,9126,128
5,120896757,9126,128
5,119702612,9126,128
5,119129902,9126,128
5,121538896,9126,128
5,119232289,9126,128
5,120218241,9126,128
5,115477512,8775,123
5,120157142,9126,128
5,120345475,9126,128
5,120785842,9126,128
5,121774568,9126,128
5,120681064,9126,128
5,122094560,9126,128
5,120645926,9126,128
5,119061739,9126,128
5,119583863,9126,128
5,118047587,9126,128
5,116957578,8986,126
5,120010833,9126,128
5,120881370,9126,128
5,120184486,9126,128
5,118329659,9126,128
5,121742949,9126,128
5,120018105,9126,128
5,120099018,9126,128
5,62289452,6703,94
5,116794737,8705,122
5,120968354,9126,128
5,122055901,9126,128
5,120578483,9126,128
5,121204596,9126,128
5,121665703,9126,128
5,122403592,9126,128
5,121818460,9126,128
5,121233079,9126,128
5,120086808,9126,128
5,119992301,9126,128
5,120060022,9126,128
5,116353482,8705,122
5,120924249,9126,128
5,121061409,9126,128
5,118424485,8984,126
5,120778659,9126,128
5,121182732,9126,128
5,121163864,9126,128
5,121338949,9126,128
5,122879207,9126,128
5,120675352,9126,128
5,121125742,9126,128
5,114541302,8424,118
5,121534321,9126,128
5,121284755,9126,128
5,121467689,9126,128
5,121273411,9126,128
5,122819080,9126,128
5,122203012,9126,128
5,120124930,9126,128
5,120335799,9126,128
5,119853059,9126,128
5,118640734,8986,126
5,120083745,9126,128
5,121197396,9126,128
5,122102479,9126,128
5,122828946,9126,128
5,120616738,9126,128
5,120606490,9126,128
5,120657766,9126,128
5,122265765,9126,128
5,120369623,9126,128
5,120452228,9126,128
5,120557223,9126,128
5,121535154,9126,128
5,120432008,9126,128
5,121291651,9126,128
5,121787159,9126,128
5,67607450,7425,104
5,121057180,9126,128
5,121401557,9126,128
5,121452683,9126,128
5,121479135,9126,128
5,121454625,9126,128
5,120886572,9126,128
5,119713960,8986,126
5,120871482,9126,128
5,120084898,9126,128
5,116026782,8564,120
5,121560527,9126,128
5,120186439,9126,128
5,121685780,9126,128
5,121021821,9126,128
5,121508744,9126,128
5,121108608,9126,128
5,121292937,9126,128
5,118183322,8986,126
5,120320554,9126,128
5,122294465,9126,128
5,119642291,9126,128
5,120202555,9126,128
5,118998307,9126,128
5,120026816,9126,128
5,120601290,9126,128
5,120479196,9126,128
5,67576915,7282,102
5,120817159,9126,128
5,118666899,9126,128
5,120048161,9126,128
5,122661719,9126,128
5,120887392,9126,128
5,120725100,9126,128
5,121894054,9126,128
5,120269408,9126,128
5,119724204,9126,128
5,120253808,9126,128
5,120244080,9126,128
