VPTREE,EUCLIDEAN,GNAT,1,1000,75948
k,time,count,disk
5,119221332,9126,128
5,121018116,9126,128
5,120007873,9126,128
5,121848291,9126,128
5,121434878,9126,128
5,121646565,9126,128
5,119007812,9126,128
5,120905836,9126,128
5,120530501,9126,128
5,122322529,9126,128
5,122214164,9126,128
5,120301585,9126,128
5,66197089,6845,96
5,120214089,9126,128
5,120331583,9126,128
5,119916296,9126,128
5,120344070,9126,128
5,121605358,9126,128
5,121046391,9126,128
5,122695736,9126,128
5,119949627,9126,128
5,123596342,9126,128
5,117921513,8986,126
5,120842386,9126,128
5,120273365,9126,128
5,120558838,9126,128
5,120104126,9126,128
5,119259672,9126,128
5,121615310,9126,128
5,122070846,9126,128
5,120696909,9126,128
5,120342497,9126,128
5,119772138,9126,128
5,120560012,9126,128
5,121020201,9126,128
5,122263409,9126,128
5,121048686,9126,128
5,117159317,8915,125
5,119262344,9126,128
5,120113379,9126,128
5,117498236,8986,126
5,116823794,8916,125
5,121202566,9126,128
5,120931831,9126,128
5,121995927,9126,128
5,120542228,9126,128
5,120671916,9126,128
5,119535004,9126,128
5,120390146,9126,128
5,121420440,9126,128
5,120670121,9126,128
5,120599115,9126,128
5,120659227,9126,128
5,122791922,9126,128
5,119561180,9126,128
5,120636833,9126,128
5,118592518,9126,128
5,118157666,9126,128
5,117675070,8916,125
5,120506049,9126,128
5,119020021,9056,127
5,121772758,9126,128
5,119061763,9056,127
5,120360754,9126,128
5,120420220,9126,128
5,120540383,9126,128
5,116410547,8846,124
5,120245635,9126,128
5,118769936,9126,128
5,119884829,9126,128
5,121196321,9126,128
5,118978125,9126,128
5,119534770,9126,128
5,120891087,9126,128
5,118050828,8986,126
5,119833982,9126,128
5,120119456,9126,128
5,119809057,9126,128
5,119704676,9126,128
5,120266925,9126,128
5,117901121,9126,128
5,118424877,9126,128
5,120679707,9126,128
5,119593430,9126,128
5,118888249,9126,128
5,116960559,8986,126
5,119377693,9126,128
5,119846501,9126,128
5,118767165,9126,128
5,119742998,9126,128
5,120237201,9126,128
5,120406390,9126,128
5,117244953,8986,126
5,119230602,9126,128
5,120381155,9126,128
5,121538921,9126,128
5,119374339,9126,128
5,118734166,9126,128
5,119290282,9126,128
5,119865771,9126,128
5,119089551,9126,128
5,119188312,8986,126
5,118697351,9126,128
5,118468261,9126,128
5,120884008,9126,128
5,120089389,9126,128
5,119332687,9126,128
5,120202403,9126,128
5,118758665,9126,128
5,117150943,9126,128
5,120040139,9126,128
5,118610086,9126,128
5,121679986,9126,128
5,121084294,9126,128
5,122044088,9126,128
5,121004535,9126,128
5,120545757,8986,126
5,123111720,9126,128
5,123425902,9126,128
5,123770384,9126,128
5,123732341,9126,128
5,124249781,9126,128
5,122534263,9126,128
5,122832202,9126,128
5,122004027,9126,128
5,122809996,9126,128
5,122383278,9126,128
5,120305803,8986,126
5,122731560,9126,128
5,123522312,9126,128
5,122117493,9126,128
5,121718895,9126,128
5,121726186,9126,128
5,122097251,9126,128
5,122200100,9126,128
5,121711934,9126,128
5,122300883,9126,128
5,124508026,9126,128
5,122811637,9126,128
5,122801562,9126,128
5,121000567,9126,128
5,120837039,9126,128
5,118266417,8775,123
5,121370923,9126,128
5,123605041,9126,128
5,120884918,9126,128
5,123298571,9126,128
5,122271121,9126,128
5,123339812,9126,128
5,121943942,9126,128
5,122189882,9126,128
5,122538596,9126,128
5,122450797,9126,128
5,122810227,9126,128
5,123413791,9126,128
5,124169925,9126,128
5,122168408,9126,128
5,122506495,9126,128
5,122689792,9126,128
5,121585522,9126,128
5,120819490,9126,128
5,122268549,9126,128
5,122586410,8986,126
5,119428833,8986,126
5,119777403,8986,126
5,122577710,9126,128
5,121137918,9126,128
5,121166827,9126,128
5,119178493,9126,128
5,122278703,9126,128
5,120630328,9126,128
5,123382828,9126,128
5,122628790,9126,128
5,123335931,9126,128
5,123498786,9126,128
5,118569840,8915,125
5,122878842,9126,128
5,120574271,9126,128
5,121021434,9056,127
5,121967996,9126,128
5,122586293,9126,128
5,121804105,9126,128
5,121762929,9126,128
5,121986728,9126,128
5,121284090,9126,128
5,121500609,9126,128
5,120251376,8986,126
5,121266096,9126,128
5,124763918,9126,128
5,122374035,9126,128
5,122115202,9126,128
5,121656250,9126,128
5,121417604,9126,128
5,122073308,9126,128
5,119614605,9126,128
5,122601299,9126,128
5,122780393,9126,128
5,120455810,9126,128
5,122537372,9126,128
5,121288655,9126,128
5,122749524,9126,128
5,121194370,9126,128
5,119201336,9126,128
5,121703687,9126,128
5,121641180,9126,128
5,121106384,9126,128
5,121084357,9126,128
5,122507494,9126,128
5,123130904,9126,128
5,121095310,9126,128
5,120576145,9126,128
5,121788280,9126,128
5,120731567,9126,128
5,122277646,9126,128
5,120829939,9126,128
5,120618578,9126,128
5,121587926,9126,128
5,122673906,9126,128
5,122552060,9126,128
5,122193389,9126,128
5,120043994,8916,125
5,64627825,6560,92
5,123568333,9126,128
5,122101481,9126,128
5,121554156,9126,128
5,122681310,9126,128
5,121908353,9126,128
5,121652823,9126,128
5,121780398,9126,128
5,121747891,9126,128
5,123029004,9126,128
5,121688128,9126,128
5,122242913,9126,128
5,123569937,9126,128
5,121950176,9126,128
5,120178592,8986,126
5,120576035,9126,128
5,123041133,9126,128
5,123642770,9126,128
5,123025466,9126,128
5,120513692,9126,128
5,120184310,9126,128
5,119962614,8986,126
5,121408030,9126,128
5,120755525,9126,128
5,120696637,9126,128
5,120142527,9056,127
5,122479993,9126,128
5,120721605,9126,128
5,118587264,8986,126
5,120680659,9126,128
5,121537753,9126,128
5,121514315,9126,128
5,120115391,9126,128
5,121591887,9126,128
5,122648994,8986,126
5,121159169,9126,128
5,121003545,9126,128
5,120918318,9126,128
5,121917305,9126,128
5,121012881,9126,128
5,122780058,9126,128
5,122317626,9126,128
5,121283219,9126,128
5,122045745,9126,128
5,122908075,9126,128
5,121195250,9126,128
5,118996330,8846,124
5,122262921,9126,128
5,121076017,9126,128
5,123308167,9126,128
5,124494053,9126,128
5,125417976,9126,128
5,123604147,9126,128
5,122706619,9126,128
5,123204977,9126,128
5,121530185,9126,128
5,120854715,9126,128
5,120376708,9126,128
5,122210647,9126,128
5,123820284,9126,128
5,121346305,9126,128
5,122210850,9126,128
5,123376691,9126,128
5,122146257,9126,128
5,122218439,9126,128
5,123036241,9126,128
5,122809712,9126,128
5,122150360,9126,128
5,123668856,9126,128
5,121648111,9126,128
5,122709190,9126,128
5,121389359,9126,128
5,121859712,9126,128
5,122507043,9126,128
5,121815458,9126,128
5,121196807,9126,128
5,121330227,9126,128
5,121228134,9126,128
5,118862478,8915,125
5,122560734,9126,128
5,121996671,9126,128
5,122020839,9126,128
5,120320599,9126,128
5,119977465,8986,126
5,123077268,9126,128
5,120060249,9126,128
5,121339776,9126,128
5,122443364,9126,128
5,121056807,9126,128
5,120450050,8986,126
5,119870185,8986,126
5,121560162,9126,128
5,122319058,9126,128
5,123487560,9126,128
5,121791067,9126,128
5,122274289,9126,128
5,121282249,8986,126
5,119758177,8986,126
5,123659091,9126,128
5,121032152,9056,127
5,123983531,9126,128
5,120256941,8846,124
5,123056696,9126,128
5,124251162,9126,128
5,119470200,8986,126
5,123180464,9126,128
5,120489946,9126,128
5,121261960,9126,128
5,120982565,9126,128
5,125488071,9126,128
5,119774426,9126,128
5,122550097,9126,128
5,120669827,9126,128
5,121180998,9126,128
5,120533471,9126,128
5,122975976,9126,128
5,120955147,9126,128
5,120749487,9126,128
5,122230233,9126,128
5,120965576,9126,128
5,117592407,8776,123
5,123342103,9126,128
5,122701741,9056,127
5,122530773,9126,128
5,123629714,9126,128
5,120578845,9126,128
5,123170279,9126,128
5,120298120,9126,128
5,119003248,9126,128
5,121439736,9126,128
5,121211794,9126,128
