VPTREE,EUCLIDEAN,HFI,1,1000,286743
k,time,count,disk
5,109377054,9126,128
5,103696950,8565,120
5,63694253,8066,113
5,106350283,8706,122
5,109547764,9126,128
5,111805783,9126,128
5,109676485,8846,124
5,108104554,9126,128
5,109818480,9056,127
5,110059075,9056,127
5,109367789,8986,126
5,111148695,9126,128
5,62468647,7353,103
5,109398308,9126,128
5,108104810,9126,128
5,67489028,8277,116
5,108757700,9126,128
5,108425341,8916,125
5,109718446,9126,128
5,109900202,9126,128
5,108072328,9126,128
5,109918946,9056,127
5,24289499,2858,40
5,110790156,9126,128
5,108836299,9126,128
5,110409621,9126,128
5,108906137,9126,128
5,111880105,9056,127
5,105590927,8635,121
5,110444969,9126,128
5,110557615,9126,128
5,106549898,8775,123
5,104236366,8423,118
5,104986974,8563,120
5,108144949,8986,126
5,108379209,9126,128
5,107570864,8703,122
5,26361345,3353,47
5,107055850,8705,122
5,109403695,9056,127
5,27084187,3283,46
5,24259537,3002,42
5,109264630,9126,128
5,110089398,9126,128
5,107909083,9126,128
5,107548875,8916,125
5,107116145,9056,127
5,107928703,9126,128
5,110194537,8916,125
5,109289631,9126,128
5,108419000,9126,128
5,109154292,9126,128
5,110125948,9056,127
5,105435813,8633,121
5,104387116,8564,120
5,109252616,9126,128
5,108256110,8916,125
5,105708983,8420,118
5,41241363,4213,59
5,107628526,9126,128
5,42039016,4353,61
5,108614392,8986,126
5,42723173,4563,64
5,107293016,8846,124
5,103014894,8350,117
5,108261361,9126,128
5,40615507,4212,59
5,108360174,9056,127
5,110441326,9056,127
5,109079931,8774,123
5,107805387,9126,128
5,109275154,9126,128
5,109040572,9126,128
5,105264423,8633,121
5,26217091,3212,45
5,106517194,8846,124
5,108478627,9126,128
5,109092686,9126,128
5,109072162,9126,128
5,112091819,9126,128
5,104826843,8491,119
5,106556599,8704,122
5,109373625,9126,128
5,109276869,9056,127
5,109011394,9126,128
5,25029509,3072,43
5,109809378,9056,127
5,107743436,8986,126
5,108192853,9056,127
5,113577729,9126,128
5,108561261,9126,128
5,108170846,9056,127
5,25311684,3142,44
5,107277357,8986,126
5,109717716,9056,127
5,108411576,8846,124
5,109330102,9126,128
5,108693350,9126,128
5,105270479,8563,120
5,109677363,9056,127
5,109702492,8916,125
5,41531671,4353,61
5,106366266,9126,128
5,103415415,8493,119
5,110204187,9126,128
5,108619785,8986,126
5,108792504,9126,128
5,110672043,9056,127
5,107694132,9126,128
5,108286761,9126,128
5,112694286,9126,128
5,108597286,9056,127
5,106421908,8704,122
5,63882264,7992,112
5,107121578,8986,126
5,107445777,8986,126
5,42364180,4423,62
5,108568793,9126,128
5,108547737,9126,128
5,108792878,9056,127
5,110084697,8986,126
5,110117359,9126,128
5,108105805,9126,128
5,110347319,9126,128
5,104872692,8633,121
5,107731063,9126,128
5,106447260,9056,127
5,27677977,3282,46
5,110065791,8986,126
5,106947759,8705,122
5,109999712,9056,127
5,106783134,8916,125
5,106849299,8986,126
5,108555041,9126,128
5,107793743,8986,126
5,104118809,8634,121
5,105013252,8564,120
5,107755352,8985,126
5,108254204,9056,127
5,106658608,9056,127
5,106130311,8563,120
5,105346257,8776,123
5,23870420,2929,41
5,109776207,9126,128
5,107636123,9056,127
5,107108526,8846,124
5,109353840,9126,128
5,106796939,8916,125
5,106324961,8705,122
5,108801496,9126,128
5,70062297,8280,116
5,106390213,9056,127
5,110450127,9126,128
5,108827777,9056,127
5,107392930,9126,128
5,110868806,9126,128
5,66184933,8206,115
5,107498730,8986,126
5,108380808,9126,128
5,104908899,8635,121
5,106240115,8491,119
5,109486169,9056,127
5,41830535,4423,62
5,26835925,3282,46
5,27139865,3353,47
5,105963941,8633,121
5,108328761,8916,125
5,107934184,9126,128
5,104397778,8563,120
5,107942018,9126,128
5,104246273,8705,122
5,107613153,9126,128
5,112276238,9126,128
5,110406836,9126,128
5,105763952,8775,123
5,22651697,2714,38
5,108910203,9126,128
5,107395592,8986,126
5,64092382,7923,111
5,107895781,9056,127
5,108688247,9126,128
5,108688133,9126,128
5,106776218,8775,123
5,108131488,9126,128
5,105083102,8493,119
5,111113575,9126,128
5,41152902,4212,59
5,108973034,8986,126
5,107312274,9126,128
5,108106874,9126,128
5,109774050,8986,126
5,109517768,9126,128
5,104074354,8564,120
5,111853021,9126,128
5,105350685,8633,121
5,107555125,9126,128
5,110090877,9126,128
5,107759553,8916,125
5,112120531,9126,128
5,105772351,8846,124
5,110510655,9126,128
5,108171199,8916,125
5,107810953,8633,121
5,109743808,9056,127
5,106033550,8775,123
5,110441646,9126,128
5,104134941,8350,117
5,110613710,9126,128
5,108004567,9126,128
5,104685597,8706,122
5,104316825,8563,120
5,108766802,8986,126
5,106780276,8986,126
5,109068230,9126,128
5,108166889,9126,128
5,108874463,9126,128
5,111153613,9126,128
5,111377189,9126,128
5,110372446,9126,128
5,64050505,7993,112
5,25543050,3142,44
5,104105477,8421,118
5,111882860,9126,128
5,106664928,8916,125
5,108696393,9126,128
5,108939666,9126,128
5,109094079,9056,127
5,108902477,9056,127
5,105916956,8705,122
5,66679582,8277,116
5,107167970,8986,126
5,108212021,8986,126
5,109880562,8986,126
5,109963745,9126,128
5,109414988,9056,127
5,24548648,3003,42
5,109072671,9126,128
5,109845951,9056,127
5,108846896,9056,127
5,110209624,9126,128
5,104031346,8491,119
5,105533993,8564,120
5,56594645,6564,92
5,105997490,8916,125
5,106632405,8986,126
5,110943925,9126,128
5,104640293,8706,122
5,107426681,9126,128
5,109498258,9126,128
5,26814177,3353,47
5,106177572,8705,122
5,106081544,8634,121
5,107905482,9126,128
5,112387451,9126,128
5,110885221,9126,128
5,41888408,4353,61
5,66865998,8277,116
5,107077197,8846,124
5,65878680,8136,114
5,105538415,8633,121
5,108535478,9126,128
5,103610494,8347,117
5,108186673,9126,128
5,109247961,9126,128
5,106690144,8420,118
5,109297480,9056,127
5,107122883,8845,124
5,31903500,4072,57
5,107239850,8775,123
5,62151734,7565,106
5,108450382,8846,124
5,105174991,8563,120
5,109733163,9126,128
5,106731524,9126,128
5,111870310,9056,127
5,108683413,9126,128
5,107888587,8845,124
5,102792811,8422,118
5,109655581,8986,126
5,106750728,8986,126
5,105793009,8703,122
5,108881977,8986,126
5,66347133,8277,116
5,106961403,9126,128
5,107152706,8491,119
5,108789669,9056,127
5,108096804,9056,127
5,107182722,9126,128
5,109635626,9126,128
5,108719655,8846,124
5,110791260,9126,128
5,109041070,9126,128
5,107857212,8986,126
5,110424820,8986,126
5,108766361,9126,128
5,106577169,9126,128
5,108907751,9056,127
5,104940255,8565,120
5,107579807,9056,127
5,45093584,5006,70
5,109403973,9056,127
5,107388595,8846,124
5,108840523,9056,127
5,110556422,8916,125
5,25428574,3140,44
5,105707998,8986,126
5,107436038,8775,123
5,103475880,8350,117
5,110535410,9126,128
5,107385735,8986,126
5,26168087,3282,46
5,26044819,3282,46
5,109278017,9126,128
5,64507837,7996,112
5,109498261,9056,127
5,107342361,9126,128
5,106970781,8844,124
5,33095010,4141,58
5,26252033,3353,47
5,108918962,9056,127
5,41841236,4353,61
5,109698131,9056,127
5,25441203,3142,44
5,65771904,8137,114
5,110794294,9126,128
5,26499249,3353,47
5,107397349,9126,128
5,104638766,8564,120
5,110439603,9126,128
5,104234300,8350,117
5,108598343,8916,125
5,105009152,8705,122
5,104887627,8633,121
5,110740161,9126,128
5,109943460,9126,128
5,105703164,8634,121
5,110007072,9126,128
5,107749050,8986,126
5,109629869,8776,123
5,107059928,8846,124
5,105858406,8703,122
5,9255034,1071,15
5,108536314,9126,128
5,101760776,8353,117
5,108546455,9126,128
5,109448016,9056,127
5,106890328,8916,125
5,106305242,8634,121
5,108326899,8916,125
5,106243258,8565,120
5,106330723,8775,123
5,107882260,9126,128
5,108739842,9056,127
5,107834829,9126,128
5,108619828,9126,128
5,40673290,4353,61
5,108253231,8986,126
5,103526783,8350,117
5,107820446,8915,125
5,111233625,9126,128
5,41542763,4353,61
5,26334091,3353,47
5,107098849,8846,124
5,25549066,3212,45
5,66322424,8280,116
5,107648668,9126,128
5,103411575,8493,119
5,104355482,8350,117
5,108820746,9126,128
5,106898495,9126,128
5,105782642,8704,122
5,110017615,8916,125
5,110130336,9126,128
5,104182113,8420,118
5,110452308,9126,128
5,108635295,8916,125
5,67150701,8133,114
5,111573220,9126,128
5,109538674,9056,127
5,105254165,8633,121
