VPTREE,EUCLIDEAN,IS,1,1000,172390
k,time,count,disk
5,112160191,9126,128
5,108133927,8986,126
5,67510885,8277,116
5,109194016,9056,127
5,110588133,9126,128
5,110753533,9126,128
5,44409541,4563,64
5,108878687,9126,128
5,109189617,9126,128
5,109745005,9056,127
5,111758015,9126,128
5,111550501,9126,128
5,104288271,8634,121
5,108498965,9126,128
5,107060561,9126,128
5,104753567,8564,120
5,108174916,9126,128
5,108802198,9126,128
5,111003501,9126,128
5,111015178,9126,128
5,110315738,9126,128
5,109028198,9126,128
5,28348464,3360,47
5,109954770,9126,128
5,107731571,9126,128
5,108778895,9126,128
5,108503957,9126,128
5,111515232,9126,128
5,107425728,8915,125
5,109872738,9126,128
5,112168782,9126,128
5,107777047,8916,125
5,106648114,8774,123
5,106422192,8845,124
5,110541535,9056,127
5,108100907,9126,128
5,107940389,8916,125
5,53332255,6065,85
5,108298836,8986,126
5,110611749,9056,127
5,33171353,4070,57
5,32705325,3570,50
5,109003261,9126,128
5,109503009,9126,128
5,108272565,9126,128
5,109535292,9056,127
5,107487259,9126,128
5,107972986,9126,128
5,109675824,9056,127
5,109426316,9126,128
5,107587616,9126,128
5,112811802,9126,128
5,110574210,9126,128
5,108320643,8916,125
5,106160718,9056,127
5,110062185,9126,128
5,110551913,9126,128
5,108751255,8774,123
5,32440519,3929,55
5,106412337,9126,128
5,55684716,6562,92
5,112427372,9126,128
5,58325123,6846,96
5,108641883,9126,128
5,106014907,8704,122
5,108963361,9126,128
5,41417675,4212,59
5,110644779,9126,128
5,107644713,9126,128
5,109155688,8916,125
5,108318852,9126,128
5,107234116,9126,128
5,110013455,9126,128
5,107658164,8916,125
5,29630505,3570,50
5,107994045,8986,126
5,108475306,9126,128
5,110544235,9126,128
5,108088737,9126,128
5,109909035,9126,128
5,107857615,8774,123
5,107949603,8916,125
5,112606349,9126,128
5,110497846,9126,128
5,107798840,9126,128
5,29480402,3499,49
5,111195828,9126,128
5,108416541,9056,127
5,107610649,9126,128
5,112055722,9126,128
5,108763236,9126,128
5,108881925,9126,128
5,32454694,3642,51
5,108316143,9126,128
5,109998476,9126,128
5,108371675,9056,127
5,109165437,9126,128
5,107647029,9126,128
5,106906465,8704,122
5,110551957,9126,128
5,108708433,9056,127
5,41869369,4212,59
5,109963993,9126,128
5,105245097,8774,123
5,108934135,9126,128
5,109784072,9126,128
5,108792412,9126,128
5,110164258,9126,128
5,106098473,9126,128
5,107824977,9126,128
5,112278055,9126,128
5,110763025,9126,128
5,109076419,8845,124
5,103171829,8491,119
5,111008117,9126,128
5,109237841,9056,127
5,33699371,4070,57
5,108711530,9126,128
5,107551481,9126,128
5,108091125,9126,128
5,109773869,9126,128
5,111613047,9126,128
5,111341510,9126,128
5,111005530,9126,128
