VPTREE,EUCLIDEAN,KMEDOIDS,1,1000,482285
k,time,count,disk
5,119004252,9126,128
5,114000225,8634,121
5,68291352,7784,109
5,116763660,8775,123
5,120205476,9126,128
5,121637420,9126,128
5,120093112,8704,122
5,120939755,9126,128
5,118783411,9056,127
5,118055863,8985,126
5,117646286,8845,124
5,120926835,9056,127
5,114517402,8490,119
5,120278449,9126,128
5,117609267,9126,128
5,71733220,8279,116
5,118833581,9126,128
5,118076771,8775,123
5,121458295,9126,128
5,120967046,9056,127
5,118343715,9126,128
5,119266458,8985,126
5,28936878,3213,45
5,121698999,9126,128
5,118744492,9126,128
5,119071383,9056,127
5,119251761,9126,128
5,119776433,8916,125
5,114120642,8564,120
5,121091920,9126,128
5,120824103,9126,128
5,116723162,8705,122
5,113715438,8350,117
5,113805370,8420,118
5,120391367,8845,124
5,120619821,9126,128
5,116464783,8490,119
5,21675808,2147,30
5,116561905,8632,121
5,117972659,8985,126
5,28389068,3142,44
5,8171189,1004,14
5,119597073,9126,128
5,121307935,9126,128
5,118438539,9126,128
5,118167542,8774,123
5,117515578,9056,127
5,119671981,9126,128
5,116857668,8705,122
5,119047568,9056,127
5,117863699,9056,127
5,119502895,9056,127
5,119004342,8985,126
5,114731737,8561,120
5,113816098,8635,121
5,119464817,9126,128
5,117801736,8775,123
5,114270619,8420,118
5,23865487,2501,35
5,115418599,9126,128
5,29378361,3283,46
5,117740064,8775,123
5,113166326,8985,126
5,117273313,8846,124
5,113950364,8350,117
5,117755296,9126,128
5,24355235,2501,35
5,118743665,8985,126
5,121109083,9056,127
5,117359248,8704,122
5,117103886,8986,126
5,117942892,9126,128
5,117187578,9056,127
5,115200716,8561,120
5,22674896,2283,32
5,117145750,8705,122
5,119983897,9126,128
5,119356007,9056,127
5,118037089,9126,128
5,118370350,9056,127
5,114635687,8420,118
5,116671533,8705,122
5,121509682,9126,128
5,121619092,8985,126
5,116864132,9126,128
5,12259856,1287,18
5,121231494,9056,127
5,118615637,8985,126
5,117652398,9056,127
