VPTREE,EUCLIDEAN,MAXSEPARETED,1,1000,15130
k,time,count,disk
5,115318843,9126,128
5,116048168,9126,128
5,114077297,9056,127
5,115499334,9126,128
5,115838793,9126,128
5,116259147,9126,128
5,114191741,9126,128
5,115886625,9126,128
5,114638981,9126,128
5,118593712,9126,128
5,114835760,9126,128
5,116052089,9126,128
5,114139558,9055,127
5,115772152,9126,128
5,115765548,9126,128
5,115211603,9126,128
5,115082124,9126,128
5,116617932,9126,128
5,118280700,9126,128
5,115640582,9126,128
5,115230208,9126,128
5,116120353,9126,128
5,112978319,8845,124
5,117157916,9126,128
5,116260548,9126,128
5,115648467,9126,128
5,114174734,9126,128
5,116203367,9126,128
5,116735025,9126,128
5,116728710,9126,128
5,115877250,9126,128
5,114764836,9126,128
5,114796638,9126,128
5,114146049,9126,128
5,115687545,9126,128
5,115372365,9126,128
5,115748808,9126,128
5,111231134,8561,120
5,116189339,9126,128
5,115760011,9126,128
5,112655745,8703,122
5,68790104,7782,109
5,116715829,9126,128
5,115613358,9126,128
5,115807633,9126,128
5,116566572,9126,128
5,115400222,9126,128
5,114800888,9126,128
5,117094028,9126,128
5,115330690,9126,128
5,115340815,9126,128
5,115629629,9126,128
5,115288719,9126,128
5,114446873,9126,128
5,115189314,8841,124
5,116567244,9126,128
5,114188698,9126,128
5,113051623,9126,128
5,71274146,8064,113
5,114493723,9126,128
5,113983290,9056,127
5,115288938,9126,128
5,114906636,9126,128
5,116273493,9126,128
5,115799267,9126,128
5,115800071,9126,128
5,68333268,7708,108
5,114401526,9126,128
5,114313202,9126,128
5,113680506,9126,128
5,115999040,9126,128
5,114049780,9126,128
5,114933602,9126,128
5,115732158,9126,128
5,69809631,7922,111
5,115106361,9126,128
5,115943253,9126,128
5,113712794,9126,128
5,113154832,9126,128
5,114263275,9126,128
5,111975631,9126,128
5,114506785,9126,128
5,115470216,9126,128
5,112966832,9126,128
5,112568376,9126,128
5,70481329,8207,115
5,115450891,9126,128
5,114066049,9126,128
5,113621010,9126,128
5,113568478,9126,128
5,113413514,9126,128
5,116337048,9126,128
5,68169871,7922,111
5,113113892,9126,128
5,113672022,9126,128
5,113765358,9126,128
5,113662638,9126,128
5,114261717,9126,128
5,115856753,9126,128
5,115274980,9126,128
5,115039556,9126,128
5,111632046,8419,118
5,115153811,9126,128
5,113682262,9126,128
5,115721166,9126,128
5,114942553,9126,128
5,115085624,9126,128
5,114789844,9126,128
5,114323945,9126,128
5,116477365,9126,128
5,115700272,9126,128
5,113434333,9126,128
5,115187382,9126,128
