VPTREE,EUCLIDEAN,MAXVARIANCE,1,1000,111342
k,time,count,disk
5,122314411,9126,128
5,117897450,8845,124
5,69910774,7785,109
5,118411168,8915,125
5,121098071,9126,128
5,124189348,9126,128
5,119506447,8915,125
5,121095510,9126,128
5,121090528,9126,128
5,120378799,9056,127
5,120287817,9126,128
5,121397193,9126,128
5,113367365,8349,117
5,121221494,9126,128
5,119897979,9126,128
5,115911396,8419,118
5,121806566,9126,128
5,120999538,9056,127
5,122316474,9126,128
5,121824319,9126,128
5,116693974,9126,128
5,120868064,9126,128
5,7880097,858,12
5,122635381,9126,128
5,119771757,9126,128
5,123166795,9126,128
5,120732968,9126,128
5,122605342,9126,128
5,117810799,8705,122
5,121596828,9126,128
5,122702408,9126,128
5,117205907,8775,123
5,115168436,8490,119
5,116402416,8633,121
5,123968126,8986,126
5,121374298,9126,128
5,117259165,8633,121
5,15491185,1713,24
5,118353298,8705,122
5,121061908,8986,126
5,12928923,1142,16
5,6138651,573,8
5,121515105,9126,128
5,121663555,9126,128
5,119247924,9126,128
5,117763494,8560,120
5,120418591,9126,128
5,119505004,9126,128
5,120988477,8986,126
5,122086076,9126,128
5,120738470,9126,128
5,122410392,9126,128
5,122084336,9056,127
5,118979202,8633,121
5,116264291,8774,123
5,120159885,9126,128
5,120521813,9056,127
5,113213239,8419,118
5,28073402,2856,40
5,117525211,9126,128
5,32176925,3423,48
5,119156065,9126,128
5,24405139,2282,32
5,120510687,9126,128
5,114504981,8419,118
5,120042531,9126,128
5,12007494,1142,16
5,119972780,9056,127
5,121713262,9126,128
5,118112866,8704,122
5,118034720,8986,126
5,120298971,9126,128
5,119465020,9126,128
5,115921034,8633,121
5,13735784,1142,16
5,118034759,8775,123
5,119104333,9126,128
5,120359134,9126,128
5,120067244,9126,128
5,121388910,9126,128
5,114050251,8420,118
5,116002762,8774,123
5,119915270,9126,128
5,121408086,9056,127
5,118649801,9126,128
5,5682189,573,8
5,122574377,9126,128
5,118169106,8986,126
5,120145635,9126,128
5,122723641,9126,128
5,119671598,9126,128
5,119726069,9126,128
5,11481967,1142,16
5,120974245,9056,127
5,119622260,9126,128
5,117480125,8775,123
5,120087870,9126,128
5,119743159,9126,128
5,114282692,8490,119
5,120729965,9056,127
5,117649458,8846,124
5,11786614,1142,16
5,116942861,9126,128
5,116617468,8633,121
5,120270297,9126,128
5,120549661,9126,128
5,120943990,9126,128
5,121833464,9126,128
5,120475211,9126,128
5,119285303,9126,128
5,122041435,9126,128
5,122726113,9126,128
5,117250557,8775,123
5,69198646,7716,108
5,120429764,9126,128
5,118812065,8986,126
5,12434606,1142,16
5,121020831,9126,128
5,119050236,9126,128
5,120009910,9126,128
5,121161720,9126,128
5,123236456,9126,128
5,119186776,9126,128
5,122369385,9126,128
5,115600217,8633,121
5,119703220,9126,128
5,115243751,8985,126
5,12743580,1142,16
5,118557651,8916,125
5,116848087,8775,123
