VPTREE,EUCLIDEAN,PCA,1,1000,409252
k,time,count,disk
5,113936675,9126,128
5,110638082,8776,123
5,109509040,8350,117
5,113907764,9056,127
5,115628442,9126,128
5,117411365,9126,128
5,114473386,8986,126
5,115218918,9126,128
5,114079529,9126,128
5,113067450,9056,127
5,114276581,9126,128
5,115508037,9126,128
5,108604310,8350,117
5,114570959,9126,128
5,113598463,9126,128
5,111321787,8634,121
5,114361678,9126,128
5,113459216,9126,128
5,115728376,9126,128
5,116649191,9126,128
5,115186555,9126,128
5,116466281,9126,128
5,45674731,4570,64
5,114968527,9126,128
5,113871355,9126,128
5,113163332,9126,128
5,115236742,9126,128
5,116654626,9126,128
5,116504075,8846,124
5,121507862,9126,128
5,125812799,9126,128
5,117353945,8986,126
5,117397780,8846,124
5,117911434,8846,124
5,121793579,9056,127
5,118897150,9126,128
5,118081671,8846,124
5,60636750,6500,91
5,120349365,8846,124
5,123169084,9056,127
5,63857583,6711,94
5,46804555,4358,61
5,121384505,9126,128
5,123225711,9126,128
5,120065547,9126,128
5,120746483,8986,126
5,119525846,9126,128
5,121698186,9126,128
5,124072320,8986,126
5,120625263,9126,128
5,120696820,9126,128
5,122296376,9126,128
5,122090130,9126,128
5,119099559,8846,124
5,115341034,8346,117
5,120775553,9126,128
5,123476929,9056,127
5,118661452,8776,123
5,53561886,5354,75
5,118650664,9126,128
5,117943519,9056,127
5,121590965,9056,127
5,116842046,8986,126
5,118828621,9056,127
5,117131609,8705,122
5,119183280,9126,128
5,51194845,4784,67
5,121633957,9126,128
5,122107408,9126,128
5,120041002,8846,124
5,120224588,9126,128
5,120508748,9126,128
5,120198956,9126,128
5,119221276,8846,124
5,62848272,6571,92
5,119066635,8916,125
5,120222634,9126,128
5,120564726,9126,128
5,121236018,9126,128
5,120652892,9126,128
5,117938591,8776,123
5,119506859,8986,126
5,122684167,9126,128
5,121504564,9126,128
5,119994994,9126,128
5,59397543,6288,88
5,122134535,9126,128
5,120307818,9056,127
5,119398420,9126,128
5,122376362,9126,128
5,120924602,9126,128
5,120343242,9126,128
5,58363127,5924,83
5,120042903,8986,126
5,121300293,9126,128
5,117759379,8986,126
5,122956624,9126,128
5,119563291,9126,128
5,120312580,8846,124
5,122638402,9126,128
5,118957977,8986,126
5,68057208,7565,106
5,122100812,9126,128
5,118926645,8846,124
5,120492739,9126,128
5,122053837,9126,128
5,120446285,9126,128
5,123058376,9126,128
5,120153377,9126,128
5,119657139,9126,128
5,124459947,9126,128
5,121873991,9126,128
5,120595057,8846,124
5,73751702,8280,116
5,120202152,9056,127
5,120288274,9056,127
5,69438996,7635,107
5,118987006,9126,128
5,120544385,9126,128
5,118722476,9126,128
5,119832519,9126,128
5,120632337,9126,128
5,119079615,9126,128
5,121966736,9126,128
5,118359517,8846,124
5,117977343,9126,128
5,117487324,9056,127
5,66517996,7281,102
5,117786930,8846,124
5,117616222,8986,126
5,119110110,9126,128
5,119888292,9056,127
5,118266738,9126,128
5,118639025,9126,128
5,117888142,9056,127
5,73173626,8062,113
5,117568361,8776,123
5,116251330,8986,126
5,120752206,9126,128
5,118131231,9056,127
5,114156120,8421,118
5,115452445,8486,119
5,45310250,4217,59
5,119764685,9126,128
5,121106663,9126,128
5,117632688,8986,126
5,117868388,9126,128
5,119613603,9056,127
5,118145117,8916,125
5,118156691,9126,128
5,117244489,8705,122
5,116921369,9126,128
5,120919469,9126,128
5,118224663,9056,127
5,117598343,9126,128
5,121878439,9126,128
5,118268782,8564,120
5,120700390,9126,128
5,119874376,9126,128
5,117838592,8776,123
5,118542468,8776,123
5,121687149,8986,126
5,70456511,7565,106
5,60968397,6641,93
5,64292342,6641,93
5,122463947,8846,124
5,120595235,8846,124
5,120616151,9126,128
5,119829188,8776,123
5,120762784,9126,128
5,119740913,8846,124
5,120828873,9126,128
5,121741109,9126,128
5,123327820,9126,128
5,120364014,8986,126
5,63595591,6715,94
5,122661821,9126,128
5,119707756,9126,128
5,116709292,8636,121
5,120487499,9056,127
5,120799123,9126,128
5,121220955,9126,128
5,117826754,8846,124
5,120563976,9126,128
5,120328857,8846,124
5,124120990,9126,128
5,70020176,7495,105
5,122947655,9056,127
5,121138921,9126,128
5,122085526,9126,128
5,123762902,9056,127
5,123720200,9126,128
5,120910508,8846,124
5,123535064,9126,128
5,120311152,8846,124
5,121811478,9126,128
5,124112474,9126,128
5,122883390,9056,127
5,125253976,9126,128
5,118008415,8486,119
5,124465926,9126,128
5,121181684,8986,126
5,120964674,8776,123
5,122355412,8986,126
5,119841162,8846,124
5,124128276,9126,128
5,120621833,8705,122
5,123966225,9126,128
5,124169574,9126,128
5,120418552,8916,125
5,118781684,8705,122
5,120707864,9056,127
5,119872147,9056,127
5,121378701,9126,128
5,120557807,9126,128
5,122509952,9126,128
5,124665926,9126,128
5,125047882,9126,128
5,124932958,9126,128
5,73429285,8210,115
5,51961512,4854,68
5,118009750,8634,121
5,124076814,9126,128
5,122330432,8986,126
5,121690627,9126,128
5,121995807,9126,128
5,123274392,9056,127
5,122832038,9126,128
5,120131019,8986,126
5,117686091,8635,121
5,121694731,9126,128
5,122875811,9056,127
5,123063053,9056,127
5,123383547,9126,128
5,125280554,9126,128
5,48325374,4500,63
5,122322335,9126,128
5,122498400,9056,127
5,121910490,9126,128
5,124121415,9126,128
5,119428109,8776,123
5,120136679,8776,123
5,117692985,8774,123
5,121575519,9056,127
5,120473224,9056,127
5,124203842,9126,128
5,114650285,8346,117
5,121551026,9126,128
5,122508724,9126,128
5,62169558,6570,92
5,119160396,8916,125
5,120044286,8916,125
5,121985970,9126,128
5,123679477,9126,128
5,123424924,9126,128
5,71123719,7995,112
5,119544487,8705,122
5,121673067,9056,127
5,116637541,8421,118
5,120131143,8916,125
5,119362032,9126,128
5,121192258,8775,123
5,121522047,9126,128
5,121009249,9126,128
5,121087555,8776,123
5,123079059,9126,128
5,123459806,8986,126
5,48280952,4713,66
5,122531306,8986,126
5,118979098,8776,123
5,123576808,8986,126
5,119775599,8776,123
5,122256223,9126,128
5,120391396,9126,128
5,122867579,9056,127
5,118957373,9126,128
5,121323861,8846,124
5,114863907,8346,117
5,122578799,8986,126
5,119876427,9056,127
5,119552482,8846,124
5,122213395,9056,127
5,119583396,8776,123
5,120038328,9126,128
5,120341718,8776,123
5,121472328,9126,128
5,121822946,9126,128
5,122374732,9126,128
5,122260745,9126,128
5,122516758,8986,126
5,124766660,9126,128
5,122818557,9126,128
5,124365080,9126,128
5,121886364,8986,126
5,120978717,9126,128
5,122155896,9126,128
5,122425160,9056,127
5,118511119,8776,123
5,121101970,9126,128
5,68511809,7431,104
