VPTREE,EUCLIDEAN,RANDOM,1,1000,388516
k,time,count,disk
5,114610459,9126,128
5,109703045,8704,122
5,69357536,8206,115
5,115642895,8986,126
5,116400367,9126,128
5,117229536,9126,128
5,114081721,8916,125
5,113285885,9126,128
5,115689926,9126,128
5,115050339,9126,128
5,114625494,9126,128
5,116096037,9126,128
5,112546794,8774,123
5,115705249,9126,128
5,113333877,9126,128
5,111457761,8704,122
5,113934243,9126,128
5,115000145,9056,127
5,115271609,9126,128
5,116109624,9126,128
5,113391263,9126,128
5,116646082,9056,127
5,29470700,3353,47
5,117131951,9126,128
5,114002424,9126,128
5,114465345,9126,128
5,114088141,9126,128
5,116730752,9126,128
5,113366323,8774,123
5,120797937,9126,128
5,124504201,9126,128
5,120750040,8986,126
5,114980370,8704,122
5,115147321,8704,122
5,121086866,9056,127
5,120645579,9126,128
5,117891981,8774,123
5,71112661,8210,115
5,117602058,8704,122
5,123566394,8915,125
5,67150814,7424,104
5,33357244,3857,54
5,121827290,9126,128
5,123447016,9126,128
5,121835692,9126,128
5,119087807,8845,124
5,118275926,9126,128
5,122253838,9126,128
5,121587577,8915,125
5,122761161,9126,128
5,120556043,9126,128
5,122726236,9126,128
5,121169875,9056,127
5,118666393,8774,123
5,115691245,8845,124
5,119939665,9126,128
5,121261907,9056,127
5,120105951,8704,122
5,31209495,3353,47
5,117356355,9126,128
5,116357352,9056,127
5,119984356,9056,127
5,115671096,9056,127
5,120259521,9056,127
5,117283193,8704,122
5,119011720,9126,128
5,113577895,8705,122
5,123630363,9126,128
5,121779686,9126,128
5,118855033,8915,125
5,120056781,9056,127
5,121385583,9126,128
5,120703031,9126,128
5,117668435,8774,123
5,47719580,4493,63
5,119324490,8774,123
5,123136725,9126,128
5,121227375,9126,128
5,120247884,9126,128
5,122086603,9126,128
5,118226813,8704,122
5,118118486,8844,124
5,123021287,9126,128
5,122678595,9126,128
5,119287074,9126,128
5,68979625,7855,110
5,122332672,9126,128
5,120749661,9056,127
5,119123484,9126,128
5,123493274,9126,128
5,119071744,9126,128
5,120624975,9126,128
5,46497376,4493,63
5,116936783,8916,125
5,122638779,9126,128
5,118985471,8915,125
5,121402077,9126,128
5,118488440,9126,128
5,118045576,8774,123
5,122533482,9126,128
5,119486782,8844,124
5,115725751,8916,125
5,122007625,9126,128
5,116992607,8704,122
5,121099234,9126,128
5,121948307,9126,128
5,118470308,9126,128
5,121582105,9126,128
5,118434085,9126,128
5,121127821,9126,128
5,121550832,9126,128
5,123013011,9126,128
5,117170551,8774,123
5,113121185,8346,117
5,119939471,9056,127
5,119583562,8915,125
5,69405230,7776,109
5,122165817,9126,128
5,121742490,9126,128
5,117709925,9126,128
5,120378129,9126,128
5,120387831,9126,128
5,120211336,9126,128
5,121101387,9126,128
5,117488962,8774,123
5,118509880,9126,128
5,114057517,9056,127
5,116151374,8706,122
5,119832479,8774,123
5,116248818,8774,123
5,120960621,9126,128
5,120724966,8986,126
5,117843142,9056,127
5,119250952,9126,128
5,118420546,8915,125
5,117029305,8916,125
5,116098326,8634,121
5,119064268,8986,126
5,120556384,9126,128
5,118901488,9126,128
5,118586658,8915,125
5,116325332,8986,126
5,65234755,7363,103
5,123902883,9126,128
5,118379311,9126,128
5,116636412,8915,125
5,121097291,9126,128
5,119081039,9056,127
5,117085786,8916,125
5,119110956,9126,128
5,116324812,8704,122
5,115539915,9126,128
5,121223977,9126,128
5,116414984,8986,126
5,116741797,9126,128
5,123962855,9126,128
5,115611986,8490,119
5,122463200,9126,128
5,119321692,9126,128
5,117916411,8704,122
5,119783121,8634,121
5,123685556,8915,125
5,49296933,4563,64
5,32282403,3353,47
5,115122737,8562,120
5,120286164,8774,123
5,120017416,8774,123
5,120645406,9126,128
5,119656979,8704,122
5,119988587,9126,128
5,119186562,8845,124
5,121637440,9126,128
5,122306709,9126,128
5,123324107,9126,128
5,121365937,8772,123
5,73308286,8211,115
5,121938761,9126,128
5,120741736,9126,128
5,115662523,8704,122
5,120880758,9056,127
5,121825237,9126,128
5,121497060,9126,128
5,117896681,8704,122
5,120749264,9126,128
5,118373559,8704,122
5,126867562,9126,128
5,67921925,7635,107
5,123327515,9056,127
5,119401585,9126,128
5,121787512,9126,128
5,124227935,9056,127
5,127076478,9126,128
5,118791010,8845,124
5,125675793,9126,128
5,119526900,8704,122
5,121506461,9126,128
5,123278846,9126,128
5,122926503,9126,128
5,126067536,9126,128
5,119371043,8986,126
5,124033532,9126,128
5,120908727,8774,123
5,122362305,8774,123
5,123235338,8985,126
5,119431512,8634,121
5,125878439,9126,128
5,121603213,8704,122
5,126372158,9126,128
5,120534115,9126,128
5,118222408,8845,124
5,119535585,8704,122
5,119559623,9126,128
5,120280601,9056,127
5,121592774,9126,128
5,121453212,9126,128
5,122553898,9126,128
5,125657345,9126,128
5,125065006,9126,128
5,126233738,9126,128
5,115378543,8417,118
5,31708222,3423,48
5,118639180,8704,122
5,123907277,9126,128
5,120652148,8915,125
5,120705442,9126,128
5,124369246,9126,128
5,122014140,9056,127
5,122800931,9126,128
5,118021651,8845,124
5,116215013,8563,120
5,121874221,9126,128
5,122084488,9056,127
5,121018813,8986,126
5,124476198,9126,128
5,124298829,9126,128
5,65667971,7140,100
