VPTREE,EUCLIDEAN,SELECTION,1,1000,151840
k,time,count,disk
5,122510371,9126,128
5,120137110,8916,125
5,75735697,8277,116
5,123992681,8916,125
5,126711274,9126,128
5,127483886,9126,128
5,123507378,8986,126
5,124701726,9126,128
5,125001723,9126,128
5,123227415,8986,126
5,124017158,9056,127
5,126807144,9126,128
5,121527213,8635,121
5,127373497,9126,128
5,123873919,9126,128
5,120275007,8491,119
5,125881268,9126,128
5,125024531,9056,127
5,126090996,9126,128
5,126877191,9126,128
5,126020329,9126,128
5,129612659,9056,127
5,60986541,5639,79
5,129364180,9126,128
5,127110057,9126,128
5,128648999,9126,128
5,128590481,9126,128
5,129223848,9126,128
5,124361103,8776,123
5,131330812,9126,128
5,130797093,9126,128
5,126662382,8846,124
5,125097126,8631,121
5,126083828,8845,124
5,128261800,8986,126
5,127206613,9126,128
5,126272142,8845,124
5,56523212,5070,71
5,128281961,8772,123
5,128561140,8986,126
5,64805257,6208,87
5,56317045,4932,69
5,126690552,9126,128
5,129278441,9126,128
5,128125073,9126,128
5,128992412,9056,127
5,126169510,9126,128
5,129890292,9126,128
5,129020608,8986,126
5,127749091,9126,128
5,127823092,9126,128
5,129873450,9126,128
5,129451546,9056,127
5,126416658,8845,124
5,126184181,8986,126
5,130421879,9126,128
5,128656330,9056,127
5,124889745,8561,120
5,77819083,8281,116
5,126637565,9126,128
5,123746355,8702,122
5,128546349,9126,128
5,126614121,8772,123
5,130367057,9126,128
5,123255052,8421,118
5,127971067,9126,128
5,63852491,6280,88
5,129567301,9126,128
5,129016855,9126,128
5,128877549,8916,125
5,127500285,9126,128
5,129092268,9126,128
5,129360599,9126,128
5,126023267,8845,124
5,59868669,5641,79
5,126791477,8916,125
5,129173611,9126,128
5,129008294,9126,128
5,128228856,9126,128
5,128120745,9126,128
5,127317799,8701,122
5,127195851,8916,125
5,128564759,9126,128
5,129314654,9126,128
5,127525129,9126,128
5,54868137,4855,68
5,129204927,9126,128
5,127602678,9056,127
5,126069555,9126,128
5,130869261,9126,128
5,126629541,9126,128
5,126224195,9126,128
5,65292798,6350,89
5,125902604,9056,127
5,128977531,9126,128
5,126494112,9056,127
5,129520465,9126,128
5,128435925,9126,128
5,124674753,8705,122
5,129612510,9126,128
5,126315701,8916,125
5,120734460,8491,119
5,124904937,9126,128
5,121988370,8705,122
5,126543100,9126,128
5,125792299,9126,128
5,127396927,9126,128
5,127173189,9126,128
5,124390133,9126,128
5,127652914,9126,128
5,127955811,9126,128
5,127485570,9126,128
5,125018291,8916,125
5,119703552,8417,118
5,126379817,9056,127
5,125703705,8986,126
5,64644080,6421,90
5,125774590,9126,128
5,124891091,9126,128
5,126197543,9126,128
5,128201977,9056,127
5,128969938,9126,128
5,130711238,9126,128
5,129212479,9126,128
5,126795745,8916,125
5,128403399,9126,128
5,126259363,9126,128
5,66583981,6208,87
5,127408978,8916,125
5,124805680,8846,124
5,127232820,9126,128
5,126322224,8916,125
5,125445086,9126,128
5,126034254,9126,128
5,126612629,8986,126
5,124722473,8916,125
5,125265231,8846,124
5,127408010,9056,127
5,127314512,9126,128
5,125817303,9126,128
5,123112712,8705,122
5,123951055,8986,126
5,55305966,4999,70
5,126620115,9126,128
5,125201307,9126,128
5,125439976,9056,127
5,125610116,9126,128
5,127578580,9126,128
5,125370032,8986,126
5,126690162,9126,128
5,123193845,8561,120
5,123901938,9126,128
5,130714418,9126,128
5,125548498,9056,127
5,124336927,9126,128
5,127986304,9126,128
5,121748314,8347,117
5,127722011,9056,127
5,126665347,9126,128
5,125629300,8846,124
5,126041545,8772,123
5,129854757,8916,125
5,75851797,8133,114
5,51886588,4287,60
5,61975231,5782,81
5,129819089,8776,123
5,128414728,8916,125
5,127977706,9126,128
5,125098179,8705,122
5,126027231,9126,128
5,124565342,8916,125
5,126955654,9126,128
5,127347590,9126,128
5,130672210,9126,128
5,127969181,8986,126
5,58230949,5211,73
5,128819644,9126,128
5,127055136,9126,128
5,71661046,7495,105
5,126437997,8986,126
5,129118459,9126,128
5,126437790,9126,128
5,126795428,8916,125
5,128138144,9126,128
5,125808234,8561,120
5,130451350,9126,128
5,122986471,8490,119
5,130528967,9126,128
5,126067376,9126,128
5,128169321,9126,128
5,131782916,9126,128
5,131608294,9126,128
5,126280169,8986,126
5,132567873,9126,128
5,126967587,8775,123
5,127347382,9126,128
5,130330079,9126,128
5,127690112,8986,126
5,132025284,9126,128
5,127980047,9126,128
5,130234007,9126,128
5,127445635,8916,125
5,127725208,8845,124
5,127816790,8916,125
5,127618560,8916,125
5,130832181,9126,128
5,126291405,8561,120
5,129693249,9126,128
5,127254819,9126,128
5,125472339,8986,126
5,124193281,8635,121
5,128371200,9126,128
5,127208576,9056,127
5,127176572,9126,128
5,128287077,9126,128
5,129582283,9126,128
5,131203428,9126,128
5,130105422,9126,128
5,130928554,9126,128
5,76814211,8206,115
5,58731878,5569,78
5,124884419,8632,121
5,129470202,9126,128
5,128983033,8986,126
5,129119661,9126,128
5,128196539,9126,128
5,129636791,9056,127
5,129980047,9126,128
5,125679575,9126,128
5,122488115,8491,119
5,128176923,9126,128
5,129774766,9056,127
5,127917296,8986,126
5,128072656,9126,128
5,132385808,9126,128
5,64058386,6209,87
5,129964220,9126,128
5,129785308,8986,126
5,129029082,9056,127
5,132294907,9126,128
5,126020154,8701,122
5,125516128,8632,121
5,126851119,8986,126
5,126043499,9126,128
5,128158941,9126,128
5,131346857,9126,128
5,125097816,8846,124
5,128991156,9126,128
5,128311647,9126,128
5,66905584,6351,89
5,125493339,8776,123
5,125818766,8916,125
5,126014240,9126,128
5,129527847,9126,128
5,131391430,9126,128
5,123244003,8491,119
5,125339310,8421,118
5,127777041,8986,126
5,123298222,8491,119
5,126088421,8775,123
5,127456747,9126,128
5,124902832,8561,120
5,127134941,9126,128
5,127266934,9126,128
5,128358451,8632,121
5,128555421,9126,128
5,128372182,8916,125
5,74861124,7925,111
5,127567698,8916,125
5,125102182,8846,124
5,127606152,9056,127
5,126445318,8845,124
5,131413776,9126,128
5,126752948,9126,128
5,128646774,8916,125
5,128643163,9126,128
5,128800596,8916,125
5,125163974,8846,124
5,127815325,8986,126
5,124987426,9056,127
5,128173628,8846,124
5,129568847,9056,127
5,123438048,8561,120
5,126909962,9126,128
5,127148860,8702,122
5,129616634,9126,128
5,129713387,9126,128
5,126435820,9126,128
5,130053878,9126,128
5,128806057,8916,125
5,131163336,9126,128
5,129614667,9126,128
5,128820855,9126,128
5,129456966,9056,127
5,128426375,9126,128
5,126876213,9126,128
5,130304049,8986,126
5,125818135,8846,124
5,126465419,9126,128
5,53639846,4716,66
5,128772450,9126,128
5,127555278,8986,126
5,129157582,9126,128
5,128351519,8986,126
5,34459103,4003,56
5,129286292,9126,128
5,128165020,8916,125
5,124038153,8491,119
5,129770296,9126,128
5,127048405,9126,128
5,65952272,6491,91
5,67619988,6491,91
5,129715672,9126,128
5,123504728,8347,117
5,128977202,8986,126
5,126818977,9126,128
5,127650148,8916,125
5,122996618,8490,119
5,68454422,6491,91
5,129319939,8986,126
5,125288283,8844,124
5,131104484,9126,128
5,58461375,5499,77
5,124389449,8417,118
5,130857180,9126,128
5,54009528,4571,64
5,127447167,9126,128
5,124569195,8702,122
5,130738163,9126,128
5,124059475,8561,120
5,128896058,9056,127
5,126931446,8916,125
5,127548648,8775,123
5,130441576,9126,128
5,132000324,9126,128
5,126267595,8846,124
5,130192027,9126,128
5,127393696,9056,127
5,128862025,8986,126
5,128046844,8916,125
5,128113211,8845,124
5,33745024,3863,54
5,127686030,9126,128
5,124996928,8774,123
5,128150268,9126,128
5,129692350,9056,127
5,125908117,8986,126
5,127178396,8772,123
5,130832813,9056,127
5,126911085,8916,125
5,127513825,9126,128
5,129351850,9126,128
5,129581516,9126,128
5,127926152,9126,128
5,129099077,9126,128
5,57209922,5211,73
5,129175803,8916,125
5,126555089,8491,119
5,129620229,8986,126
5,130163921,9126,128
5,122243216,8491,119
5,52000381,4431,62
5,128016727,8916,125
5,51109074,4288,60
5,122926737,8421,118
5,128171552,9126,128
5,125156189,8635,121
5,125016776,8561,120
5,128431852,9126,128
5,126763905,9126,128
5,125971205,8916,125
5,129151670,9056,127
5,130307502,9126,128
5,124543481,8491,119
5,132568757,9126,128
5,129019160,8986,126
5,122110064,8349,117
5,129572689,9126,128
5,129684951,9126,128
5,128061763,8916,125
5,128860339,9126,128
5,61761464,5783,81
5,131142902,9126,128
5,125230924,8491,119
5,122664240,8351,117
5,127019785,9126,128
5,129212318,8916,125
5,129185135,9126,128
5,77369504,8064,113
5,126846726,8986,126
5,59700525,5281,74
5,129745332,9126,128
5,125605369,8702,122
5,127550352,9056,127
5,129164889,9126,128
5,128546928,9126,128
5,131146672,9126,128
5,128026621,8845,124
5,59401927,5569,78
5,125251674,9056,127
5,125173430,8845,124
5,75235200,8069,113
5,122695939,8421,118
5,122609597,8491,119
5,125001988,8491,119
5,127814306,9126,128
5,60702492,5710,80
5,124034127,8705,122
5,129548204,9126,128
5,127012968,8561,120
5,128549253,8916,125
5,130075611,9126,128
5,129531238,9126,128
5,127380718,9126,128
5,128002543,9126,128
5,129375577,9126,128
5,129864912,9056,127
5,128439903,8916,125
5,126896048,8845,124
5,122662538,8351,117
5,128343187,8916,125
5,77646165,8282,116
5,126285583,8986,126
5,130934117,9126,128
5,128864237,9126,128
5,129804264,8916,125
5,128332937,9126,128
5,129021746,8776,123
5,120860524,8351,117
5,128277602,8846,124
5,125545828,8846,124
5,129046523,9126,128
5,126433809,9126,128
5,126143148,8561,120
5,130777304,9126,128
5,129002192,8986,126
5,128603423,8845,124
5,128300933,9056,127
5,127935687,9126,128
5,128771034,9126,128
5,125887762,8846,124
5,125569903,8562,120
5,128147344,9126,128
5,128035995,8986,126
5,127201815,9126,128
5,127243839,9056,127
5,126788564,8986,126
5,123727288,8632,121
5,129161005,8916,125
5,131690972,9126,128
5,126478537,8846,124
5,127816775,9126,128
5,128388980,9126,128
5,129147820,9056,127
5,123535281,8491,119
5,128062126,8986,126
