VPTREE,EUCLIDEAN,SSS,1,1000,24558
k,time,count,disk
5,115617037,9126,128
5,111280455,8775,123
5,108404449,8350,117
5,114643230,9056,127
5,114479517,9126,128
5,115668792,9126,128
5,113799764,8915,125
5,115985489,9126,128
5,116175026,9126,128
5,116437987,9056,127
5,117162826,9126,128
5,117189598,9126,128
5,112220490,8561,120
5,116589571,9126,128
5,115655215,9126,128
5,113025467,8561,120
5,115984095,9126,128
5,112702781,8986,126
5,117389022,9126,128
5,119431479,9126,128
5,114114670,9126,128
5,117288804,9126,128
5,29841578,3427,48
5,118356384,9126,128
5,117173109,9126,128
5,117604436,9126,128
5,116946039,9126,128
5,118693070,9126,128
5,116107169,8845,124
5,122037437,9126,128
5,121622728,9126,128
5,116466856,8846,124
5,116744995,8774,123
5,115754790,8775,123
5,120751866,9056,127
5,117706501,9126,128
5,116585070,8775,123
5,57830684,6286,88
5,119963821,8845,124
5,118808609,8986,126
5,30359290,3426,48
5,15676515,1789,25
5,120687224,9126,128
5,119893845,9126,128
5,117146741,9126,128
5,119421610,8986,126
5,118504360,9126,128
5,117510403,9126,128
5,121225324,8986,126
5,119695756,9126,128
5,120021983,9126,128
5,118951865,9126,128
5,119952929,9056,127
5,116592007,8775,123
5,115594208,8775,123
5,120237182,9126,128
5,119712631,8986,126
5,117831521,8561,120
5,29621312,3285,46
5,117184237,9126,128
5,113626306,8702,122
5,118528768,9056,127
5,116424534,9056,127
5,120413076,9126,128
5,114565044,8561,120
5,117565345,9126,128
5,29957623,3213,45
5,120683259,9056,127
5,120946460,9126,128
5,117876091,8916,125
5,116265302,8986,126
5,121120755,9126,128
5,119418298,9126,128
5,117388029,8845,124
5,64590907,7497,105
5,116780574,8845,124
5,117901652,9126,128
5,118489702,9126,128
5,119032697,9126,128
5,119907049,9126,128
5,116894423,8631,121
5,117224574,8845,124
5,121033343,9126,128
5,119907516,9056,127
5,120364416,9126,128
5,15273976,1789,25
5,120669424,9126,128
5,119862912,9056,127
5,118685333,9126,128
5,120885920,9126,128
5,119932299,9126,128
5,120448998,9126,128
5,66961846,7781,109
5,118624204,9126,128
5,120833200,9056,127
5,118614053,8916,125
5,120254875,9126,128
5,117943338,9126,128
5,115854791,8632,121
5,120774208,9126,128
5,116490335,8916,125
5,34145108,3925,55
5,117682927,9126,128
5,115200725,8704,122
5,120906518,9126,128
5,119467682,9126,128
5,118153526,9126,128
5,119734032,9126,128
5,117418421,9126,128
5,116169306,9126,128
5,121397901,9126,128
5,120459678,9126,128
5,119374528,8845,124
5,112269431,8421,118
5,119007281,9056,127
5,118657846,8986,126
5,33732776,3923,55
5,114984608,9126,128
5,116126201,9126,128
5,117394888,9126,128
