VPTREE,EUCLIDEAN,WDR,1,1000,64137
k,time,count,disk
5,114351637,9126,128
5,107875250,8701,122
5,67665209,8276,116
5,111188086,8915,125
5,114388819,9126,128
5,115533626,9126,128
5,111655901,8916,125
5,111826366,9126,128
5,114786333,8986,126
5,112630250,9126,128
5,111714342,8986,126
5,114887660,9126,128
5,107934150,8631,121
5,113802225,9126,128
5,112020681,9126,128
5,109167024,8631,121
5,113373135,9126,128
5,115943332,8986,126
5,113643916,9126,128
5,114000639,9056,127
5,115671937,9126,128
5,112903265,8986,126
5,65479439,7929,111
5,114498554,9126,128
5,112234576,9126,128
5,114106110,9126,128
5,112004572,9126,128
5,116523442,9056,127
5,110748078,8845,124
5,115327621,9126,128
5,114891401,9126,128
5,111558527,8916,125
5,111216899,8705,122
5,110360749,8776,123
5,114312536,9056,127
5,112183984,9126,128
5,114165346,8846,124
5,69479115,8282,116
5,111769256,8846,124
5,114025944,9056,127
5,68594235,8141,114
5,63815380,7571,106
5,112172183,9126,128
5,115483493,9126,128
5,113825531,9126,128
5,112806903,8916,125
5,116448460,9056,127
5,113287080,9126,128
5,111614329,8916,125
5,113247083,9126,128
5,111882026,9126,128
5,113059014,9126,128
5,113858166,9056,127
5,111089700,8776,123
5,108556417,8846,124
5,116237504,9126,128
5,112796660,8916,125
5,110209217,8631,121
5,64420825,7858,110
5,110986911,9126,128
5,107812392,8634,121
5,111634321,8916,125
5,110204155,8846,124
5,112166598,8916,125
5,108599013,8631,121
5,115168772,9126,128
5,67157395,8212,115
5,114115035,9126,128
5,114136150,9126,128
5,112065066,8916,125
5,111010441,8986,126
5,112423507,9126,128
5,112395784,9126,128
5,111399952,8846,124
5,69717769,8283,116
5,112066985,8845,124
5,113987014,9126,128
5,113635424,9126,128
5,113477531,9126,128
5,113673796,9126,128
5,110110299,8561,120
5,112336225,8916,125
5,114976304,9126,128
5,116335590,9126,128
5,111111795,9126,128
5,61308277,7217,101
5,114483612,9056,127
5,113367096,9056,127
5,112696298,9126,128
5,115774682,9126,128
5,112158342,9126,128
5,113455411,9126,128
5,106393483,8423,118
5,113324803,8986,126
5,112811102,8916,125
5,112123555,8916,125
5,114171981,9126,128
5,111612167,9126,128
5,109774811,8705,122
5,114413256,9126,128
5,111499527,8916,125
5,107472977,8423,118
5,113924981,9056,127
5,109681430,8705,122
5,114918547,9126,128
5,112300891,8986,126
5,111548057,9126,128
5,113662571,8986,126
5,111413345,9126,128
5,113753299,9126,128
5,115465146,9126,128
5,115553220,9056,127
5,111836648,8846,124
5,106246486,8346,117
5,113069499,9056,127
5,112131768,9056,127
5,106821839,8422,118
5,115547172,9126,128
5,113121310,9126,128
5,111389021,9056,127
5,114389711,8916,125
5,113926766,9126,128
5,113823675,9126,128
5,114261558,9126,128
5,111143457,8846,124
5,113741739,9126,128
5,110031670,8916,125
5,107451581,8352,117
5,113419740,8916,125
5,113917611,8845,124
5,112255211,9126,128
5,110628561,8916,125
5,110191794,9056,127
5,112916509,9126,128
5,113448251,9056,127
5,43509004,4353,61
5,111230979,8705,122
5,112600843,8986,126
5,113271381,9126,128
5,112151470,9056,127
5,107605974,8705,122
5,43842450,4353,61
5,60576134,6935,97
5,113288405,9056,127
5,113015930,9126,128
5,112270925,8916,125
5,113884848,9126,128
5,110560797,8986,126
